,中央部委中等职业学校数,中央部委其他机构(教学点)(不计校数)数,中央部委成人中等专业学校数,中央部委普通中等专业学校数,中央部委职业高中学校数,中等职业学校数,其他机构(教学点)(不计校数)数,地方中等职业学校数,地方企业中等职业学校数,地方企业其他机构(教学点)(不计校数)数,地方企业成人中等专业学校数,地方企业普通中等专业学校数,地方企业职业高中学校数,地方其他机构(教学点)(不计校数)数,地方成人中等专业学校数,地方普通中等专业学校数,地方职业高中学校数,成人中等专业学校数,教育部门中等职业学校数,教育部门其他机构(教学点)(不计校数)数,教育部门成人中等专业学校数,教育部门普通中等专业学校数,教育部门职业高中学校数,普通中等专业学校数,民办中等职业学校数,民办其他机构(教学点)(不计校数)数,民办成人中等专业学校数,民办普通中等专业学校数,民办职业高中学校数,职业高中学校数,非教育部门中等职业学校数,非教育部门其他机构(教学点)(不计校数)数,非教育部门成人中等专业学校数,非教育部门普通中等专业学校数,非教育部门职业高中学校数
2005年,92.0,19.0,35.0,39.0,18.0,11611.0,2386.0,9502.0,,,,,,2127.0,2381.0,2700.0,4421.0,2582.0,6672.0,1406.0,1659.0,1303.0,3710.0,3207.0,2017.0,240.0,166.0,468.0,1383.0,5822.0,2830.0,721.0,722.0,1397.0,711.0
2006年,76.0,12.0,27.0,34.0,15.0,11813.0,2502.0,9178.0,,,,,,2165.0,2138.0,2890.0,4150.0,2350.0,6583.0,1409.0,1542.0,1515.0,3526.0,3698.0,2559.0,325.0,185.0,774.0,1600.0,5765.0,2595.0,756.0,596.0,1375.0,624.0
2007年,67.0,10.0,22.0,34.0,11.0,11837.0,2868.0,8812.0,,,,,,2363.0,1904.0,2885.0,4023.0,2120.0,6379.0,1612.0,1383.0,1549.0,3447.0,3801.0,2958.0,495.0,194.0,882.0,1882.0,5916.0,2433.0,751.0,521.0,1336.0,576.0
2008年,67.0,5.0,20.0,35.0,12.0,11744.0,2483.0,8443.0,,,,,,2071.0,1756.0,2816.0,3871.0,1983.0,6148.0,1391.0,1285.0,1518.0,3345.0,3846.0,3234.0,407.0,207.0,995.0,2032.0,5915.0,2295.0,680.0,471.0,1298.0,526.0
2009年,55.0,5.0,14.0,34.0,7.0,11324.0,2390.0,8071.0,,,,,,1972.0,1674.0,2744.0,3653.0,1883.0,5974.0,1328.0,1263.0,1505.0,3206.0,3789.0,3198.0,413.0,195.0,1011.0,1992.0,5652.0,2097.0,644.0,411.0,1239.0,447.0
2010年,41.0,5.0,9.0,29.0,3.0,10864.0,2012.0,7700.0,,,,,,1628.0,1547.0,2846.0,3307.0,1720.0,5777.0,1113.0,1193.0,1641.0,2943.0,3938.0,3123.0,379.0,164.0,1063.0,1896.0,5206.0,1923.0,515.0,354.0,1205.0,364.0
2011年,30.0,3.0,4.0,22.0,4.0,10169.0,642.0,7283.0,104.0,11.0,26.0,41.0,37.0,515.0,1452.0,2750.0,3081.0,1614.0,5669.0,353.0,1152.0,1711.0,2806.0,3753.0,2856.0,124.0,158.0,981.0,1717.0,4802.0,1510.0,151.0,274.0,998.0,238.0
2012年,24.0,3.0,3.0,18.0,3.0,9762.0,509.0,7089.0,91.0,8.0,26.0,35.0,30.0,420.0,1410.0,2727.0,2952.0,1564.0,5534.0,297.0,1127.0,1705.0,2702.0,3681.0,2649.0,86.0,151.0,936.0,1562.0,4517.0,1464.0,115.0,257.0,987.0,220.0
2013年,23.0,2.0,3.0,18.0,2.0,9380.0,451.0,6875.0,85.0,6.0,26.0,31.0,28.0,385.0,1384.0,2667.0,2824.0,1536.0,5378.0,277.0,1116.0,1655.0,2607.0,3577.0,2482.0,64.0,149.0,892.0,1441.0,4267.0,1412.0,102.0,242.0,981.0,189.0
2014年,,,,,,,402.0,,,,,,,,,,,1457.0,,,,,,3536.0,,,,,,4067.0,,,,,
