,博士在校学生数,博士招生数,博士授予学位数,博士毕(结)业生数,在职人员攻读博士、硕士学位在校学生数,在职人员攻读博士硕士学位招生数,在职人员攻读博士硕士学位授予学位数,学历文凭考试毕(结)业生数,成人专科在校学生数,成人专科招生数,成人专科毕(结)业生数,成人本科、专科生在校学生数,成人本科、专科生招生数,成人本科、专科生授予学位数,成人本科、专科生毕(结)业生数,成人本科在校学生数,成人本科招生数,成人本科授予学位数,成人本科毕(结)业生数,普通专科在校学生数,普通专科招生数,普通专科毕(结)业生数,普通本科、专科生在校学生数,普通本科、专科生招生数,普通本科、专科生授予学位数,普通本科、专科生毕(结)业生数,普通本科在校学生数,普通本科招生数,普通本科授予学位数,普通本科毕(结)业生数,普通预科生在校学生数,普通预科生毕(结)业生数,电大注册视听生在校学生数,电大注册视听生毕(结)业生数,留学生在校学生数,留学生招生数,留学生授予学位数,留学生毕(结)业生数,研究生在校学生数,研究生招生数,研究生授予学位数,研究生毕(结)业生数,研究生课程进修班在校学生数,研究生课程进修班毕(结)业生数,硕士在校学生数,硕士招生数,硕士授予学位数,硕士毕(结)业生数,网络专科在校学生数,网络专科招生数,网络专科毕(结)业生数,网络本科、专科生在校学生数,网络本科、专科生招生数,网络本科、专科生授予学位数,网络本科、专科生毕(结)业生数,网络本科在校学生数,网络本科招生数,网络本科授予学位数,网络本科毕(结)业生数,自考助学班在校学生数,自考助学班招生数,自考助学班毕(结)业生数,进修及培训在校学生数,进修及培训毕(结)业生数
1997年,,,,,,,,,,,,,,,,,,,,,,,317.4,100.0,,82.9,,,,,,,,,,,,,17.6353,6.3749,,4.6539,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,117.4117,43.0492,42.52,340.9,108.4,,83.0,223.4647,65.3135,,40.4666,,,,,,,,,19.8885,7.2508,,4.7077,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,136.1453,61.1864,40.67,408.5874,154.8554,,84.76,272.4421,93.669,,44.0935,,,,,,,,,23.3513,9.2225,,5.467,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,216.0719,104.5881,45.41,556.09,220.61,,94.98,340.0181,116.0191,,49.5624,,,,,,,,,30.1239,12.8484,,5.8767,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,294.6914,130.0955,46.85,719.07,268.28,,103.63,424.3744,138.1835,,56.7839,,,,,,,,,39.3256,16.5197,,6.7809,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,376.2786,161.7037,68.15,903.36,320.5,,133.73,527.0845,158.7939,,65.5763,,,,,,,,,50.098,20.2611,,8.0841,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,479.3553,199.6439,94.79,1108.5642,382.1701,,187.7492,629.2089,182.5262,,92.9598,,,,,,,,,65.126,26.8925,,11.1091,,,,,,,,,,,,,,,,,,,,,,
2004年,16.561,5.3284,,2.3446,20.1448,7.8171,,11.0559,278.2002,145.2146,135.5796,419.7956,221.158,,189.6152,141.5954,75.9434,,54.0356,595.6533,237.4271,119.4862,1333.4969,447.3422,,239.1152,737.8436,209.9151,,119.629,,,,,,,,,81.9896,32.6286,,15.0777,,,65.4286,27.3002,,12.7331,109.545,41.1514,18.1987,236.5908,83.9325,,39.3715,127.0458,42.7811,,21.1728,,,,,
2005年,19.1317,5.4794,,2.7677,25.4672,10.1653,,9.4202,274.9565,118.3054,111.209,436.0705,193.025,,166.7889,161.114,74.7196,,55.5799,712.9579,268.0934,160.217,1561.7767,504.4581,130.9692,306.7956,848.8188,236.3647,,146.5786,,,,,,,,,97.861,36.4831,,18.9728,,,78.7293,31.0037,,16.2051,138.0387,48.244,36.7317,265.2679,89.1046,,75.9627,127.2292,40.8606,,39.231,,,,,
2006年,20.8038,5.5955,,3.6247,29.91,10.9245,,7.6377,312.8468,106.6754,59.686,524.8765,184.4431,,81.5163,212.0297,77.7677,,21.8303,795.5046,292.9676,204.8034,1738.8441,546.053,156.5549,377.4708,943.3395,253.0854,,172.6674,,,,,,,,,110.4653,39.7925,,25.5902,,,89.6615,34.197,,21.9655,149.6052,62.2986,44.841,279.2945,113.2516,,88.5117,129.6893,50.953,,43.6707,,,,,
2007年,22.2508,5.8022,,4.1464,34.6068,12.6884,,6.0844,301.4332,109.0274,108.951,524.155,191.1132,,176.44,222.7218,82.0858,,67.489,860.5924,283.8223,248.1963,1884.8594,565.9194,182.0516,447.7907,1024.303,282.0971,,199.5944,,,,,,,,,119.5047,41.8612,,31.1839,,,97.2539,36.059,,27.0375,173.5709,73.6392,45.1064,310.48,123.4385,,82.8225,136.9091,49.7993,,37.7161,,,,,
2008年,23.6617,5.9764,4.2217,4.3759,39.3816,13.337,8.6728,,313.0117,119.419,100.6438,548.2949,202.5552,9.6438,169.0944,235.2832,83.1362,9.6438,68.4506,916.8042,310.6011,286.2715,2021.0249,607.6612,208.2558,511.9498,1104.2207,297.0601,208.2558,225.6783,2.6029,,0.4934,0.1398,10.687,7.1294,0.7406,5.2745,128.3046,44.6422,34.1154,34.4825,5.6185,4.5457,104.6429,38.6658,29.8937,30.1066,211.2241,93.628,49.7698,355.895,147.2194,2.6149,90.1522,144.6709,53.5914,2.6149,40.3824,92.754,33.5598,21.4769,170.8581,411.9157
2009年,24.6319,6.1911,4.6616,4.8658,39.4331,11.5985,10.1956,,315.6851,119.8981,107.8472,541.3513,201.4776,10.875,194.3893,225.6662,81.5795,10.875,86.5421,964.8059,313.3851,285.5664,2144.657,639.4932,229.82,531.1023,1179.8511,326.1081,229.82,245.5359,3.0649,,,0.1113,11.7548,7.3266,0.9013,5.5251,140.4942,51.0953,36.7871,37.1273,6.8646,4.6803,115.8623,44.9042,32.1255,32.2615,260.0079,107.44,57.7972,417.2721,162.5687,2.4404,98.3521,157.2642,55.1287,2.4404,40.5549,69.6503,22.1279,19.6768,209.878,507.3449
2010年,25.895,6.3762,4.7407,4.8987,42.0294,12.4871,10.2658,,310.9931,123.094,116.8958,536.0388,208.4259,10.1028,197.2873,225.0457,85.3319,10.1028,80.3915,966.1797,310.4988,316.371,2231.7929,661.7551,243.5867,575.4245,1265.6132,351.2563,243.5867,259.0535,3.197,,,,13.0637,8.0846,1.1912,6.2071,153.8416,53.8177,37.9992,38.36,6.4978,4.829,127.9466,47.4415,33.2585,33.4613,289.104,110.7866,68.2986,453.1443,166.3655,2.5956,110.5529,164.0403,55.5789,2.5956,42.2543,59.5048,18.8322,19.4889,263.6948,688.2371
2011年,27.1261,6.5559,4.8551,5.0289,46.1693,13.4061,10.7304,,313.883,128.79,115.1238,547.4962,218.5141,9.9984,190.664,233.6132,89.7241,9.9984,75.5402,958.8501,324.8598,328.5336,2308.5078,681.5009,270.7934,608.1565,1349.6577,356.6411,270.7934,279.6229,3.2274,,,,14.7549,9.4692,1.5197,7.3693,164.5845,56.0168,42.6778,42.9994,6.7112,4.8873,137.4584,49.4609,37.8227,37.9705,317.0073,122.7526,83.9104,492.4833,187.1519,3.0979,129.9253,175.476,64.3993,3.0979,46.0149,24.4868,,24.2067,282.5772,648.0856
2012年,28.381,6.837,5.0399,5.1713,48.9857,14.0629,10.4781,,335.5628,145.4734,115.3342,583.1123,243.9551,12.657,195.4357,247.5495,98.4817,12.657,80.1015,964.2267,314.7762,320.8865,2391.3155,688.8336,296.6148,624.7338,1427.0888,374.0574,296.6148,303.8473,3.7668,0.0,,,15.7845,10.2991,1.8259,8.3613,171.9818,58.9673,48.183,48.6455,7.3796,5.0284,143.6008,52.1303,43.1431,43.4742,370.1414,126.777,88.2921,570.4112,196.4468,3.4658,136.087,200.2698,69.6698,3.4658,47.7949,39.7381,,18.4933,343.9532,755.0132
2013年,29.8283,7.0462,5.1714,5.3139,55.873,16.7576,10.3468,,360.9549,152.6776,118.657,626.4145,256.4934,12.6057,199.7729,265.4596,103.8158,12.6057,81.1159,973.6373,318.3999,318.7494,2468.0726,699.833,313.0415,638.721,1494.4353,381.4331,313.0415,319.9716,4.2514,,,,17.4806,10.6448,1.9025,9.1251,179.3953,61.1381,50.952,51.3626,6.9321,4.8329,149.567,54.0919,45.7806,46.0487,397.1306,139.6351,102.406,614.6406,220.0729,4.0267,156.0762,217.51,80.4378,4.0267,53.6702,40.5329,,19.4882,626.8398,909.4537
2014年,31.2676,7.2634,,5.3653,59.6086,16.2374,,,373.3295,155.3631,131.3279,653.1212,265.604,,221.2329,279.7917,110.2409,,89.905,1006.6346,337.9835,317.9884,2547.6999,721.3987,333.8323,659.3671,1541.0653,383.4152,,341.3787,,,,,,,,,184.7689,62.1323,,53.5863,,3.4836,153.5013,54.8689,,48.221,402.7462,128.0407,107.5034,631.4472,206.1852,,166.1306,228.701,78.1445,,58.6272,,,14.9228,,901.8734
