,五金、家具及室内装修材料专门零售主营业务税金及附加,体育用品零售主营业务税金及附加,医药及医疗器材专门零售主营业务税金及附加,图书零售主营业务税金及附加,家用电器及电子产品专门零售主营业务税金及附加,家用电器零售主营业务税金及附加,文化、体育用品及器材专门零售主营业务税金及附加,无店铺及其他零售主营业务税金及附加,服装零售主营业务税金及附加,机动车燃料零售主营业务税金及附加,汽车、摩托车、燃料及零配件专门零售主营业务税金及附加,汽车零售主营业务税金及附加,百货零售主营业务税金及附加,纺织、服装及日用品专门零售主营业务税金及附加,综合零售主营业务税金及附加,药品零售主营业务税金及附加,计算机、软件及辅助设备零售主营业务税金及附加,超级市场零售主营业务税金及附加,通信设备零售主营业务税金及附加,邮购及电子销售主营业务税金及附加,食品、饮料及烟草制品专门零售主营业务税金及附加
2004年,1.20577,0.04752,1.59894,1.38411,3.40496,1.80989,3.11812,0.73423,1.16002,2.4505,6.09392,3.1973,15.55169,1.94321,22.96806,1.43595,0.64152,6.62243,0.82495,0.02087,1.22759
2005年,0.75011,1.48451,1.42711,1.54271,4.06987,0.61779,0.0,0.0,4.0132,5.23919,5.57126,2.67905,5.86583,1.18271,15.94708,8.65207,0.40674,1.34417,1.17218,0.0,1.9594
2006年,2.1496,0.0713,1.9678,1.576,4.186,2.5489,4.6078,0.9757,1.2667,2.7242,8.9903,5.5391,17.9495,2.0352,30.1876,1.7385,0.826,11.0434,0.6318,0.0635,1.5287
2007年,3.38356,0.08713,2.84106,1.19686,6.6663,4.63201,5.23706,1.61434,2.21469,4.01625,12.5442,7.82239,25.60872,3.28222,38.53116,2.68671,1.01215,11.30602,0.80279,0.07115,1.89246
2008年,9.0677,0.1522,5.3239,3.2126,18.9481,14.9818,9.7895,4.6453,6.378,16.8789,48.996,29.9989,46.9809,9.5991,83.705,5.0713,2.0951,32.2445,1.4988,0.6232,5.2644
2009年,11.73619,0.16605,7.10993,3.04782,13.27432,9.32649,9.53897,3.98552,6.02742,17.85318,51.01228,30.99751,44.45214,9.21947,81.18263,6.83254,2.01761,31.9835,1.58518,0.4681,9.18878
2010年,18.6,0.4,9.5,3.4,19.4,14.1,12.0,8.1,9.6,16.9,71.9,51.4,63.3,13.3,97.7,9.0,2.7,26.6,2.3,0.7,10.9
2011年,24.3797,0.3304,10.2484,3.2101,23.853,17.0995,14.8925,10.7134,14.3597,16.336,62.6563,42.0329,80.2028,20.6572,125.5662,9.4856,3.9778,37.947,2.2331,1.3416,17.2743
2012年,30.54621,0.5943,13.67255,2.84095,29.81378,17.2605,17.32466,13.05773,18.54125,18.14243,78.74153,53.68615,90.21854,27.18245,144.39898,12.15158,5.09653,45.97147,2.67985,1.6,21.1408
2013年,46.53001,0.78891,18.96199,4.5366,39.90221,18.12289,26.22167,18.83177,26.72752,26.66251,117.83826,82.55496,126.941,40.45897,192.87819,16.42499,7.02842,52.04237,3.56371,1.81886,33.24526
2014年,50.66639,0.93018,20.75844,2.60769,44.41545,20.41065,26.84767,21.29245,26.71164,28.03489,118.18856,81.58924,120.74337,45.01496,188.06858,18.37959,8.52067,54.00626,4.41331,4.13576,38.08381
