,资本和金融项目差额(贷-借),资本项目差额(贷-借),金融项目中(中)长期债券的债务证券投资的负债差额(贷-借),金融项目中(中)长期债券的债务证券投资资产差额(贷-借),金融项目中债务证券投资的负债差额(贷-借),金融项目中债务证券投资的资产差额(贷-借),金融项目中其它投资差额(贷-借),金融项目中其它投资的其它负债差额(贷-借),金融项目中其它投资的其它资产差额(贷-借),金融项目中其它投资的短期其它负债差额(贷-借),金融项目中其它投资的短期其它资产差额(贷-借),金融项目中其它投资的短期贷款负债差额(贷-借),金融项目中其它投资的短期贷款资产差额(贷-借),金融项目中其它投资的短期贸易信贷负债差额(贷-借),金融项目中其它投资的短期贸易信贷资产差额(贷-借),金融项目中其它投资的负债差额(贷-借),金融项目中其它投资的货币和存款负债差额(贷-借),金融项目中其它投资的货币和存款资产差额(贷-借),金融项目中其它投资的贷款负债差额(贷-借),金融项目中其它投资的贷款资产差额(贷-借),金融项目中其它投资的贸易信贷负债差额(贷-借),金融项目中其它投资的贸易信贷资产差额(贷-借),金融项目中其它投资的资产差额(贷-借),金融项目中其它投资的长期其它负债差额(贷-借),金融项目中其它投资的长期其它资产差额(贷-借),金融项目中其它投资的长期贷款负债差额(贷-借),金融项目中其它投资的长期贷款资产差额(贷-借),金融项目中其它投资的长期贸易信贷负债差额(贷-借),金融项目中其它投资的长期贸易信贷资产差额(贷-借),金融项目中外国在华直接投资差额(贷-借),金融项目中我国在外直接投资差额(贷-借),金融项目中直接投资差额(贷-借),金融项目中股本证券投资的负债差额(贷-借),金融项目中股本证券投资的资产差额(贷-借),金融项目中证券投资差额(贷-借),金融项目中证券投资的负债差额(贷-借),金融项目中证券投资的资产差额(贷-借),金融项目中货币市场工具的债务证券投资的负债差额(贷-借),金融项目中货币市场工具的债务证券投资资产差额(贷-借),金融项目差额(贷-借)
1989年,642800.0,0.0,14000.0,0.0,14000.0,-32000.0,399500.0,34900.0,204100.0,0.0,204100.0,-53200.0,0.0,-23000.0,-9300.0,221800.0,0.0,0.0,208800.0,-15600.0,-21900.0,-10800.0,177700.0,34900.0,0.0,262000.0,-15600.0,1100.0,-1500.0,339300.0,-78000.0,261300.0,0.0,0.0,-18000.0,14000.0,-32000.0,0.0,-32000.0,642800.0
1990年,-277400.0,0.0,0.0,0.0,0.0,-24100.0,-519000.0,41800.0,-635800.0,0.0,-635800.0,-287700.0,0.0,7200.0,-6400.0,143000.0,0.0,0.0,69900.0,-14700.0,31300.0,-11500.0,-662000.0,41800.0,0.0,357600.0,-14700.0,24100.0,-5100.0,348700.0,-83000.0,265700.0,0.0,0.0,-24100.0,0.0,-24100.0,0.0,-24100.0,-277400.0
1991年,458100.0,0.0,56500.0,0.0,56500.0,-33000.0,89300.0,52700.0,-344600.0,0.0,-344600.0,55800.0,0.0,-7100.0,-13000.0,451400.0,0.0,0.0,393900.0,-6700.0,4800.0,-10800.0,-362100.0,52700.0,0.0,338100.0,-6700.0,11900.0,2200.0,436600.0,-91300.0,345300.0,0.0,0.0,23500.0,56500.0,-33000.0,0.0,-33000.0,458100.0
1992年,-25100.0,0.0,39300.0,0.0,39300.0,-45000.0,-735000.0,-322100.0,-348700.0,0.0,-348700.0,258100.0,0.0,0.0,0.0,-380700.0,0.0,0.0,-66500.0,-14000.0,7900.0,8400.0,-354300.0,-322100.0,0.0,-324600.0,-14000.0,7900.0,8400.0,1115600.0,-400000.0,715600.0,0.0,0.0,-5700.0,39300.0,-45000.0,0.0,-45000.0,-25100.0
1993年,2347400.0,0.0,364700.0,0.0,364700.0,-59700.0,-269100.0,5200.0,-356800.0,0.0,-356800.0,-37100.0,0.0,0.0,0.0,142100.0,0.0,0.0,132400.0,-17100.0,4500.0,-37300.0,-411200.0,5200.0,0.0,169500.0,-17100.0,4500.0,-37300.0,2751500.0,-440000.0,2311500.0,0.0,0.0,305000.0,364700.0,-59700.0,0.0,-59700.0,2347400.0
1994年,3264400.0,0.0,392300.0,0.0,392300.0,-38000.0,-268600.0,-25700.0,-370200.0,0.0,-370200.0,59000.0,0.0,0.0,0.0,115000.0,0.0,0.0,96000.0,-8100.0,44700.0,-5300.0,-383600.0,-25700.0,0.0,37000.0,-8100.0,44700.0,-5300.0,3378700.0,-200000.0,3178700.0,0.0,0.0,354300.0,392300.0,-38000.0,0.0,-38000.0,3264400.0
1995年,3867500.0,0.0,71100.0,0.0,71100.0,7900.0,403600.0,49800.0,49000.0,0.0,49000.0,-6500.0,0.0,0.0,0.0,434000.0,0.0,0.0,313000.0,-8100.0,71200.0,-71300.0,-30400.0,49800.0,0.0,319500.0,-8100.0,71200.0,-71300.0,3584900.0,-200000.0,3384900.0,0.0,0.0,79000.0,71100.0,7900.0,0.0,7900.0,3867500.0
1996年,3996700.0,0.0,237200.0,0.0,237200.0,-62800.0,15700.0,23600.0,-91400.0,0.0,-91400.0,-67300.0,0.0,0.0,0.0,146100.0,0.0,0.0,29100.0,-36600.0,93400.0,-2400.0,-130400.0,23600.0,0.0,96400.0,-36600.0,93400.0,-2400.0,4018000.0,-211400.0,3806600.0,0.0,0.0,174400.0,237200.0,-62800.0,0.0,-62800.0,3996700.0
1997年,2101539.0,-2100.0,211456.0,-89927.0,218466.0,-89927.0,-2757992.0,1065627.0,-738384.0,758583.0,-738384.0,20091.0,-215499.0,0.0,-1501830.0,1202823.0,-203896.0,-1505102.0,341092.0,-215499.0,0.0,-1501830.0,-3960815.0,307044.0,0.0,321001.0,0.0,0.0,0.0,4423617.0,-256249.0,4167368.0,565700.0,0.0,694239.0,784166.0,-89927.0,7010.0,0.0,2103615.0
1998年,-632143.9,-4700.0,-60463.3,-383001.0,-66763.3,-383001.0,-4366004.1,-6443.6,-1217609.3,-264972.0,-710695.6,-95121.7,-121934.8,0.0,-2209183.5,-861925.7,-528764.0,63849.2,-326718.1,-141134.8,0.0,-2209183.5,-3504078.4,258528.4,-506913.7,-231596.4,-19200.0,0.0,0.0,4375188.6,-263380.7,4111807.9,76500.0,0.0,-373264.3,9736.7,-383001.0,-6300.0,0.0,-627460.5
1999年,517951.51,-2600.0,-125371.38,-1053486.2,-131071.38,-1053486.2,-2053952.11,-493179.22,-933137.85,-390347.15,-391837.85,-70238.57,-354434.4,1326668.5,-2289817.1,385576.74,-393188.3,1127060.5,-54724.24,-343634.4,1326668.5,-2289817.1,-2439528.85,-102832.07,-541300.0,15514.33,10800.0,0.0,0.0,3875245.0,-177431.3,3697813.7,61200.0,0.0,-1123357.58,-69871.38,-1053486.2,-5700.0,0.0,520504.01
2000年,192222.427218,-3500.0,40473.82,-1130747.0,40473.82,-1130747.0,-3153464.80248,-345874.76,-642502.444045,-393447.5,83582.6,-53499.0,-1842964.7,1823237.87595,-1295987.54439,1232884.28595,-5356.44,-604894.4,-239122.39,-1842964.7,1823237.87595,-1295987.54439,-4386349.08843,47572.74,-726085.044045,-185623.39,6.25e-13,0.0,0.0,3839866.4,-91577.6903,3748288.7097,691200.0,0.0,-399073.18,731673.82,-1130747.0,0.0,0.0,195750.727218
2001年,3477542.69037,-5400.0,39934.88,-558800.429257,39934.88,-2068586.42926,1687900.28385,-49392.33,801069.053991,61202.51,1339798.84188,-29188.88,1549055.48422,-244193.54,70232.8878623,-393375.56,49218.53,-321381.582221,-149008.22,1531355.48422,-244193.54,70232.8878623,2081275.84385,-110594.84,-538729.787888,-119819.34,-17700.0,1.39e-13,0.0,4424129.11405,-688539.807667,3735589.30638,84900.0,3158.6,-1940592.94926,124834.88,-2065427.82926,0.0,-1509786.0,3482896.64098
2002年,3229083.71224,-5000.0,-50507.68,-327318.995183,-49697.51,-1209450.99518,-410661.558671,-2641.93,370266.134733,-3356.82,370266.134733,39141.35,-536212.000647,284934.98238,109800.637212,-102987.57762,28681.76,-248628.752348,-413962.39,-539112.000647,284934.98238,109800.637212,-307673.981051,714.89,0.0,-453103.74,-2900.0,0.0,0.0,4930797.66292,-251840.745038,4678956.91788,224900.0,0.0,-1034248.50518,175202.49,-1209450.99518,810.17,-882132.0,3234046.85402
2003年,5487300.11108,-4800.0,71678.53,797247.992,71463.59,299347.992,-596088.594383,-3725.93,-2383181.9506,97854.01,2116818.0494,1197391.1,1464551.5253,472030.360212,-146499.099502,1204351.48021,74244.01,-655210.549792,661803.04,1384451.5253,472030.360212,-146499.099502,-1800440.0746,-101579.94,-4500000.0,-535588.06,-80100.0,0.0,0.0,4945684.71025,-1199.33586335,4944485.37438,772900.0,0.0,1143711.582,844363.59,299347.992,-214.94,-497900.0,5492108.362
2004年,10815218.1019,-6934.5,228347.35,1582816.6092,228023.55,654016.609205,2833325.42679,303128.97,732791.529204,301758.27,732791.529204,778926.72,-1671848.33874,1573300.0,-1456100.0,3447114.31,156102.07,2020667.92633,1128383.27,-1777548.33874,1859500.0,-1589700.0,-613788.883208,1370.7,0.0,349456.55,-105700.0,286200.0,-133600.0,6210804.30009,-196337.253336,6014467.04675,1092320.0,0.0,1974360.1592,1320343.55,654016.609205,-323.8,-928800.0,10822152.6327
2005年,9534904.77736,410200.0,56731.8114116,-2229335.23859,87805.2114116,-2615688.92864,557796.492794,322017.377813,153141.512712,275872.0,495317.879534,197554.34479,-1146341.98049,2424259.36689,-2198906.97318,5023759.22388,1627114.51779,-1031734.16625,533474.952084,-1296841.98049,2541152.37619,-2290528.09707,-4465962.73108,46145.3778135,-342176.366822,335920.607294,-150500.0,116893.009305,-91621.1238826,10410869.3867,-1372956.63029,9037912.75642,2056900.0,0.0,-470983.717226,2144705.21141,-2615688.92864,31073.4,-386353.690046,9124725.53199
2006年,4930536.88513,402011.5,0.0,-10632241.5086,0.0,-10982371.5086,1355193.21207,1051721.81278,237726.551149,665469.9,237726.551149,645559.833415,726644.328201,1239300.27667,-2445151.23923,4549196.18373,1119883.69175,-1248828.81015,1054885.98667,431944.328201,1322704.69252,-2614845.04086,-3194002.97166,386251.912784,0.0,409326.153257,-294700.0,83404.4158561,-169693.801634,12408203.5619,-2393219.84675,10014983.7151,4286120.0,-145400.0,-6841651.5086,4286120.0,-11127771.5086,0.0,-350130.0,4528525.41856
2007年,9423153.49512,309907.5,248639.67,839305.653468,248639.67,1066705.65347,-6440504.91903,313776.932949,-10388145.365,245172.5,-10388145.365,1030791.78,-1670398.165,2706300.0,-2213400.0,9036414.50607,4083034.77312,-626475.895112,1729602.8,-2082298.165,2910000.0,-2380000.0,-15476919.4251,68604.432949,0.0,698811.02,-411900.0,203700.0,-166600.0,15624933.5203,-1715479.97016,13909453.5502,1847812.0465,-1518860.0,1644297.36997,2096451.7165,-452154.346532,0.0,227400.0,9113246.00111
2008年,4012619.90824,305144.8,118911.6,3996808.00713,119040.44,2737928.08529,-11257001.7521,-226666.796476,-6095594.45991,-3048.83,-6095594.45991,-310309.91,-1193212.26868,-1771563.63077,545626.631078,-1499246.44155,270229.694787,-2398743.88415,362097.79,-1850112.26868,-1904907.12986,586695.302234,-9757755.31051,-223617.966476,0.0,672407.7,-656900.0,-133343.49909,41068.6711564,17153465.0312,-5674227.66297,11479237.3682,846402.799097,-218131.8,3485239.52439,965443.239097,2519796.28529,128.84,-1258879.92184,3707475.14052
2009年,19847012.4094,393930.039756,49659.4,3472288.49534,49639.33,3812120.78555,8027639.25292,1113792.83973,4755476.70417,10911.74,4755476.70417,1675372.32,4438839.30901,2983662.44105,-3187166.63443,6186198.27635,1157548.1227,203481.156681,706618.13,309544.012944,3208239.18392,-3427060.89724,1841440.97656,1102881.09973,0.0,-968754.19,-4129295.29606,224576.742874,-239894.262806,13105705.2869,-4388998.55,8716706.73695,2911666.90218,-4064690.63792,2708736.3798,2961306.23218,-252569.852375,-20.07,339832.29021,19453082.3697
2010年,28686462.6052,463045.154025,32370.5,185176.822663,32385.5,78658.437269,7244589.70472,-25935.0335647,2442809.57976,12439.1951,2442809.57976,6905586.73,662604.2715,4604933.96151,-5732086.2333,18870791.3894,6034711.73885,-5801344.06425,7910472.79,-2104133.61597,4951541.8941,-6163533.5842,-11626201.6847,-38374.2286647,0.0,1004886.06,-2766737.88747,346607.932587,-431447.350894,24370343.4558,-5795359.93664,18574983.5192,3135709.36555,-842909.075521,2403844.2273,3168094.86555,-764250.638252,15.0,-106518.385394,28223417.4512
2011年,26547043.7755,544628.797459,297508.716942,499139.396658,808303.208637,514356.797549,873342.520935,96646.4034171,4816001.82327,244231.4122,4816001.82327,9204001.3637,-195455.969662,3738125.635,-6953865.38,19233753.3843,4828309.61716,-11553127.2609,10506106.3637,-4527504.42567,3802691.0,-7095781.0,-18360410.8633,-147585.008783,0.0,1302105.0,-4332048.45601,64565.365,-141915.62,28007221.915,-4842064.10596,23165157.809,530842.762257,110411.879659,1963914.6481,1339145.97089,624768.677208,510794.491695,15217.4008915,26002414.9781
2012年,-3176581.46171,427227.697435,1729630.38783,-491007.538251,2426723.55455,-841989.875631,-25998803.0604,544676.491078,25323.5721514,77529.93,1025323.57215,-2702129.5401,-853905.610159,4158529.5,-6057576.0,-2838759.01131,-5937602.79229,-10470957.0193,-1678432.7101,-6533210.60195,4232600.0,-6181200.0,-23160044.0491,467146.561078,-1000000.0,1023696.83,-5679304.99179,74070.5,-123624.0,25347494.43,-6235495.97223,19111998.4577,2990270.20741,202923.570679,4777927.45701,5416993.76196,-639066.304952,697093.16672,-350982.33738,-3603809.15915
2013年,34610000.0,305201.193848,1598902.72924,-282081.439389,3330453.07425,-282190.694689,7220000.0,2092.10153217,-4230159.76176,-77828.158593,-5230159.76176,7402998.50029,1020324.65465,4415014.76025,-5906082.2688,21416189.8533,7576160.86115,-201413.296099,9344283.19062,-3194727.34937,4493653.7,-6026614.56,-13652914.9672,79920.2601252,1000000.0,1941284.69032,-4215052.00402,78638.93975,-120532.2912,25821590.25,-7324400.22193,21795800.0,3259497.07741,-253106.696646,5289100.0,6589950.15166,-535297.391335,1731550.345,-109.2553,34304800.0
2014年,3823967.81633,-3274.798392,4095895.41802,-922642.286649,4132840.21672,-941320.447931,-25283571.6881,518096.936104,-76239.6942774,-57494.36499,-76239.6942774,-2859865.80361,-2823968.01687,-204299.0794,-6738050.97256,5015138.05126,8137907.00933,-15968169.9564,-3432927.89987,-7378737.87179,-207937.9943,-6875562.2169,-30298709.7393,575591.301094,0.0,-573062.096263,-4554769.85492,-3638.91490025,-137511.244338,28909718.1064,-8041848.54233,20867869.5641,5191578.89398,-140153.924096,8242944.73868,9324419.1107,-1081474.37203,36944.7987023,-18678.161282,3827242.61473
