,上海港口生产用码头长度,上海港口码头长度,上海港口非生产用码头长度,八所港口生产用码头长度,八所港口码头长度,八所港口非生产用码头长度,大连港口生产用码头长度,大连港口码头长度,大连港口非生产用码头长度,天津港口生产用码头长度,天津港口码头长度,天津港口非生产用码头长度,宁波—舟山港口生产用码头长度,宁波—舟山港口码头长度,宁波—舟山港口非生产用码头长度,广州港口生产用码头长度,广州港口码头长度,广州港口非生产用码头长度,日照港口生产用码头长度,日照港口码头长度,日照港口非生产用码头长度,汕头港口生产用码头长度,汕头港口码头长度,汕头港口非生产用码头长度,海口港口生产用码头长度,海口港口码头长度,海口港口非生产用码头长度,港口生产用码头长度,港口码头长度,港口非生产用码头长度,湛江港口生产用码头长度,湛江港口码头长度,湛江港口非生产用码头长度,烟台港口生产用码头长度,烟台港口码头长度,烟台港口非生产用码头长度,秦皇岛港口生产用码头长度,秦皇岛港口码头长度,秦皇岛港口非生产用码头长度,营口港口生产用码头长度,营口港口码头长度,营口港口非生产用码头长度,连云港港口生产用码头长度,连云港港口码头长度,连云港港口非生产用码头长度,青岛港口生产用码头长度,青岛港口码头长度,青岛港口非生产用码头长度
1988年,14686,17297,2611,842,842,0,10045,14131,4086,8007,8590,583,3724,4342,618,8748,10242,1494,0,0,0,995,1044,49,1040,1270,230,91420,105323,13903,3027,3648,621,1800,1926,126,4065,4452,387,1083,1172,89,2767,3148,381,6292,7190,898
1989年,15969,18517,2548,842,842,0,10045,14192,4147,8007,8716,709,3724,4376,652,9374,10868,1494,0,0,0,1215,1264,49,1212,1442,230,96634,111558,14924,3780,4601,821,1962,2088,126,5517,5904,387,1488,1577,89,2992,3373,381,6602,7500,898
1990年,18730,21439,2709,842,842,0,10045,14192,4147,8792,9501,709,3761,4413,652,8875,10365,1490,1667,1987,320,1215,1264,49,1212,1442,230,104944,120829,15885,3780,4601,821,3198,3324,126,5517,6151,634,2221,2448,227,3187,3837,650,6602,7500,898
1991年,17801,21038,3237,1012,1012,0,10045,14192,4147,8997,9706,709,4471,5244,773,9552,11141,1589,0,0,0,1215,1264,49,1212,1442,230,106292,122339,16047,2982,3803,821,3324,3524,200,5517,6153,636,2590,2671,81,3726,4107,381,6827,7500,673
1992年,17387,20853,3466,1412,1412,0,10045,14192,4147,8983,9692,709,5074,5847,773,9570,10989,1419,1827,2147,320,1215,1264,49,1442,1442,0,113773,130205,16432,3982,4803,821,3324,3524,200,5506,6142,636,2590,2671,81,3527,4377,850,8368,8921,553
1993年,18285,21841,3556,1412,1412,0,11086,15820,4734,10861,11650,789,5075,5972,897,9570,10989,1419,1827,2147,320,1045,1094,49,1623,1623,0,118850,136155,17305,4123,4944,821,3324,3524,200,5769,6446,677,2590,2671,81,3985,4903,918,8934,9487,553
1994年,18995,22629,3634,1412,1412,0,11328,15384,4056,10861,11650,789,5225,6122,897,9570,10989,1419,1827,2147,320,1165,1214,49,1619,1619,0,156956,173204,16248,5280,6328,1048,3324,3524,200,5769,6446,677,25782,25863,81,4454,4903,449,8734,9287,553
1995年,18995,22676,3681,1412,1412,0,11635,15704,4069,10861,11650,789,5353,6210,857,10885,12492,1607,3093,3413,320,1536,1635,99,1719,1719,0,141336,159139,17803,5280,6328,1048,3198,3524,326,5769,6859,1090,2750,2831,81,4824,5273,449,8934,9487,553
1996年,18995,22721,3726,1412,1412,0,11635,15993,4358,10861,12050,1189,5214,6035,821,11100,12839,1739,3195,3515,320,2174,2285,111,1719,1719,0,150238,169195,18957,5280,6328,1048,3198,3524,326,5769,6859,1090,3008,3089,81,4824,5273,449,8934,9487,553
1997年,19627,23651,4024,1412,1412,0,12564,16922,4358,10861,12050,1189,5771,6752,981,10885,12592,1707,3093,3413,320,2634,2745,111,1719,1719,0,159507,179921,20414,5587,6635,1048,4817,5017,200,6540,7735,1195,4013,4094,81,5073,5522,449,8624,9177,553
1998年,18892,23352,4460,1412,1412,0,14031,17811,3780,11433,12457,1024,6120,7221,1101,10549,12496,1947,3198,3518,320,2634,2745,111,1719,1719,0,166035,187261,21226,5587,6635,1048,4816,5016,200,6540,7735,1195,4013,4094,81,5073,5522,449,9418,9971,553
1999年,19382,23906,4524,1412,1412,0,14592,18372,3780,11196,12220,1024,6190,7251,1061,10549,12496,1947,3198,3518,320,2980,3152,172,1719,1719,0,173929,196281,22352,5588,6636,1048,4816,5016,200,6694,7889,1195,4013,4094,81,5803,6252,449,9972,10525,553
2000年,19382,23557,4175,1412,1412,0,14547,18553,4006,11896,12920,1024,6208,7489,1281,11549,13496,1947,3198,3518,320,2980,3152,172,1719,1719,0,182856,205042,22186,5587,6635,1048,4816,5016,200,6694,7889,1195,4924,5005,81,5803,6252,449,9522,10525,1003
2001年,18912,23555,4643,1412,1412,0,14372,18378,4006,12631,13530,899,6050,7409,1359,10990,12937,1947,3198,3518,320,5975,6231,256,1719,1719,0,189738,212290,22552,5587,6635,1048,5777,5977,200,6694,7888,1194,4924,5005,81,5803,6252,449,10147,10915,768
2002年,19831,24370,4539,1412,1412,0,14543,18553,4010,13565,14464,899,5906,7144,1238,11237,13114,1877,3459,3779,320,5976,6232,256,1719,1719,0,196942,219150,22208,6057,7285,1228,5777,5977,200,6694,7888,1194,5124,5205,81,5803,6252,449,10147,10915,768
2003年,21433,25604,4171,1412,1412,0,24611,29207,4596,13544,14443,899,7480,8877,1397,10518,12395,1877,5194,5514,320,8521,8777,256,1719,1719,0,256748,280756,24008,6057,7285,1228,6225,6608,383,7017,8335,1318,4848,4929,81,6023,6493,470,11539,12457,918
2004年,18959,24046,5087,1412,1412,0,26119,30715,4596,18380,20324,1944,8645,10042,1397,12768,14645,1877,5794,6114,320,9041,9297,256,1719,1719,0,286566,316520,29954,8844,10072,1228,6225,6608,383,8759,10077,1318,4953,5034,81,6421,6891,470,12005,12788,783
2005年,20069,23580,3511,1412,1412,0,26119,30715,4596,18962,20906,1944,26297,28157,1860,36301,46553,10252,6994,7314,320,8662,8918,256,2662,2662,0,340727,378678,37951,9011,10439,1428,6974,7357,383,10128,11446,1318,4758,5047,289,6421,6891,470,13018,13961,943
2006年,22194,24561,2367,1412,1412,0,31112,35708,4596,22871,24584,1713,31415,33275,1860,39886,49348,9462,7838,7838,0,8662,8918,256,2922,2922,0,382492,417749,35257,9011,10439,1428,7961,8769,808,12248,13566,1318,7846,8135,289,7245,7715,470,13380,14163,783
2007年,22194,24468,2274,1729,1729,0,31746,36562,4816,25607,27320,1713,56278,57911,1633,41301,50863,9562,8993,8993,0,8662,8810,148,2922,2922,0,420245,456632,36387,9011,10439,1428,12048,13151,1103,12245,13863,1618,9349,9638,289,7683,8153,470,14969,16202,1233
2008年,68191,114931,46740,1559,1729,170,33168,36825,3657,26357,27715,1358,59345,61566,2221,40062,43183,3121,9294,9294,0,8752,8953,201,2710,2710,0,491870,564800,72930,10250,11429,1179,12897,14220,1323,12394,13712,1318,10685,10974,289,7406,7855,449,15618,16636,1018
2009年,72274,116834,44560,1559,1729,170,33318,37195,3877,26736,28004,1268,64630,66906,2276,41042,44163,3121,10914,10914,0,8752,8953,201,4422,4613,191,560565,628713,68148,14152,15947,1795,13866,15189,1323,14750,15945,1195,11187,11476,289,10505,10802,297,18749,19767,1018
2010年,72537,119248,46711,1754,1924,170,33686,37563,3877,30567,31915,1348,71668,73914,2246,42001,45122,3121,11625,11931,306,9444,9715,271,5647,5838,191,595483,665168,69685,15757,17458,1701,14166,15296,1130,14750,16068,1318,13244,13533,289,10158,10455,297,19500,20518,1018
2011年,72742,119704,46962,1754,1924,170,33978,37855,3877,31366,32714,1348,73755,76141,2386,44398,47834,3436,11989,12295,306,9444,9715,271,5647,5838,191,617746,688779,71033,15757,17458,1701,16140,17270,1130,14750,16068,1318,14731,15465,734,10158,10455,297,19500,20518,1018
2012年,74459,122859,48400,1754,1924,170,36872,40749,3877,32630,33978,1348,75735,78413,2678,45255,49051,3796,12985,13291,306,9444,9715,271,4884,5075,191,647541,721159,73618,15757,17458,1701,17020,18150,1130,14750,16068,1318,16164,16898,734,11236,11533,297,20944,21962,1018
2013年,74487,123988,49501,2154,2324,170,38149,42026,3877,34408,35756,1348,78371,81269,2898,45477,49273,3796,12707,13013,306,9627,9898,271,4372,4563,191,669379,744469,75090,15542,17243,1701,17911,19041,1130,14750,16068,1318,16363,17097,734,11715,12012,297,20944,21962,1018
2014年,75091,126044,50953,2154,2324,170,38730,42607,3877,34606,35954,1348,80125,83313,3188,46958,50654,3696,13198,13504,306,9627,9898,271,6858,7049,191,701232,778579,77347,15542,17243,1701,17911,19041,1130,15928,17246,1318,17432,18166,734,14356,14653,297,21696,22714,1018
