,上海港口泊位数,上海港口生产用泊位数,上海港口非生产用泊位数,八所港口泊位数,八所港口生产用泊位数,八所港口非生产用泊位数,大连港口泊位数,大连港口生产用泊位数,大连港口非生产用泊位数,天津港口泊位数,天津港口生产用泊位数,天津港口非生产用泊位数,宁波—舟山港口泊位数,宁波—舟山港口生产用泊位数,宁波—舟山港口非生产用泊位数,广州港口泊位数,广州港口生产用泊位数,广州港口非生产用泊位数,日照港口泊位数,日照港口生产用泊位数,日照港口非生产用泊位数,汕头港口泊位数,汕头港口生产用泊位数,汕头港口非生产用泊位数,沿海主要港口码头泊位数,海口港口泊位数,海口港口生产用泊位数,海口港口非生产用泊位数,港口生产用泊位数,港口非生产用泊位数,湛江港口泊位数,湛江港口生产用泊位数,湛江港口非生产用泊位数,烟台港口泊位数,烟台港口生产用泊位数,烟台港口非生产用泊位数,秦皇岛港口泊位数,秦皇岛港口生产用泊位数,秦皇岛港口非生产用泊位数,营口港口泊位数,营口港口生产用泊位数,营口港口非生产用泊位数,连云港港口泊位数,连云港港口生产用泊位数,连云港港口非生产用泊位数,青岛港口泊位数,青岛港口生产用泊位数,青岛港口非生产用泊位数
1988年,174.0,104.0,70.0,5.0,5.0,,73.0,55.0,18.0,52.0,46.0,6.0,44.0,31.0,13.0,126.0,98.0,28.0,,,,13.0,10.0,3.0,1099.0,13.0,9.0,4.0,893.0,206.0,24.0,18.0,6.0,17.0,16.0,1.0,23.0,18.0,5.0,14.0,10.0,4.0,20.0,16.0,4.0,36.0,31.0,5.0
1989年,181.0,113.0,68.0,5.0,5.0,,75.0,55.0,20.0,53.0,46.0,7.0,45.0,31.0,14.0,135.0,107.0,28.0,,3.0,,15.0,12.0,3.0,1103.0,13.0,9.0,4.0,885.0,218.0,31.0,22.0,9.0,18.0,17.0,1.0,29.0,24.0,5.0,17.0,13.0,4.0,21.0,17.0,4.0,40.0,35.0,5.0
1990年,215.0,142.0,73.0,5.0,5.0,,75.0,55.0,20.0,57.0,50.0,7.0,45.0,31.0,14.0,118.0,90.0,28.0,13.0,6.0,7.0,15.0,12.0,3.0,1200.0,13.0,9.0,4.0,967.0,233.0,31.0,22.0,9.0,24.0,23.0,1.0,35.0,24.0,11.0,22.0,17.0,5.0,23.0,18.0,5.0,40.0,35.0,5.0
1991年,213.0,134.0,79.0,6.0,6.0,,75.0,55.0,20.0,58.0,51.0,7.0,49.0,34.0,15.0,131.0,101.0,30.0,,,,15.0,12.0,3.0,1211.0,17.0,13.0,4.0,968.0,243.0,32.0,23.0,9.0,26.0,24.0,2.0,35.0,24.0,11.0,22.0,19.0,3.0,24.0,20.0,4.0,40.0,36.0,4.0
1992年,215.0,131.0,84.0,8.0,8.0,,75.0,55.0,20.0,57.0,50.0,7.0,52.0,37.0,15.0,127.0,101.0,26.0,16.0,9.0,7.0,15.0,12.0,3.0,1249.0,13.0,13.0,,1007.0,242.0,32.0,23.0,9.0,26.0,24.0,2.0,35.0,24.0,11.0,39.0,19.0,20.0,25.0,19.0,6.0,45.0,42.0,3.0
1993年,222.0,136.0,86.0,8.0,8.0,,59.0,59.0,,68.0,60.0,8.0,53.0,37.0,16.0,127.0,101.0,26.0,16.0,9.0,7.0,12.0,9.0,3.0,1278.0,11.0,11.0,,1050.0,228.0,33.0,24.0,9.0,26.0,24.0,2.0,37.0,25.0,12.0,22.0,19.0,3.0,27.0,21.0,6.0,47.0,44.0,3.0
1994年,227.0,140.0,87.0,8.0,8.0,,60.0,60.0,,68.0,60.0,8.0,54.0,38.0,16.0,127.0,101.0,26.0,16.0,9.0,7.0,13.0,10.0,3.0,1282.0,11.0,11.0,,1056.0,226.0,39.0,29.0,10.0,26.0,24.0,2.0,37.0,25.0,12.0,20.0,17.0,3.0,27.0,23.0,4.0,47.0,44.0,3.0
1995年,227.0,140.0,87.0,8.0,8.0,,62.0,62.0,,68.0,60.0,8.0,55.0,40.0,15.0,137.0,110.0,27.0,25.0,18.0,7.0,17.0,13.0,4.0,1519.0,15.0,15.0,,1263.0,256.0,39.0,29.0,10.0,26.0,23.0,3.0,44.0,25.0,19.0,21.0,18.0,3.0,29.0,25.0,4.0,47.0,44.0,3.0
1996年,226.0,138.0,88.0,8.0,8.0,,62.0,62.0,,70.0,60.0,10.0,52.0,39.0,13.0,144.0,114.0,30.0,25.0,18.0,7.0,23.0,19.0,4.0,1539.0,15.0,15.0,,1282.0,258.0,39.0,29.0,10.0,26.0,23.0,3.0,44.0,25.0,19.0,22.0,19.0,3.0,29.0,25.0,4.0,47.0,44.0,3.0
1997年,238.0,142.0,96.0,8.0,8.0,,65.0,65.0,,70.0,60.0,10.0,59.0,42.0,17.0,138.0,110.0,28.0,25.0,18.0,7.0,25.0,21.0,4.0,1606.0,15.0,15.0,,1330.0,276.0,41.0,31.0,10.0,34.0,32.0,2.0,48.0,28.0,20.0,27.0,24.0,3.0,30.0,26.0,4.0,43.0,40.0,3.0
1998年,234.0,135.0,99.0,8.0,8.0,,71.0,71.0,,72.0,63.0,9.0,62.0,43.0,19.0,136.0,105.0,31.0,25.0,18.0,7.0,25.0,21.0,4.0,1608.0,15.0,15.0,,1321.0,287.0,41.0,31.0,10.0,31.0,29.0,2.0,48.0,28.0,20.0,27.0,24.0,3.0,30.0,26.0,4.0,46.0,43.0,3.0
1999年,235.0,134.0,101.0,8.0,8.0,,73.0,73.0,,71.0,62.0,9.0,63.0,45.0,18.0,136.0,105.0,31.0,25.0,18.0,7.0,28.0,23.0,5.0,1686.0,15.0,15.0,,1392.0,294.0,41.0,31.0,10.0,31.0,29.0,2.0,49.0,29.0,20.0,27.0,24.0,3.0,34.0,30.0,4.0,49.0,46.0,3.0
2000年,225.0,134.0,91.0,8.0,8.0,,100.0,73.0,27.0,73.0,64.0,9.0,69.0,45.0,24.0,141.0,110.0,31.0,25.0,18.0,7.0,28.0,23.0,5.0,1772.0,15.0,15.0,,1454.0,318.0,41.0,31.0,10.0,31.0,29.0,2.0,49.0,29.0,20.0,30.0,27.0,3.0,34.0,30.0,4.0,49.0,46.0,3.0
2001年,228.0,133.0,95.0,8.0,8.0,,101.0,73.0,28.0,74.0,66.0,8.0,66.0,40.0,26.0,130.0,99.0,31.0,25.0,18.0,7.0,66.0,60.0,6.0,1772.0,15.0,15.0,,1443.0,329.0,41.0,31.0,10.0,35.0,33.0,2.0,49.0,29.0,20.0,30.0,27.0,3.0,34.0,30.0,4.0,49.0,43.0,6.0
2002年,222.0,131.0,91.0,8.0,8.0,,102.0,74.0,28.0,76.0,68.0,8.0,63.0,38.0,25.0,135.0,105.0,30.0,26.0,19.0,7.0,66.0,60.0,6.0,1790.0,15.0,15.0,,1473.0,317.0,43.0,32.0,11.0,35.0,33.0,2.0,49.0,29.0,20.0,32.0,29.0,3.0,34.0,30.0,4.0,49.0,43.0,6.0
2003年,215.0,137.0,78.0,8.0,8.0,,206.0,175.0,31.0,76.0,68.0,8.0,76.0,46.0,30.0,122.0,92.0,30.0,34.0,27.0,7.0,88.0,82.0,6.0,2562.0,15.0,15.0,,2238.0,324.0,43.0,32.0,11.0,37.0,34.0,3.0,52.0,31.0,21.0,30.0,27.0,3.0,36.0,31.0,5.0,54.0,47.0,7.0
2004年,197.0,117.0,80.0,8.0,8.0,,223.0,192.0,31.0,114.0,98.0,16.0,79.0,49.0,30.0,133.0,103.0,30.0,37.0,30.0,7.0,91.0,85.0,6.0,2849.0,15.0,15.0,,2438.0,411.0,80.0,69.0,11.0,37.0,34.0,3.0,57.0,36.0,21.0,31.0,28.0,3.0,37.0,32.0,5.0,55.0,49.0,6.0
2005年,183.0,121.0,62.0,8.0,8.0,,223.0,192.0,31.0,116.0,100.0,16.0,334.0,297.0,37.0,617.0,455.0,162.0,35.0,28.0,7.0,88.0,82.0,6.0,3641.0,31.0,31.0,,3110.0,531.0,85.0,71.0,14.0,43.0,40.0,3.0,62.0,41.0,21.0,31.0,26.0,5.0,37.0,32.0,5.0,59.0,52.0,7.0
2006年,175.0,121.0,54.0,8.0,8.0,,222.0,191.0,31.0,132.0,119.0,13.0,341.0,304.0,37.0,631.0,474.0,157.0,31.0,31.0,,88.0,82.0,6.0,3804.0,32.0,32.0,,3291.0,513.0,85.0,71.0,14.0,53.0,46.0,7.0,73.0,52.0,21.0,41.0,36.0,5.0,40.0,35.0,5.0,60.0,54.0,6.0
2007年,174.0,121.0,53.0,10.0,10.0,,226.0,194.0,32.0,142.0,129.0,13.0,734.0,703.0,31.0,634.0,475.0,159.0,36.0,36.0,,85.0,82.0,3.0,3970.0,32.0,32.0,,3453.0,517.0,85.0,71.0,14.0,82.0,70.0,12.0,80.0,52.0,28.0,48.0,43.0,5.0,42.0,37.0,5.0,67.0,59.0,8.0
2008年,1141.0,604.0,537.0,10.0,9.0,1.0,222.0,198.0,24.0,139.0,128.0,11.0,667.0,607.0,60.0,503.0,461.0,42.0,37.0,37.0,,86.0,82.0,4.0,4914.0,34.0,34.0,,4001.0,913.0,99.0,82.0,17.0,85.0,71.0,14.0,75.0,54.0,21.0,54.0,49.0,5.0,37.0,33.0,4.0,69.0,63.0,6.0
2009年,1145.0,614.0,531.0,10.0,9.0,1.0,221.0,196.0,25.0,134.0,124.0,10.0,689.0,628.0,61.0,509.0,467.0,42.0,44.0,44.0,,86.0,82.0,4.0,5372.0,42.0,41.0,1.0,4516.0,856.0,178.0,148.0,30.0,88.0,74.0,14.0,86.0,66.0,20.0,55.0,50.0,5.0,55.0,53.0,2.0,79.0,73.0,6.0
2010年,1160.0,602.0,558.0,11.0,10.0,1.0,225.0,200.0,25.0,151.0,140.0,11.0,710.0,650.0,60.0,515.0,473.0,42.0,48.0,47.0,1.0,91.0,86.0,5.0,5529.0,53.0,52.0,1.0,4661.0,868.0,184.0,153.0,31.0,85.0,75.0,10.0,86.0,66.0,20.0,68.0,63.0,5.0,55.0,53.0,2.0,81.0,75.0,6.0
2011年,1164.0,606.0,558.0,11.0,10.0,1.0,223.0,198.0,25.0,154.0,143.0,11.0,687.0,625.0,62.0,533.0,487.0,46.0,49.0,48.0,1.0,91.0,86.0,5.0,5612.0,53.0,52.0,1.0,4733.0,879.0,184.0,153.0,31.0,92.0,82.0,10.0,86.0,66.0,20.0,76.0,69.0,7.0,55.0,53.0,2.0,81.0,75.0,6.0
2012年,1183.0,612.0,571.0,11.0,10.0,1.0,231.0,206.0,25.0,159.0,148.0,11.0,665.0,601.0,64.0,540.0,493.0,47.0,53.0,52.0,1.0,91.0,86.0,5.0,5715.0,37.0,36.0,1.0,4811.0,904.0,184.0,153.0,31.0,95.0,85.0,10.0,86.0,66.0,20.0,82.0,75.0,7.0,58.0,56.0,2.0,85.0,79.0,6.0
2013年,1191.0,608.0,583.0,13.0,12.0,1.0,237.0,212.0,25.0,160.0,149.0,11.0,683.0,613.0,70.0,545.0,498.0,47.0,51.0,50.0,1.0,92.0,87.0,5.0,5761.0,32.0,31.0,1.0,4841.0,920.0,177.0,146.0,31.0,98.0,88.0,10.0,86.0,66.0,20.0,83.0,76.0,7.0,53.0,51.0,2.0,88.0,82.0,6.0
2014年,1220.0,608.0,612.0,13.0,12.0,1.0,240.0,215.0,25.0,162.0,151.0,11.0,687.0,615.0,72.0,556.0,510.0,46.0,52.0,51.0,1.0,92.0,87.0,5.0,5923.0,52.0,51.0,1.0,4970.0,953.0,177.0,146.0,31.0,98.0,88.0,10.0,92.0,72.0,20.0,87.0,80.0,7.0,62.0,60.0,2.0,90.0,84.0,6.0
