,上海港口万吨级泊位数,上海港口生产用万吨级泊位数,八所港口万吨级泊位数,八所港口生产用万吨级泊位数,大连港口万吨级泊位数,大连港口生产用万吨级泊位数,天津港口万吨级泊位数,天津港口生产用万吨级泊位数,宁波—舟山港口万吨级泊位数,宁波—舟山港口生产用万吨级泊位数,广州港口万吨级泊位数,广州港口生产用万吨级泊位数,日照港口万吨级泊位数,日照港口生产用万吨级泊位数,汕头港口万吨级泊位数,汕头港口生产用万吨级泊位数,沿海主要港口万吨级泊位数,海口港口万吨级泊位数,海口港口生产用万吨级泊位数,港口生产用万吨级泊位数,湛江港口万吨级泊位数,湛江港口生产用万吨级泊位数,烟台港口万吨级泊位数,烟台港口生产用万吨级泊位数,秦皇岛港口万吨级泊位数,秦皇岛港口生产用万吨级泊位数,营口港口万吨级泊位数,营口港口生产用万吨级泊位数,连云港港口万吨级泊位数,连云港港口生产用万吨级泊位数,青岛港口万吨级泊位数,青岛港口生产用万吨级泊位数
1992年,63.0,63.0,4.0,4.0,28.0,28.0,34.0,34.0,17.0,17.0,22.0,22.0,5.0,5.0,,,312.0,,,312.0,18.0,18.0,9.0,9.0,22.0,22.0,7.0,7.0,15.0,15.0,22.0,22.0
1993年,67.0,67.0,6.0,6.0,32.0,32.0,45.0,45.0,17.0,17.0,22.0,22.0,5.0,5.0,,,349.0,2.0,2.0,349.0,18.0,18.0,9.0,9.0,23.0,23.0,7.0,7.0,16.0,16.0,24.0,24.0
1994年,68.0,68.0,4.0,4.0,32.0,32.0,45.0,45.0,17.0,17.0,22.0,22.0,5.0,5.0,,,359.0,2.0,2.0,359.0,23.0,23.0,9.0,9.0,23.0,23.0,7.0,7.0,18.0,18.0,24.0,24.0
1995年,68.0,68.0,4.0,4.0,32.0,32.0,45.0,45.0,17.0,17.0,27.0,27.0,10.0,10.0,1.0,1.0,394.0,2.0,2.0,394.0,23.0,23.0,9.0,9.0,23.0,23.0,8.0,8.0,20.0,20.0,24.0,24.0
1996年,69.0,69.0,4.0,4.0,32.0,32.0,45.0,45.0,17.0,17.0,27.0,27.0,10.0,10.0,3.0,3.0,406.0,2.0,2.0,406.0,23.0,23.0,9.0,9.0,23.0,23.0,9.0,9.0,20.0,20.0,24.0,24.0
1997年,71.0,71.0,4.0,4.0,35.0,35.0,45.0,45.0,19.0,19.0,27.0,27.0,10.0,10.0,5.0,5.0,449.0,2.0,2.0,449.0,24.0,24.0,15.0,15.0,26.0,26.0,14.0,14.0,21.0,21.0,24.0,24.0
1998年,67.0,67.0,4.0,4.0,37.0,37.0,48.0,48.0,20.0,20.0,27.0,27.0,10.0,10.0,5.0,5.0,468.0,2.0,2.0,468.0,24.0,24.0,15.0,15.0,26.0,26.0,14.0,14.0,21.0,21.0,27.0,27.0
1999年,70.0,70.0,4.0,4.0,39.0,39.0,47.0,47.0,20.0,20.0,27.0,27.0,10.0,10.0,6.0,6.0,490.0,2.0,2.0,490.0,24.0,24.0,15.0,15.0,26.0,26.0,14.0,14.0,25.0,25.0,30.0,30.0
2000年,70.0,70.0,6.0,6.0,39.0,39.0,49.0,49.0,20.0,20.0,32.0,32.0,10.0,10.0,6.0,6.0,518.0,2.0,2.0,518.0,24.0,24.0,15.0,15.0,26.0,26.0,16.0,16.0,25.0,25.0,30.0,30.0
2001年,71.0,71.0,6.0,6.0,39.0,39.0,50.0,50.0,19.0,19.0,32.0,32.0,10.0,10.0,8.0,8.0,527.0,2.0,2.0,527.0,24.0,24.0,19.0,19.0,26.0,26.0,16.0,16.0,25.0,25.0,32.0,32.0
2002年,74.0,74.0,6.0,6.0,40.0,40.0,52.0,52.0,19.0,19.0,32.0,32.0,11.0,11.0,8.0,8.0,547.0,2.0,2.0,547.0,25.0,25.0,19.0,19.0,26.0,26.0,16.0,16.0,25.0,25.0,32.0,32.0
2003年,82.0,82.0,6.0,6.0,55.0,55.0,52.0,52.0,23.0,23.0,32.0,32.0,17.0,17.0,13.0,13.0,650.0,2.0,2.0,650.0,25.0,25.0,21.0,21.0,27.0,27.0,16.0,16.0,26.0,26.0,36.0,36.0
2004年,74.0,74.0,6.0,6.0,57.0,57.0,52.0,52.0,26.0,26.0,37.0,37.0,19.0,19.0,16.0,16.0,687.0,2.0,2.0,687.0,29.0,29.0,21.0,21.0,33.0,33.0,16.0,16.0,27.0,27.0,37.0,37.0
2005年,78.0,78.0,6.0,6.0,57.0,57.0,54.0,54.0,48.0,48.0,49.0,49.0,24.0,24.0,16.0,16.0,769.0,2.0,2.0,769.0,29.0,29.0,23.0,23.0,38.0,38.0,15.0,15.0,27.0,27.0,40.0,40.0
2006年,80.0,80.0,6.0,6.0,73.0,73.0,65.0,65.0,60.0,60.0,57.0,57.0,27.0,27.0,16.0,16.0,883.0,3.0,3.0,883.0,29.0,29.0,25.0,25.0,42.0,42.0,25.0,25.0,29.0,29.0,42.0,42.0
2007年,80.0,80.0,7.0,7.0,74.0,74.0,71.0,71.0,84.0,84.0,61.0,61.0,31.0,31.0,16.0,16.0,967.0,3.0,3.0,967.0,29.0,29.0,39.0,39.0,42.0,42.0,30.0,30.0,32.0,32.0,48.0,48.0
2008年,137.0,137.0,7.0,7.0,76.0,76.0,75.0,75.0,94.0,94.0,56.0,56.0,32.0,32.0,17.0,17.0,1076.0,3.0,3.0,1076.0,29.0,29.0,42.0,42.0,42.0,42.0,33.0,33.0,31.0,31.0,48.0,48.0
2009年,148.0,148.0,7.0,7.0,78.0,78.0,80.0,80.0,108.0,108.0,58.0,58.0,39.0,39.0,17.0,17.0,1214.0,10.0,10.0,1214.0,30.0,30.0,45.0,45.0,42.0,42.0,34.0,34.0,40.0,40.0,57.0,57.0
2010年,150.0,150.0,8.0,8.0,78.0,78.0,95.0,95.0,120.0,120.0,60.0,60.0,40.0,40.0,18.0,18.0,1293.0,10.0,10.0,1293.0,31.0,31.0,46.0,46.0,42.0,42.0,38.0,38.0,38.0,38.0,59.0,59.0
2011年,150.0,150.0,8.0,8.0,79.0,79.0,98.0,98.0,129.0,129.0,65.0,65.0,41.0,41.0,18.0,18.0,1366.0,10.0,10.0,1366.0,31.0,31.0,53.0,53.0,42.0,42.0,44.0,44.0,38.0,38.0,59.0,59.0
2012年,152.0,152.0,8.0,8.0,93.0,93.0,101.0,101.0,137.0,137.0,66.0,66.0,45.0,45.0,18.0,18.0,1453.0,10.0,10.0,1453.0,31.0,31.0,56.0,56.0,42.0,42.0,49.0,49.0,41.0,41.0,63.0,63.0
2013年,170.0,156.0,9.0,9.0,96.0,96.0,102.0,102.0,146.0,146.0,68.0,66.0,44.0,44.0,19.0,19.0,1524.0,11.0,10.0,1524.0,30.0,30.0,59.0,59.0,42.0,42.0,50.0,50.0,44.0,44.0,66.0,66.0
2014年,170.0,156.0,9.0,9.0,98.0,98.0,106.0,106.0,150.0,150.0,71.0,69.0,45.0,45.0,19.0,19.0,1633.0,16.0,15.0,1614.0,30.0,30.0,59.0,59.0,44.0,44.0,54.0,54.0,53.0,53.0,68.0,68.0
