,国家铁路其他货物周转量,国家铁路化肥和农药货物周转量,国家铁路木材货物周转量,国家铁路棉花货物周转量,国家铁路水泥货物周转量,国家铁路焦炭货物周转量,国家铁路煤货物周转量,国家铁路盐货物周转量,国家铁路石油货物周转量,国家铁路矿建材料货物周转量,国家铁路粮食货物周转量,国家铁路货物周转量,国家铁路金属矿石货物周转量,国家铁路钢铁及有色金属货物周转量,国家铁路非金属矿石货物周转量
1997年,3039.96,445.22,639.8,40.61,167.34,316.05,3893.65,90.12,656.72,581.61,1023.13,13046.41,565.75,1065.49,520.96
1998年,2826.77,566.67,599.88,43.17,155.93,321.71,3543.08,84.47,678.43,552.97,791.91,12261.52,545.53,1075.46,475.54
1999年,2815.07,619.33,569.71,68.92,162.29,324.43,3570.53,85.35,773.96,530.25,916.14,12577.89,579.07,1106.42,456.42
2000年,2946.71,611.86,588.08,64.72,167.39,402.15,3806.05,93.83,815.99,493.15,1012.57,13336.06,616.46,1244.45,472.65
2001年,3023.96,675.55,584.29,48.58,163.57,419.76,4276.04,92.31,899.96,504.94,936.38,14249.8,774.5,1347.51,502.45
2002年,2900.33,733.48,553.93,83.61,149.08,487.55,4638.86,95.25,973.16,428.08,1145.0,15078.17,920.98,1470.46,498.4
2003年,3078.25,723.12,538.66,73.34,153.47,637.89,5055.4,100.31,1029.34,365.0,1366.51,16323.41,1038.68,1655.45,507.99
2004年,3322.0,832.76,573.87,89.87,152.83,661.51,5712.98,98.43,1099.64,409.76,1634.93,18109.94,1196.02,1789.64,535.7
2005年,3237.38,1002.46,536.06,98.75,133.01,738.31,6373.83,103.82,1184.95,362.94,1655.1,19346.12,1385.78,1989.31,544.42
2006年,3437.5,1020.52,535.2,142.76,138.83,822.34,6728.49,99.36,1180.15,393.28,1553.16,20321.62,1547.74,2160.23,562.06
2007年,3660.3054,1112.32555,516.54466,144.3998,139.84862,865.49754,7416.32316,101.77471,1158.31436,403.27573,1671.98869,21856.13106,1727.51504,2328.88601,609.13179
2008年,3601.51478,1147.95192,413.53896,149.81103,158.36357,860.08519,8360.28,112.15308,1162.35621,436.22766,1994.15441,23360.31839,1930.91923,2373.85597,659.10638
2009年,3456.24,1172.47,352.68,171.27,192.54,839.52,8478.19,96.53,1192.34,432.55,1735.97,23354.5,2324.84,2374.12,535.25
2010年,3741.51139,1193.52668,340.40987,150.13592,183.7345,939.53177,10015.5128,100.94029,1209.86377,454.9287,1746.65639,25626.19217,2484.32479,2451.46287,613.65243
2011年,3928.00727,1312.87757,310.52847,105.06331,167.19473,1020.05789,11246.68149,118.99872,1127.87854,463.95224,1719.37809,27296.49393,2619.41506,2482.84189,673.61866
2012年,3929.049,1454.63856,275.58143,143.80688,146.11157,999.46581,10874.35682,97.5779,1082.13472,416.39795,1813.94545,26925.53229,2620.74774,2465.6454,606.07306
2013年,3899.06861,1414.53994,278.71518,167.80563,133.75327,1033.20907,10861.68134,96.31466,1082.87074,423.08359,1871.82464,26702.85319,2550.82902,2389.42595,499.73155
2014年,3767.58876,1364.84604,233.14897,192.32329,132.31554,985.34664,10596.2602,96.3453,1114.23548,338.72513,1457.68392,24934.31113,2115.20408,2139.0129,401.27488
