,中外合作经营餐饮业企业主营业务税金及附加,中外合资经营餐饮业企业主营业务税金及附加,其他外商投资餐饮业企业主营业务税金及附加,其他有限责任公司餐饮业企业主营业务税金及附加,其他港澳台商投资餐饮业企业主营业务税金及附加,其他联营餐饮业企业主营业务税金及附加,其他餐饮业企业主营业务税金及附加,其他餐饮服务业主营业务税金及附加,内资餐饮业企业主营业务税金及附加,国有与集体联营餐饮业企业主营业务税金及附加,国有独资公司餐饮业企业主营业务税金及附加,国有联营餐饮业企业主营业务税金及附加,国有餐饮业企业主营业务税金及附加,外商投资股份有限公司餐饮业企业主营业务税金及附加,外商投资餐饮业企业主营业务税金及附加,外资餐饮业企业主营业务税金及附加,快餐服务业主营业务税金及附加,有限责任公司餐饮业企业主营业务税金及附加,正餐服务业主营业务税金及附加,港、澳、台商合作经营餐饮业企业主营业务税金及附加,港、澳、台商合资经营餐饮业企业主营业务税金及附加,港、澳、台商投资股份有限公司餐饮业企业主营业务税金及附加,港、澳、台商投资餐饮业企业主营业务税金及附加,港、澳、台商独资经营餐饮业企业主营业务税金及附加,私营合伙餐饮业企业主营业务税金及附加,私营有限责任公司餐饮业企业主营业务税金及附加,私营独资餐饮业企业主营业务税金及附加,私营股份有限公司餐饮业企业主营业务税金及附加,私营餐饮业企业主营业务税金及附加,联营餐饮业企业主营业务税金及附加,股份合作餐饮业企业主营业务税金及附加,股份有限公司餐饮业企业主营业务税金及附加,集体联营餐饮业企业主营业务税金及附加,集体餐饮业企业主营业务税金及附加,餐饮业企业主营业务税金及附加,饮料及冷饮服务业主营业务税金及附加
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.5581,1.735,0.0,0.7743,0.0,0.053,0.0143,0.0,9.5584,0.046,0.0948,0.1038,4.2049,0.0189,3.149,0.8371,0.0,0.8691,0.0,0.6022,1.0449,0.0678,2.2279,0.513,0.0853,0.5716,0.5637,0.0608,1.2813,0.2232,0.4235,0.6848,0.0205,1.8572,14.9353,0.0
1999年,0.6366,1.9776,0.0,1.4152,0.0,0.0423,0.0271,0.2863,12.1042,0.0692,0.1359,0.0963,4.1327,0.0036,3.7624,1.1446,3.0361,1.551,15.0622,0.5133,1.643,0.0289,2.518,0.3328,0.0995,1.1954,0.8308,0.1871,2.3127,0.2505,0.752,0.9283,0.0427,2.1498,18.3845,0.0
2000年,0.6849,2.171,0.0,2.0269,0.0,0.0447,0.0068,0.2328,13.6925,0.0704,0.1716,0.0707,4.066,0.0214,4.4417,1.5644,4.254,2.1985,16.5613,0.5605,1.7853,0.0225,2.914,0.5457,0.1327,1.9511,1.112,0.2208,3.4166,0.2089,0.7529,0.8595,0.0231,2.1834,21.0481,0.0
2001年,1.0657,2.3657,0.0,2.9971,0.0,0.0647,0.0271,0.2,17.7396,0.0459,0.1685,0.035,3.4163,0.0231,5.2327,1.7783,5.4274,3.1656,20.8216,0.7348,1.9913,0.0433,3.5003,0.7309,0.2595,4.4092,1.6854,0.4096,6.7637,0.1685,1.1408,0.915,0.023,2.1427,26.4727,5.4274
2002年,1.1989,2.773,0.0,4.0907,0.0,0.0758,0.0962,0.7,24.2068,0.0574,0.0672,0.0725,3.6089,0.0461,6.3319,2.314,6.6617,4.158,27.0176,0.7499,1.9951,0.0389,3.7987,1.0147,0.6916,7.3911,2.6544,0.5654,11.3025,0.2529,1.5207,1.1751,0.0472,2.0926,34.3374,6.6617
2003年,0.83627,2.25541,0.0,5.09462,0.0,0.05502,0.18929,0.6,26.19574,0.0,0.0,0.0,2.9791,0.05109,5.42626,2.28349,5.53567,5.12841,28.90761,0.62015,1.3292,0.05665,3.50519,1.49919,0.86431,9.0148,3.30369,0.60619,13.78899,0.15344,1.02353,1.12689,0.0,1.80609,35.12719,0.07615
2004年,2.55112,4.07541,0.0,8.72601,0.0,0.10294,0.42098,1.13282,46.52332,0.00981,0.07389,0.06365,2.5993,0.02172,10.97322,4.32497,10.18596,8.7999,50.46844,0.71892,2.44389,0.00329,4.70752,1.54142,1.60571,21.35161,5.23027,1.65467,29.84226,0.20453,1.36363,1.74021,0.02813,1.55251,62.20406,0.41684
2005年,1.94457,4.01913,0.0,8.97104,0.0,0.1898,0.64981,1.43315,47.91444,0.0,0.05016,0.0,2.27746,0.05692,11.40453,5.38391,10.33269,9.0212,52.22268,0.67103,2.38471,0.0,5.01389,1.94073,1.52418,22.21918,5.57991,1.62076,30.94413,0.28005,1.29645,1.98026,0.0,1.45963,64.33296,0.34434
2006年,1.9639,5.3483,0.0,10.679,0.0,0.1087,1.0256,1.4436,57.3044,0.0,0.0657,0.0,2.4954,0.0,15.0496,7.6904,13.6005,10.7446,61.9419,0.6721,1.5909,0.0,5.2404,2.9624,1.6635,27.019,7.457,1.6849,37.8245,0.2062,1.5816,2.049,0.0,1.3776,77.59439,0.6083
2007年,2.27313,6.1432,0.0,13.67676,0.0,0.16705,1.35296,1.6458,70.70067,0.0,0.07396,0.06821,2.52674,0.0,18.79493,10.3411,17.08989,13.75072,76.02812,0.41584,1.91666,0.11072,5.91544,3.47222,2.24634,32.93043,10.20718,2.17918,47.56313,0.27768,1.26688,2.29836,0.0,1.6642,95.41104,0.64723
2008年,1.089,5.3831,0.0,18.0685,0.0,0.1632,3.0583,3.3339,103.5714,0.0,0.1004,0.0,3.0844,0.5504,26.0947,19.0721,22.2933,18.169,112.5751,0.5977,2.1765,1.2198,9.9228,5.9286,3.4035,44.1526,21.7658,3.1951,72.5171,0.2165,1.3416,3.6163,0.0,1.5682,139.5888,1.3865
2009年,1.19794,5.44704,0.0,20.23551,0.0,0.07864,2.59784,3.75219,102.77634,0.0,0.09059,0.0,3.3818,0.68523,23.21509,15.88488,24.87771,20.3261,106.26685,0.63433,2.18999,1.32305,10.56942,6.42205,3.1078,45.57878,16.95195,3.76748,69.40601,0.09647,1.31947,4.00924,0.0,1.63941,136.56085,1.6641
2010年,0.9,6.3,0.0,25.9,0.0,0.1,3.4,5.7,124.5,0.0,0.4,0.0,4.0,0.8,27.8,19.8,28.8,26.3,128.8,1.1,3.8,0.4,12.7,7.4,3.5,54.5,19.4,5.4,82.8,0.1,1.4,4.8,0.0,1.7,164.9,1.7
2011年,0.8223,9.8605,0.099,34.96,0.0,0.0715,6.3953,5.8054,142.214,0.0,0.518,0.0,4.257,0.2579,37.83,26.7905,40.3732,35.478,148.4986,0.8577,4.6597,0.5901,16.7529,10.6369,3.1045,62.4232,16.7694,4.5557,86.8527,0.1244,1.5598,5.9438,0.0,1.6031,196.7969,2.1198
2012年,0.84805,10.66993,0.06102,43.97192,0.0,0.05897,7.52616,5.10087,163.17418,0.0,0.72438,0.0,4.72158,0.17773,42.73317,30.97644,43.15133,44.6963,170.75511,1.04565,2.70991,0.13416,16.39631,12.48817,2.80644,70.71968,19.06647,4.39297,96.98556,0.11274,1.3999,6.13753,0.0,1.59441,222.30366,3.29635
2013年,0.68147,9.74418,0.10207,47.31441,0.0,0.0,3.06861,7.07537,169.53848,0.0,1.58567,0.0,3.33199,0.22643,44.09186,33.33771,45.93285,48.90008,175.17019,1.04977,3.5938,0.11065,18.96021,14.19475,2.09826,81.00655,18.1745,4.58647,105.86578,0.0,0.96551,6.14455,0.0,1.21287,232.59055,4.41214
2014年,0.64976,9.9908,0.12469,47.18647,0.02664,0.0,2.65762,6.88792,163.30563,0.0,1.91193,0.0,3.11471,0.25222,42.90791,31.89044,45.86859,49.0984,168.55705,0.94865,3.85117,0.13102,21.32292,16.36544,1.79704,78.9958,15.93431,4.01921,100.74636,0.0412,0.87303,5.68214,0.0412,1.09217,227.5365,6.2229
