,专用设备制造业工业生产者出厂价格指数(上年=100),交通运输设备制造业工业生产者出厂价格指数(上年=100),仪器仪表及文化、办公用机械制造业工业生产者出厂价格指数(上年=100),农副食品加工业工业生产者出厂价格指数(上年=100),化学原料及化学制品制造业工业生产者出厂价格指数(上年=100),化学纤维制造业工业生产者出厂价格指数(上年=100),医药制造业工业生产者出厂价格指数(上年=100),印刷业和记录媒介的复制工业生产者出厂价格指数(上年=100),塑料制品业工业生产者出厂价格指数(上年=100),家具制造业工业生产者出厂价格指数(上年=100),工业生产者出厂价格指数(上年=100),工艺品及其他制造业工业生产者出厂价格指数(上年=100),废弃资源和废旧材料回收加工业工业生产者出厂价格指数(上年=100),文教体育用品制造业工业生产者出厂价格指数(上年=100),有色金属冶炼及压延加工业工业生产者出厂价格指数(上年=100),有色金属矿采选业工业生产者出厂价格指数(上年=100),木材加工及木、竹、藤、棕、草制品业工业生产者出厂价格指数(上年=100),橡胶制品业工业生产者出厂价格指数(上年=100),水的生产和供应业工业生产者出厂价格指数(上年=100),烟草制品业工业生产者出厂价格指数(上年=100),煤炭开采和洗选业工业生产者出厂价格指数(上年=100),燃气生产和供应业工业生产者出厂价格指数(上年=100),电力、热力的生产和供应业工业生产者出厂价格指数(上年=100),电气机械及器材制造业工业生产者出厂价格指数(上年=100),皮革、毛皮、羽毛(绒)及其制品业工业生产者出厂价格指数(上年=100),石油加工、炼焦及核燃料加工业工业生产者出厂价格指数(上年=100),石油和天然气开采业工业生产者出厂价格指数(上年=100),纺织业工业生产者出厂价格指数(上年=100),纺织服装、鞋、帽制造业工业生产者出厂价格指数(上年=100),通信设备、计算机及其他电子设备制造业工业生产者出厂价格指数(上年=100),通用设备制造业工业生产者出厂价格指数(上年=100),造纸及纸制品业工业生产者出厂价格指数(上年=100),金属制品业工业生产者出厂价格指数(上年=100),非金属矿物制品业工业生产者出厂价格指数(上年=100),非金属矿采选业工业生产者出厂价格指数(上年=100),食品制造业工业生产者出厂价格指数(上年=100),饮料制造业工业生产者出厂价格指数(上年=100),黑色金属冶炼及压延加工业工业生产者出厂价格指数(上年=100),黑色金属矿采选业工业生产者出厂价格指数(上年=100)
2004年,101.84,98.21,98.49,113.98,110.22,108.07,97.79,98.13,106.51,101.84,106.1,105.74,116.9,102.18,118.88,117.57,102.22,101.0,104.1,101.06,116.77,102.51,102.44,103.68,100.86,112.19,119.61,104.25,100.7,95.12,103.11,101.28,107.43,103.34,105.84,102.92,100.56,118.9,145.27
2005年,101.75,98.85,98.72,101.08,108.48,104.68,101.55,99.6,105.48,102.73,104.9,103.87,105.33,102.0,111.69,119.59,101.75,104.45,104.03,100.88,123.23,105.17,104.15,103.2,102.48,118.42,129.87,100.53,99.83,95.25,101.78,101.37,104.03,100.63,109.35,101.45,100.58,104.65,112.32
2006年,101.2,99.5,99.2,100.1,100.4,101.2,98.6,99.8,101.0,100.3,103.0,102.5,103.4,101.4,122.5,123.4,102.3,104.7,106.4,100.5,105.0,106.8,102.8,107.4,101.2,118.0,122.0,102.1,100.9,96.6,100.2,100.7,101.0,101.5,102.5,101.1,100.5,96.0,96.8
2007年,101.5,100.1,98.9,113.3,103.8,103.3,102.1,100.5,102.0,101.5,103.1,104.3,104.4,101.5,113.9,112.6,103.6,103.3,104.8,100.4,103.8,104.8,102.2,103.7,102.4,105.0,102.0,100.8,100.7,97.5,101.3,101.0,102.6,101.3,103.1,102.6,101.2,107.9,110.3
2008年,103.32,101.54,100.25,114.39,111.19,99.4,103.75,102.59,102.65,103.34,106.9,105.5,108.94,101.91,96.81,104.76,104.11,104.9,102.91,100.52,128.73,105.87,101.85,101.05,102.27,120.31,122.13,101.46,102.14,98.27,104.8,105.77,106.7,107.9,110.98,107.99,103.7,119.74,131.39
2009年,100.04,99.89,99.1,96.03,88.07,90.47,100.15,99.92,96.1,100.22,94.6,100.47,85.03,100.33,83.4,88.92,98.84,99.57,103.2,100.5,101.87,100.48,102.35,95.04,98.5,91.15,66.04,98.28,99.92,95.73,98.65,94.44,96.79,99.88,97.84,101.11,100.62,83.92,74.31
2010年,101.21,100.33,99.14,105.53,108.0,114.08,103.24,100.65,102.28,101.42,105.5,103.49,107.54,102.43,117.25,118.99,101.54,103.76,105.48,100.43,109.95,105.38,101.97,103.15,101.67,117.8,137.81,108.53,101.66,98.34,100.1,103.45,101.65,102.08,106.4,103.31,102.91,107.4,117.46
2011年,101.4881,100.3564,99.7613,110.5976,109.7616,112.1152,102.5076,101.865,104.6516,102.39,106.026,105.3093,111.7971,103.7282,112.9732,115.01,104.1137,109.9796,102.8342,100.3078,110.2265,109.3808,101.5617,103.1442,104.5413,114.8867,124.5444,111.0917,103.6614,98.2596,102.6633,102.9928,104.129,106.9876,109.1157,106.2569,104.4343,109.8103,112.7054
2012年,100.2945,99.4594,100.2189,102.1901,95.9783,88.0032,100.143,100.4425,99.3523,101.6539,98.282,100.9197,92.1661,101.8046,93.0909,97.5811,102.1907,99.4277,102.1607,101.3477,96.9526,101.9634,103.7154,97.4802,102.3454,101.5536,99.6241,96.6353,102.2725,97.8051,99.8439,98.5366,99.0884,98.6137,103.3541,102.1935,101.946,89.4182,89.0275
2013年,100.1878,99.3269,99.2601,101.1873,96.7268,95.602,100.5947,99.5112,99.7425,100.5194,98.0894,99.2326,93.9782,100.1868,94.6486,95.7026,100.7883,97.0886,101.9378,100.4031,88.6766,102.0689,100.1868,98.436,102.4013,96.323,96.4547,99.815,101.1307,97.2949,98.8907,97.7497,98.2993,98.9609,100.5884,101.6958,100.1403,93.7569,96.9707
2014年,99.8096,99.5185,99.059,99.0767,98.0106,94.6941,100.7353,99.9732,99.7909,100.8112,98.1124,100.1175,93.4693,100.3595,95.6266,96.4811,100.8894,96.5951,102.6067,100.3027,89.0342,103.4525,100.2012,98.7956,101.8037,94.841,96.814,99.3814,100.2627,98.2626,99.53,99.2169,98.6187,99.9493,99.3145,101.9877,100.461,92.8203,91.1868
