,中药材及中成药类农村商品零售价格指数(上年=100),中西药品及医疗保健用品类农村商品零售价格指数(上年=100),主食类农村商品零售价格指数(上年=100),书报杂志及电子出版物类农村商品零售价格指数(上年=100),书报杂志类农村商品零售价格指数(上年=100),五金电料类农村商品零售价格指数(上年=100),交通、通信用品类农村商品零售价格指数(上年=100),交通运输机械类农村商品零售价格指数(上年=100),体育娱乐用品类农村商品零售价格指数(上年=100),体育用品类农村商品零售价格指数(上年=100),保健器具及用品类农村商品零售价格指数(上年=100),其他日用品类农村商品零售价格指数(上年=100),其他类农村商品零售价格指数(上年=100),其他食品类农村商品零售价格指数(上年=100),农村商品零售价格指数(上年=100),化妆品类农村商品零售价格指数(上年=100),医疗器具及用品类农村商品零售价格指数(上年=100),在外用膳食品类农村商品零售价格指数(上年=100),地方小吃类农村商品零售价格指数(上年=100),娱乐用品类农村商品零售价格指数(上年=100),家具类农村商品零售价格指数(上年=100),家庭设备类农村商品零售价格指数(上年=100),家用电器及音像器材类农村商品零售价格指数(上年=100),干豆类及豆制品类农村商品零售价格指数(上年=100),干鲜瓜果类农村商品零售价格指数(上年=100),床上用品类农村商品零售价格指数(上年=100),建筑材料及五金电料类农村商品零售价格指数(上年=100),建筑装璜材料类农村商品零售价格指数(上年=100),教材及参考书类农村商品零售价格指数(上年=100),文化办公用品类农村商品零售价格指数(上年=100),文娱用耐用消费品类农村商品零售价格指数(上年=100),日用品类农村商品零售价格指数(上年=100),日用杂品类农村商品零售价格指数(上年=100),日用百货类农村商品零售价格指数(上年=100),服装、鞋帽类农村商品零售价格指数(上年=100),服装类农村商品零售价格指数(上年=100),水产品类农村商品零售价格指数(上年=100),油脂类农村商品零售价格指数(上年=100),洗涤用品类农村商品零售价格指数(上年=100),液体乳及乳制品类农村商品零售价格指数(上年=100),淀粉类农村商品零售价格指数(上年=100),炒菜类农村商品零售价格指数(上年=100),烟草类农村商品零售价格指数(上年=100),煤炭及制品类农村商品零售价格指数(上年=100),燃料类农村商品零售价格指数(上年=100),电子音像制品类农村商品零售价格指数(上年=100),石油及制品类农村商品零售价格指数(上年=100),粮食类农村商品零售价格指数(上年=100),糕点饼干面包类农村商品零售价格指数(上年=100),糖类农村商品零售价格指数(上年=100),纺织品类农村商品零售价格指数(上年=100),肉禽及其制品类农村商品零售价格指数(上年=100),茶及饮料类农村商品零售价格指数(上年=100),菜类农村商品零售价格指数(上年=100),蛋类农村商品零售价格指数(上年=100),衣着材料类农村商品零售价格指数(上年=100),西药类农村商品零售价格指数(上年=100),调味品类农村商品零售价格指数(上年=100),通讯器材类农村商品零售价格指数(上年=100),酒类农村商品零售价格指数(上年=100),金银珠宝类农村商品零售价格指数(上年=100),鞋袜帽类农村商品零售价格指数(上年=100),音像器材类农村商品零售价格指数(上年=100),食品类农村商品零售价格指数(上年=100),饮料、烟酒类农村商品零售价格指数(上年=100)
1998年,107.1,102.7,99.8,104.2,,,,,101.3,,,,,98.5,97.6,99.9,101.6,101.1,102.6,,98.9,,93.9,,,,,96.6,,100.1,,99.3,100.1,99.3,99.7,99.0,93.4,98.4,,98.7,,101.3,,,94.7,,,97.1,,,99.3,,,,,,99.8,99.6,,,92.3,,,96.6,99.1
1999年,104.4,100.6,100.3,104.1,,,,,99.8,,,,,96.7,97.1,99.2,100.4,100.2,100.4,,98.0,,94.0,,,,,97.8,,99.0,,98.0,99.0,97.7,97.3,96.7,92.2,94.0,,98.0,,100.0,,,99.6,,,96.6,,,97.7,,,,,,97.9,100.7,,,94.2,,,96.0,97.9
2000年,104.5,100.4,99.0,105.7,,,,,,,,,,101.6,98.5,99.8,99.5,100.0,100.3,,97.8,,94.0,,,,99.2,98.1,,,,97.8,98.4,97.6,98.8,98.5,101.0,88.4,,99.4,,100.3,,,115.8,,,88.9,,,98.1,,,,,,97.7,101.8,,,98.8,,,97.4,98.4
2001年,103.3,99.7,99.7,109.7,,,,,99.3,,,,,102.8,99.6,99.3,100.5,99.7,100.1,,98.4,,95.1,,,,,99.9,,99.0,,98.5,99.5,98.3,99.2,99.0,97.2,90.0,,99.3,,99.5,,,103.0,,,101.7,,,99.4,,,,,,97.0,101.1,,,91.2,,,100.6,99.4
2002年,,,99.9,100.0,,,,,,,,,,98.2,99.1,,,100.2,100.7,,98.2,,,,,,,99.7,,,,98.4,99.3,98.3,98.8,98.3,95.9,99.6,,99.2,,100.1,,,103.1,,,98.9,,,99.0,,,103.0,,,,101.6,,,,,,100.3,100.1
2003年,105.2484,98.7729,100.7372,100.1833,100.5,99.9528,91.8234,96.4,99.0807,99.5,97.9,99.1,97.2,99.0537,100.5432,99.335,100.7452,100.1825,100.7993,98.7,98.3816,95.9,95.2146,106.6,101.8,100.0,100.0664,100.0997,100.7,97.0107,94.1,98.8539,99.3292,98.6567,98.538,98.6439,99.2424,113.5288,98.6,100.7106,101.9,99.6294,100.1387,102.2,109.5049,98.4,112.8,102.5958,99.5,96.6,99.818,103.8827,99.0381,116.1,98.3148,99.6,94.4155,100.7478,86.8,100.1996,107.9794,98.5122,98.3,103.7081,99.9406
2004年,97.8516,96.6706,106.3109,101.3867,100.7,102.512,93.3279,96.6,99.1361,99.4,98.0,99.1,98.6,100.9508,104.1808,99.0386,101.7423,103.9264,103.4254,98.9,99.0332,96.9,95.9307,120.6,104.9332,100.5,104.5886,105.1972,103.1,97.9216,94.7,99.9412,100.548,100.5624,98.6079,98.6745,115.6579,119.0818,99.5,101.6743,109.0,102.5815,101.1549,120.6,114.0562,98.6,111.2,128.3037,101.2,103.2,100.7065,117.5703,99.7324,96.8014,118.8919,100.9,94.9578,101.3884,89.6,101.5816,112.3247,98.465,98.1,111.899,101.032
2005年,96.3304,97.3969,101.1,100.2581,100.5,101.2916,93.9898,97.1,99.1427,99.7,98.9,99.7,97.5,100.6867,101.4,99.5045,98.0376,101.7043,101.2,98.7,100.0616,98.8,97.2898,102.7,101.2256,100.0,102.4508,102.7717,100.5,98.1832,95.6,100.2135,100.8524,100.0658,99.1206,99.0636,104.6144,94.7941,100.4,101.5302,104.4,102.3,100.4979,122.7,117.3741,99.1,114.6,101.186,100.9,105.0,100.423,103.3137,100.3341,107.1747,105.5164,100.8,97.7658,101.3487,90.4,100.9591,104.0852,99.4967,98.1,102.7819,100.6295
2006年,99.73609006,99.05423431,101.09298611,99.89070802,100.6,102.96707683,94.9441283,98.8,99.2228121,99.5,99.7,100.0,99.3,101.02537382,101.39573,100.51593272,97.2293289,101.49888729,101.96573583,99.0,100.5374798,101.1,98.64806961,101.0,119.48270189,100.0,103.01616644,103.02881969,99.5,98.75970954,96.2,100.57764996,101.06355587,100.40339604,99.63732909,99.27701226,100.66774714,98.44902468,100.9,100.88878948,103.5,101.58404342,100.11531306,105.9,112.00574282,99.3,114.9,102.38056746,101.0,114.3,100.29352542,97.19307519,100.94862312,108.75454849,96.40338022,100.7,98.69144581,102.27553081,90.2,100.74645538,121.1202182,100.48204446,96.3,102.40747177,100.49113014
2007年,108.98491786,102.55344944,107.29821424,99.43374588,100.8,102.69917771,94.86731306,98.5,99.58303098,100.2,100.3,100.2,98.7,103.14514436,104.87864,100.40212788,98.11371632,107.00764912,109.26850476,99.0,102.90130741,101.5,98.82116556,108.7,102.2137446,99.85497351,104.97896224,105.61551317,98.0,98.83973839,95.7,101.14749955,101.81683259,100.49890214,99.82571949,99.62703555,106.94156164,128.07587343,102.2,102.30223807,106.2,106.1041114,101.21183239,104.8,104.58289316,99.8,104.5,106.95554014,102.95462153,100.9296256,100.52563734,131.50677151,100.98784444,109.06183937,121.36832794,101.34692683,99.37480268,103.43826363,89.9,102.86387736,108.19780317,100.46177766,97.9,113.55060121,101.73915188
2008年,107.79032467,103.17031258,111.90898089,100.63676902,101.8,104.07141977,94.79163633,99.7,100.09526893,101.1,101.1,101.0,98.1,107.19013163,106.70488,100.73769954,99.01100412,111.74404377,115.75700646,99.2,102.68706461,100.8,98.26762804,132.1,111.14899901,99.65852527,108.72998222,110.03474319,100.0,99.17814559,95.1,103.93362705,102.2736077,103.85198049,99.16135625,99.0469809,115.93352584,125.46330976,107.3,112.73849373,110.0,110.34815408,100.54417142,129.2,120.150015,99.4,115.8,107.10077877,108.02944948,102.47052304,100.81728771,119.90717404,102.90693716,111.10446015,104.4296365,102.21721918,100.93307112,104.46787617,87.9,105.80416824,118.13144664,99.57228264,98.9,114.03512215,102.80540813
2009年,101.73764151,101.54762917,103.02379954,103.50572993,105.9,100.63757766,95.52166507,99.4,99.96173445,101.0,100.8,100.2,98.3,101.81434595,98.99867,101.04900648,100.82004887,103.50152327,104.87660265,99.0,99.02866602,97.6,95.66369927,97.4,106.27056754,99.17389446,98.17434185,97.51399418,102.9,98.61353634,92.9,101.86051324,101.48269274,101.57261062,98.12234007,97.98341683,101.01480719,81.42283958,103.7,101.80271676,101.9,103.32085621,100.29325894,105.4,92.49671005,99.3,86.0,105.44367559,103.19460988,102.05502064,99.84023332,91.18044849,101.366554,113.77183551,102.02884274,100.64155196,101.64539041,103.11705521,89.9,102.72897819,96.73003755,98.41731991,98.2,100.22916221,101.34922351
2010年,111.6,104.8,103.0,101.7,101.1,101.8,96.6,99.2,99.6,100.2,101.4,100.1,98.7,101.1,103.59849,100.3,104.2,103.2,104.8,99.1,100.0,98.6,97.5,112.1,115.6,100.4,103.8,104.3,103.1,99.2,96.0,100.5,100.7,100.6,99.0,98.9,106.7,104.0,100.6,101.9,108.0,102.8,100.4,106.4,112.5,99.7,116.1,111.7,102.0,110.6,101.7,103.5,101.1,120.4,108.1,103.3,101.2,103.6,92.8,102.9,114.8,99.3,99.6,107.9,101.4
2011年,113.1443732,104.25027412,107.67551383,100.79442355,101.0,102.8291669,97.16023001,99.4,100.60056456,100.3,102.9,100.4,101.0,104.50877737,105.53054672,101.02669411,100.0429162,107.3739573,111.23522766,100.9,101.16194095,99.3,97.85563697,105.2,115.31575043,102.78802309,105.74716244,106.57468883,101.0,99.37514591,95.7,101.78344471,100.95153079,102.04971743,101.24605534,101.52294937,110.89023424,113.27268129,103.0,103.03959752,113.4,106.22869663,100.11136673,111.1,111.84793279,99.9,112.1,112.41981495,106.43885132,112.27506561,105.37101385,122.63030829,102.88042358,102.35594812,113.04057541,109.65987508,99.83404811,104.93620896,93.5,105.98261712,117.4722457,100.57973307,98.8,112.23187019,102.74070991
2012年,105.14253357,102.39745844,106.47892883,101.33639128,101.1,101.82627388,97.6787785,99.2,100.87861183,101.3,102.5,100.7,100.3,104.04816354,102.1614044,101.87969297,102.84577338,106.23938558,107.44134938,100.5,100.92274642,100.2,98.54105593,102.0,99.62185376,100.58696017,100.45748263,100.08323286,101.8,99.19237817,95.9,101.71832367,101.72344756,101.24305447,103.36532574,103.72719027,108.85025312,104.14353836,103.2,102.60945402,103.3,105.8353615,100.88359579,103.2,103.33613594,100.7,103.4,103.68170654,104.529051,103.44520942,101.89469912,100.4965606,103.06474975,113.66254093,96.84973588,103.94363974,100.55111049,104.41127045,95.0,105.03942322,102.81188275,102.80598336,99.8,104.0244508,102.8348125
2013年,103.21092267,100.96882319,106.88824267,101.61335678,101.2625544,101.61706754,98.09635517,99.12631998,100.81312842,101.18624791,101.2,101.1,100.3,101.69392805,101.84255314,101.6124888,100.95421149,105.61541735,108.26516121,100.47308446,100.8339207,99.98637932,98.92930211,106.1,107.35661678,100.37041861,100.48443752,100.16936472,102.37819917,99.74630867,97.14557659,101.15153869,101.52278815,100.69145716,102.51322565,102.97576952,104.73616158,100.5931376,101.6,103.4898749,102.5,104.22990381,101.53474731,99.20734291,99.66498982,100.52950707,99.82256409,105.03332406,102.3573154,99.82327128,101.20361098,103.87952896,101.8939445,109.85194032,104.87097401,102.46688444,99.40135124,104.57496591,96.26017267,100.29661516,91.80006691,101.57639676,99.82419951,104.96674678,101.14055128
2014年,102.51767427,101.56445214,103.33411331,100.9240082,100.83052685,100.95489534,98.97435108,99.39611432,100.1123424,100.0753721,,,,101.75890844,101.01400807,100.83246258,100.05019022,103.27662746,104.96811973,100.14627458,101.0947592,100.10842819,99.28712974,,113.66850046,100.73569761,100.38500816,100.22418688,101.31930763,100.04791634,97.98485332,100.83867315,100.91799801,100.77797534,102.283499,102.49314115,104.16493965,95.52068944,,106.29869766,,102.59885138,100.40598877,97.22709742,98.9836305,100.11384979,99.58470211,103.05634968,101.69764271,99.33277991,101.56666712,99.99686507,102.01870212,98.69001113,110.41097567,102.80079276,100.89351106,103.118602,98.20005951,98.54002031,90.89422835,101.89973099,99.13693601,102.51673151,100.02942596
