,中药材及中成药类商品零售价格指数(上年=100),中西药品及医疗保健用品类商品零售价格指数(上年=100),主食类商品零售价格指数(上年=100),书报杂志及电子出版物类商品零售价格指数(上年=100),五金电料类商品零售价格指数(上年=100),交通、通信用品类商品零售价格指数(上年=100),体育娱乐用品类商品零售价格指数(上年=100),其它食品类商品零售价格指数(上年=100),化妆品类商品零售价格指数(上年=100),医疗器具及用品类商品零售价格指数(上年=100),商品零售价格指数(上年=100),在外用膳食品类商品零售价格指数(上年=100),地方小吃类商品零售价格指数(上年=100),家具类商品零售价格指数(上年=100),家用电器及音像器材类商品零售价格指数(上年=100),干鲜瓜果类商品零售价格指数(上年=100),床上用品类商品零售价格指数(上年=100),建筑材料及五金电料类商品零售价格指数(上年=100),建筑装璜材料类商品零售价格指数(上年=100),文化办公用品类商品零售价格指数(上年=100),日用品类商品零售价格指数(上年=100),日用杂品类商品零售价格指数(上年=100),日用百货类商品零售价格指数(上年=100),服装、鞋帽类商品零售价格指数(上年=100),服装类商品零售价格指数(上年=100),水产品类商品零售价格指数(上年=100),油脂类商品零售价格指数(上年=100),液体乳及乳制品类商品零售价格指数(上年=100),炒菜类商品零售价格指数(上年=100),烟草类商品零售价格指数(上年=100),燃料类商品零售价格指数(上年=100),粮食类商品零售价格指数(上年=100),糕点饼干面包类商品零售价格指数(上年=100),糖类商品零售价格指数(上年=100),纺织品类商品零售价格指数(上年=100),肉禽及其制品类商品零售价格指数(上年=100),茶及饮料类商品零售价格指数(上年=100),菜类商品零售价格指数(上年=100),蛋类商品零售价格指数(上年=100),衣着材料类商品零售价格指数(上年=100),西药类商品零售价格指数(上年=100),调味品类商品零售价格指数(上年=100),酒类商品零售价格指数(上年=100),金银珠宝类商品零售价格指数(上年=100),鞋袜帽类商品零售价格指数(上年=100),食品类商品零售价格指数(上年=100),饮料、烟酒类商品零售价格指数(上年=100)
1989年,,121.2,,192.7,,,,,,,117.8,,,111.6,,,,,,,115.3,,,,,116.3,121.5,,,,127.4,121.3,,,,,,102.1,,,,,,,,116.2,
1990年,,102.4,,107.6,,,,,,,102.1,,,102.3,,,,,,,101.9,,,,,99.3,101.6,,,,108.2,95.2,,,,,,99.6,,,,,,,,100.3,
1991年,,103.4,,100.8,,,,,,,102.9,,,100.4,,,,,,,101.5,,,,,101.5,109.9,,,,115.6,108.6,,,,,,106.1,,,,,,,,103.3,
1992年,,109.1,,103.3,,,,,,,105.4,,,100.6,,,,,,,101.4,,,,,105.4,105.9,,,,114.6,124.3,,,,,,109.6,,,,,,,,107.7,
1993年,,109.2,,107.1,,,,,,,113.2,,,107.3,,,,,,,107.9,,,,,116.3,116.2,,,,135.0,127.7,,,,,,115.7,,,,,,,,114.3,
1994年,,111.8,,133.5,,,,,116.4,,121.7,,,,106.7,,,112.9,112.9,,113.9,,,119.6,,120.7,161.4,,,,115.1,148.7,,,114.7,,,138.2,,,,,,110.1,,135.2,111.3
1995年,,111.5,,115.2,,,,,109.9,,114.8,,,,100.7,,,105.7,105.7,,109.7,,,116.8,,114.2,116.3,,,,107.2,134.4,,,115.4,,,129.3,,,,,,99.4,,124.7,107.8
1996年,,108.8,,136.9,,,,,105.0,,106.1,,,,98.7,,,101.2,101.2,,105.3,,,108.5,,105.6,92.1,,,,105.0,107.5,,,106.4,,,118.4,,,,,,99.4,,107.7,105.1
1997年,,104.4,,112.8,,,,,102.3,,100.8,,,,95.6,,,99.0,99.0,,102.3,,,103.5,,101.2,101.6,,,,107.3,92.1,,,101.9,,,99.5,,,,,,97.8,,99.8,101.2
1998年,108.1,102.8,101.1,105.1,,,100.8,99.2,100.5,101.0,97.4,101.1,102.5,97.9,93.9,,,,97.1,98.4,99.0,99.8,99.5,99.3,98.5,94.2,100.7,100.0,100.7,,96.1,96.9,,,99.1,,,,,,99.1,99.3,,90.9,,96.8,98.8
1999年,105.6,101.0,100.3,104.9,,,99.4,97.8,99.6,100.1,97.0,99.6,100.9,97.6,94.0,,,,98.3,99.5,97.9,98.6,97.8,97.3,96.3,93.6,94.4,99.1,98.9,,100.4,96.4,,,98.0,,,,,,97.9,99.9,,94.5,,95.8,97.3
2000年,104.6,100.2,99.0,105.4,,,,100.9,98.9,99.6,98.5,99.8,101.3,97.8,93.6,,,98.9,98.4,,98.1,99.4,97.9,99.2,98.7,102.7,86.2,100.0,99.7,,117.7,90.1,,,98.6,,,,,,97.3,101.2,,97.6,,97.5,98.0
2001年,102.3,98.5,99.9,108.1,,,99.2,101.8,98.8,98.8,99.2,100.4,101.1,97.6,93.9,,,,100.1,98.4,98.3,99.6,98.4,98.9,98.3,96.3,89.3,99.9,100.4,,102.4,101.5,,,99.1,,,,,,95.8,100.8,,90.7,,100.6,99.5
2002年,,96.5,100.1,100.8,,,,99.1,98.4,,98.7,100.0,101.1,98.4,94.2,,,,100.1,,98.7,99.0,98.8,97.9,97.5,96.2,100.1,99.4,99.7,,102.0,98.6,,,99.4,,,100.8,,,,101.2,,100.9,,99.9,99.9
2003年,104.3967,98.3702,100.7417,100.3067,99.6973,91.0849,98.0595,99.2016,98.9302,100.5565,99.9,100.0411,100.3431,97.8423,94.1855,102.1802,,99.6895,99.6865,95.8328,98.4542,99.7403,98.0032,97.5067,97.4938,100.3215,112.4926,99.6798,99.671,99.822,109.3317,102.2478,,,99.2686,103.0491,99.3404,116.2565,98.5052,,94.2669,100.3382,100.2787,108.6119,97.4297,103.3825,99.8614
2004年,98.4183,96.7221,106.7982,101.0463,102.0055,91.7658,98.2204,100.8202,98.9307,101.9016,102.8,103.8085,104.8778,98.825,94.6685,104.0565,,103.6721,104.2123,96.8569,99.6136,100.2711,99.7069,98.1613,98.1748,112.5478,116.8265,100.4331,102.2656,100.6807,112.3848,126.5075,,,100.0111,117.0833,99.8153,95.2097,119.8222,,94.5277,101.8255,102.2232,111.6314,98.0463,109.8994,100.9951
2005年,96.5057,97.6355,102.2,100.3409,101.4783,91.696,98.4397,101.1953,99.2889,98.3831,100.7774,102.7548,102.0,99.1021,96.3154,101.6656,,102.1418,102.3482,96.6892,100.1969,100.6957,99.9565,97.9492,97.8853,105.7714,94.7384,100.9034,103.2,100.3473,115.4052,101.4173,,,99.7663,102.9957,100.2212,108.1137,104.7431,,97.8124,101.4047,100.8628,104.4439,98.1401,103.1339,100.4901
2006年,99.99927065,99.13365,101.42331382,100.18317,103.5933604,92.31293,98.49142,101.2976522,99.83888,98.30880934,101.02817,101.86199987,101.74829137,100.08379,97.26437,117.00752,,102.99914,102.81503178,97.63842,100.79585,101.22376992,100.45264532,99.77771,99.39827844,101.58496,98.74525,101.04626539,102.07165344,100.18645331,112.36859,102.54413,,,100.01571,97.29256,100.95633478,108.14909,96.28044,,98.43626211,102.22485801,101.29442359,119.65421,100.83742684,102.55605,100.72397
2007年,108.03469427,101.95011197,108.19022481,99.704802,103.41222409,92.68494165,97.36484403,104.2812203,100.16527454,98.45715922,103.79488122,107.05553304,110.24980477,101.61221527,97.41004893,102.50126565,99.57374914,105.08444685,105.62928351,97.00708764,101.11094311,101.45297528,100.74011323,99.39150685,99.6187174,105.30988673,126.32555383,102.90708721,105.85001342,100.89330052,104.22131843,106.44929723,103.48153349,101.5457001,100.24403765,131.03084711,101.42423164,107.90894765,121.83067743,101.38038234,98.96621801,103.91439865,103.39399945,107.85781697,98.93662788,112.30409465,101.79658851
2008年,106.88783896,103.06489,111.61183226,101.54832,102.87336498,93.16606,97.69506,108.32532096,100.66127,99.62118023,105.8956,111.58549411,116.00273417,102.55203,96.8963,111.26266,99.70968824,107.85451,109.46973007,96.76614,103.70994,101.77918738,103.19507977,98.38245,98.48539873,114.49194,125.0258,117.35212019,110.52977924,100.46313559,116.0275,106.96729,109.28601175,103.86603379,100.53301,121.73975,103.83037753,110.40226,104.3167,101.92280848,101.33784706,105.56388021,107.49104473,116.82174,98.1360967,114.37918,103.42887
2009年,102.42869818,101.53177,102.39619505,105.00162,100.2445805,93.69996,97.75555,101.60201921,100.80104,101.50881428,98.79861,102.735049,103.73370204,99.65721,94.23924,106.7336,98.79322212,98.44566,97.89511618,96.22316,101.98561,101.89294451,101.48943449,97.89851,97.98182462,102.30968,81.77699,101.40725193,102.6389889,100.38615905,92.72342,105.72175,102.8539389,102.49392142,99.55476,91.68616,101.86349665,113.2288,101.56093,100.8352933,101.13198196,103.47800761,103.32917246,95.62554,97.57584327,100.85966,101.66897
2010年,111.1,104.31451,102.9,101.2918,101.9,95.62276,98.29838,101.7,100.35898,103.7,103.07206,103.6,105.2,100.1213,96.07732,114.28093,100.2,103.49276,104.0,97.78121,100.28083,100.4,100.6,98.81965,99.0,108.34487,103.6583,102.9,103.6,100.5,112.31416,111.68745,102.4,108.2,101.23162,102.97314,101.5,118.97499,108.31293,102.9,101.0,104.1,103.7,114.45154,98.3,107.63685,101.69237
2011年,112.1140213,103.89432736,108.75011303,100.79644875,103.13452861,96.12505376,100.91193135,106.03528675,101.32833457,102.00653924,104.94194641,108.14801138,112.42218675,102.28102044,96.85985775,115.87379613,104.00996523,105.06242129,105.67148481,97.56837186,102.26664917,101.79067525,102.48087277,101.84170215,102.35462491,112.06106845,113.38658422,104.98423346,107.13425193,100.39435722,111.11272441,112.25490989,108.17882806,111.06030453,105.73847746,122.43730657,103.92841382,100.95291775,114.33368463,109.77517668,99.55158652,105.70109809,106.81027397,114.32524222,100.58385156,111.90345274,103.31753579
2012年,104.89933844,102.13084571,106.55801306,101.39323582,101.764234,96.04013525,100.95855411,104.77337903,102.19971511,102.43690665,101.96974773,106.58829008,108.13869375,101.29391767,97.71718756,99.69731618,100.40253235,100.28022927,99.82276894,98.14545858,102.08609013,101.67672603,101.58223545,102.91669263,103.25875323,108.13813246,105.10550299,103.13379611,106.21853349,100.46071706,102.93069443,103.84896125,104.17802136,104.17712918,101.53243719,102.19481939,104.0014431,113.53320853,97.08187773,104.03790879,100.28978144,104.4638779,106.29847406,100.99875646,102.18968483,104.7894632,103.26295787
2013年,103.13895209,101.32785571,106.53621507,101.28233644,101.0965106,97.29079574,100.69473826,101.31386601,101.51923524,100.81626186,101.4345825,104.59466209,107.01273826,101.22916777,98.26778038,105.96857322,100.56919159,100.48684266,100.29525078,98.62824886,100.84410458,101.0103219,100.45059928,102.22217318,102.51808898,104.05360305,100.40161095,105.69984483,103.50844609,100.47370861,99.88462789,104.86765475,102.48355173,100.5708453,101.01111659,104.42202109,102.07944088,108.05990324,104.81248706,101.95680759,99.99030762,103.87168403,100.02976866,91.85354209,101.59794713,104.71880419,100.67672486
2014年,102.97458739,101.70890063,103.82479037,101.13282122,100.67727688,98.6304154,100.54348387,101.51618239,100.76378547,100.60759999,100.9985439,103.17749389,105.17134544,101.48962952,98.5138369,113.95865543,100.15924721,100.38304399,100.28984081,98.96992849,100.52891517,100.97029311,100.48525357,102.41523033,102.57883733,104.25564945,95.1476281,108.60503139,102.40912542,100.23346427,99.19695289,103.12816856,101.81675849,100.01360415,100.90022698,100.31470213,101.85001316,98.76410646,110.77868132,102.46429541,100.47241952,103.04563347,98.32907615,91.61661994,102.1032109,102.99816632,99.92996401
