,国家专项收入,国家个人所得税,国家企业所得税,国家关税,国家其他收入,国家其他税收收入,国家出口货物退增值税、消费税,国家印花税,国家国内增值税,国家国内消费税,国家土地增值税,国家城市维护建设税,国家城镇土地使用税,国家契税,国家房产税,国家烟叶税,国家税收收入,国家罚没收入,国家耕地占用税,国家船舶吨税,国家营业税,国家行政事业性收费,国家证券交易印花税,国家财政收入,国家资源税,国家车船税,国家车辆购置税,国家进口货物增值税、消费税,国家非税收入
2003年,,1418.0331,2919.51,923.13,,,-1988.59,,7236.54,1182.26,,550.01,91.57,358.05,,,20017.31,,39.9,9.38,2844.45,,127.7,21715.25,83.3,,468.16,2788.59,
2004年,,1737.0555,3957.33,1043.77,,,-3484.08,,9017.94,1501.9,,674.06,106.23,540.1,,,24165.68,,120.09,11.54,3581.97,,171.85,26396.47,98.8,,545.7,3700.42,
2005年,,2094.9104,5343.92,1066.17,,,-4048.94,,10792.11,1633.81,,795.68,137.34,735.14,,,28778.54,,141.85,13.81,4232.46,,67.3,31649.29,142.2,,583.26,4211.78,
2006年,,2453.7087,7039.6,1141.78,,,-4877.15,,12784.81,1885.69,,939.72,176.81,867.67,,41.6,34804.35,,171.12,15.74,5128.71,,179.46,38760.2,207.11,,687.46,4962.64,
2007年,1241.85,3185.58,8779.25,1432.57,1720.35,1.24,-5635.0,2261.75,15470.23,2206.83,403.1,1156.39,385.49,1206.25,575.46,47.8,45621.97,840.26,185.04,18.2,6582.17,1897.35,2005.31,51321.78,261.15,68.16,876.9,6153.41,5699.81
2008年,1554.1,3722.31,11175.63,1769.95,2519.2,3.68,-5865.93,1311.29,17996.94,2568.27,537.43,1344.09,816.9,1307.53,680.34,67.45,54223.79,898.4,314.41,20.12,7626.39,2134.86,979.16,61330.35,301.76,144.21,989.89,7391.13,7106.56
2009年,1636.99,3949.35,11536.84,1483.81,4068.82,4.8,-6486.61,897.49,18481.22,4761.22,719.56,1544.11,920.98,1735.05,803.66,80.81,59521.59,973.86,633.07,23.79,9013.98,2317.04,510.38,68518.3,338.24,186.51,1163.92,7729.79,8996.71
2010年,2040.74,4837.27,12843.54,2027.83,3778.95,1.8,-7327.31,1040.34,21093.48,6071.55,1278.29,1887.11,1004.01,2464.85,894.07,78.36,73210.79,1074.64,888.64,26.63,11157.91,2996.39,544.16,83101.51,417.57,241.62,1792.59,10490.64,9890.72
2011年,3056.41,6054.11,16769.64,2559.12,5738.86,4.15,-9204.75,1042.22,24266.63,6936.21,2062.61,2779.29,1222.26,2765.73,1102.39,91.38,89738.39,1301.39,1075.46,29.76,13679.0,4039.38,438.45,103874.43,595.87,302.0,2044.89,13560.42,14136.04
2012年,3232.63,5820.28,19654.53,2783.93,7267.26,5.22,-10428.89,985.64,26415.51,7875.58,2719.06,3125.63,1541.72,2874.01,1372.49,131.78,100614.28,1559.81,1620.71,40.98,15747.64,4579.54,303.51,117253.52,904.37,393.02,2228.91,14802.16,16639.24
2013年,3528.61,6531.53,22427.2,2630.61,8715.73,0.73,-10518.85,1244.36,28810.13,8231.32,3293.91,3419.9,1718.77,3844.02,1581.5,150.26,110530.7,1658.77,1808.23,43.55,17233.02,4775.83,469.65,129209.64,1005.65,473.96,2596.34,14004.56,18678.94
2014年,3711.35,7376.61,24642.19,2843.41,3012.45,0.45,-11356.46,1540.0,30855.36,8907.12,3914.68,3644.64,1992.62,4000.7,1851.64,141.05,119175.31,1721.82,2059.05,45.23,17781.73,5206.0,666.92,140370.03,1083.82,541.06,2885.11,14425.3,21194.72
