,人均拥有公共图书馆藏量,公共图书馆业从业人员数,公共图书馆业机构数,公共图书馆举办培训班数,公共图书馆举办展览数,公共图书馆书刊文献外借人次,公共图书馆书刊文献外借册次,公共图书馆参加培训人次,公共图书馆参加讲座人次,公共图书馆参观展览人次,公共图书馆图书流通人次,公共图书馆当年购买的报刊种类数,公共图书馆总藏量,公共图书馆电子阅览室终端数,公共图书馆累计发放有效借书证数,公共图书馆组织各类讲座次数,公共图书馆计算机台数,公共图书馆阅览室座席数,每万人拥有公共图书馆建筑面积
1997年,0.0,0.0,2628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,48313.0,2662.0,0.0,0.0,0.0,15422.0,0.0,0.0,0.0,17058.2,0.0,38514.1,0.0,582.2,0.0,0.0,39.9,0.0
1999年,0.0,48792.0,2669.0,0.0,0.0,0.0,16290.0,0.0,0.0,0.0,18040.0,0.0,39539.0,0.0,596.0,0.0,0.0,42.0,0.0
2000年,0.0,51368.0,2675.0,0.0,0.0,0.0,16913.0,0.0,0.0,0.0,18854.0,0.0,40953.0,0.0,623.0,0.0,0.0,42.0,0.0
2001年,0.0,48579.0,2696.0,0.0,0.0,0.0,17559.1,0.0,0.0,0.0,20876.0,0.0,41804.0,0.0,792.3,0.0,0.0,43.7,0.0
2002年,0.0,48447.0,2697.0,0.0,0.0,0.0,20021.0,0.0,0.0,0.0,21950.0,0.0,42628.0,0.0,918.0,0.0,0.0,44.0,0.0
2003年,0.0,49646.0,2709.0,0.0,0.0,0.0,18775.0,0.0,0.0,0.0,21440.0,0.0,43776.0,0.0,943.0,0.0,0.0,46.0,0.0
2004年,0.0,49069.0,2720.0,0.0,0.0,0.0,18527.0,0.0,0.0,0.0,22100.0,0.0,46152.0,0.0,1056.0,0.0,0.0,47.0,0.0
2005年,0.0,50423.0,2762.0,0.0,0.0,0.0,20268.0,0.0,0.0,0.0,23331.0,0.0,48055.0,0.0,1061.0,0.0,0.0,48.0,0.0
2006年,0.0,51311.0,2778.0,0.0,0.0,0.0,21039.0,0.0,0.0,0.0,25217.0,0.0,50024.0,0.0,1160.0,0.0,0.0,159.0,0.0
2007年,0.0,51650.0,2799.0,0.0,0.0,0.0,11454.0,0.0,0.0,0.0,26103.0,0.0,52053.0,0.0,1273.0,0.0,0.0,52.71,0.0
2008年,0.0,52021.0,2820.0,0.0,0.0,12250.8,23128.7,0.0,0.0,0.0,28140.5,0.0,55063.5,0.0,0.0,0.0,0.0,55.3547,0.0
2009年,0.0,52688.0,2850.0,0.0,0.0,13277.1,25857.28,0.0,0.0,0.0,32167.5,0.0,58520.604,0.0,0.0,0.0,0.0,60.1519,0.0
2010年,0.0,53564.0,2884.0,0.0,0.0,13934.151,26391.738,0.0,0.0,0.0,32823.335,0.0,61726.123,83124.0,2019.5175,0.0,142772.0,63.0683,0.0
2011年,0.52,54475.0,2952.0,22597.0,10479.0,15316.295,28451.965,189.739,653.559,2093.797,38150.92,94.1184,69718.611,92649.0,2213.5831,35175.0,157528.0,68.1441,73.8
2012年,0.58234478302,54997.0,3076.0,24937.0,12389.0,17402.049,33191.459,230.594,826.527,3050.551,43437.199,100.9252,78851.813,101433.0,2484.5072,44564.0,173313.0,73.4571,78.1671885616
2013年,0.55,56320.0,3112.0,26198.0,15848.0,20552.0,40868.0,192.699,864.768,3353.772,49232.0,109.12,74896.0,116274.0,2877.0,49474.0,195413.0,80.9767,85.1
2014年,0.58,56071.0,3117.0,30523.0,18124.0,22736.658,46734.296,220.445,973.698,3820.71,53035.981,108.8303,79091.635,121597.0,3943.7996,54939.0,198586.0,85.552,90.0
