,其他部门办普通小学在校学生数,农村其他部门办普通小学在校学生数,农村地方企业办普通小学在校学生数,农村教育部门办普通小学在校学生数,农村普通小学在校学生数,农村民办普通小学在校学生数,县镇其他部门办普通小学在校学生数,县镇地方企业办普通小学在校学生数,县镇教育部门办普通小学在校学生数,县镇普通小学在校学生数,县镇民办普通小学在校学生数,地方企业办普通小学在校学生数,城市其他部门办普通小学在校学生数,城市地方企业办普通小学在校学生数,城市教育部门办普通小学在校学生数,城市普通小学在校学生数,城市民办普通小学在校学生数,教育部门办普通小学在校学生数,普通小学在校学生数,民办普通小学在校学生数
1999年,0.0,0.0,0.0,0.0,9074.1269,0.0,0.0,0.0,0.0,2636.0773,0.0,0.0,0.0,0.0,0.0,1837.76,0.0,0.0,13548.0,0.0
2000年,0.0,0.0,0.0,0.0,8503.7137,0.0,0.0,0.0,0.0,2692.8904,0.0,0.0,0.0,0.0,0.0,1816.6507,0.0,0.0,13013.25,0.0
2001年,0.0,0.0,0.0,0.0,8604.8027,0.0,0.0,0.0,0.0,2257.7859,0.0,0.0,0.0,0.0,0.0,1680.8781,0.0,0.0,12543.47,0.0
2002年,0.0,0.0,0.0,0.0,8141.6791,0.0,0.0,0.0,0.0,2293.7748,0.0,0.0,0.0,0.0,0.0,1721.2547,0.0,0.0,12156.71,0.0
2003年,0.0,0.0,0.0,0.0,7689.1519,0.0,0.0,0.0,0.0,2192.9021,0.0,0.0,0.0,0.0,0.0,1807.6855,0.0,0.0,11689.74,0.0
2004年,288.3419,85.1059,0.0,7178.8116,7378.5984,114.6809,37.691,0.0,1925.8956,2036.2265,72.6399,0.0,165.545,0.0,1524.8552,1831.4007,141.0005,10629.5624,11246.2,328.3213
2005年,223.2182,77.7974,0.0,6735.0173,6947.8276,135.0129,32.6373,0.0,2056.352,2185.8606,96.8713,0.0,112.7835,0.0,1460.5376,1730.3773,157.0562,10251.9069,10864.0655,388.9404
2006年,161.3443,65.7171,0.0,6475.3541,6676.1432,135.072,26.0374,0.0,2291.5072,2431.8225,114.2779,0.0,69.5898,0.0,1371.2383,1603.5689,162.7408,10138.0996,10711.5,412.0907
2007年,119.667,56.9882,0.0,6075.6496,6250.731,118.0932,20.5897,0.0,2386.7011,2552.1904,144.8996,0.0,42.0891,0.0,1533.1935,1761.0813,185.7987,9995.5442,10564.0027,448.7915
2008年,87.5299,48.0944,0.0,5755.6129,5924.8829,121.1756,13.4013,0.0,2429.0196,2602.2475,159.8266,0.0,26.0342,0.0,1578.9483,1804.3818,199.3993,9763.5808,10331.5122,480.4015
2009年,65.283,35.42,0.0,5494.1004,5655.5439,126.0235,10.7323,0.0,2450.9918,2637.1538,175.4297,0.0,19.1307,0.0,1558.2143,1778.7684,201.4234,9503.3065,10071.4661,502.8766
2010年,56.8537,32.1111,0.0,5176.3169,5350.2198,141.7918,8.5677,0.0,2571.3044,2770.017,190.1449,0.0,16.1749,0.0,1598.6038,1820.4675,205.6888,9346.2251,9940.7043,537.6255
2011年,57.1292,7.7915,0.6235,3965.5501,4065.1984,91.2333,29.8544,2.9508,3042.1434,3254.2101,179.2615,4.9894,19.4833,1.4151,2288.7298,2606.9589,297.3307,9296.4233,9926.3674,567.8255
2012年,51.5377,6.7966,0.278,3555.5469,3652.4886,89.8671,30.5982,1.6408,3128.6429,3354.9812,194.0993,3.0199,14.1429,1.1011,2359.2976,2688.4287,313.8871,9043.4874,9695.9,597.8535
2013年,43.3095,5.4193,0.2289,3120.7846,3217.0406,90.6078,24.2794,1.19,3140.452,3370.5362,204.6148,2.4881,13.6108,1.0692,2424.913,2772.9719,333.3789,8686.1496,9360.5478,628.6015
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9451.0651,0.0
