,其他部门办普通小学招生数,农村其他部门办普通小学招生数,农村地方企业办普通小学招生数,农村教育部门办普通小学招生数,农村普通小学招生数,农村民办普通小学招生数,县镇其他部门办普通小学招生数,县镇地方企业办普通小学招生数,县镇教育部门办普通小学招生数,县镇普通小学招生数,县镇民办普通小学招生数,地方企业办普通小学招生数,城市其他部门办普通小学招生数,城市地方企业办普通小学招生数,城市教育部门办普通小学招生数,城市普通小学招生数,城市民办普通小学招生数,教育部门办普通小学招生数,普通小学招生数,民办普通小学招生数
1993年,0.0,0.0,0.0,0.0,1704.31,0.0,0.0,0.0,0.0,373.66,0.0,0.0,0.0,0.0,0.0,275.51,0.0,0.0,2353.5,0.0
1994年,0.0,0.0,0.0,0.0,1817.0167,0.0,0.0,0.0,0.0,412.6816,0.0,0.0,0.0,0.0,0.0,307.3346,0.0,0.0,2537.0,0.0
1995年,0.0,0.0,0.0,0.0,1791.0524,0.0,0.0,0.0,0.0,420.2992,0.0,0.0,0.0,0.0,0.0,320.4685,0.0,0.0,2531.8,0.0
1996年,0.0,0.0,0.0,0.0,1769.1824,0.0,0.0,0.0,0.0,440.7028,0.0,0.0,0.0,0.0,0.0,314.7701,0.0,0.0,2524.7,0.0
1997年,0.0,0.0,0.0,0.0,1705.9171,0.0,0.0,0.0,0.0,456.3971,0.0,0.0,0.0,0.0,0.0,299.73,0.0,0.0,2462.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2201.4,0.0
1999年,0.0,0.0,0.0,0.0,1353.0446,0.0,0.0,0.0,0.0,396.6688,0.0,0.0,0.0,0.0,0.0,279.8203,0.0,0.0,2029.5,0.0
2000年,0.0,0.0,0.0,0.0,1253.7476,0.0,0.0,0.0,0.0,403.5987,0.0,0.0,0.0,0.0,0.0,289.119,0.0,0.0,1946.5,0.0
2001年,0.0,0.0,0.0,0.0,1311.832,0.0,0.0,0.0,0.0,356.1441,0.0,0.0,0.0,0.0,0.0,276.232,0.0,0.0,1944.21,0.0
2002年,0.0,0.0,0.0,0.0,1294.6506,0.0,0.0,0.0,0.0,371.3389,0.0,0.0,0.0,0.0,0.0,286.8086,0.0,0.0,1952.8,0.0
2003年,0.0,0.0,0.0,0.0,1192.4477,0.0,0.0,0.0,0.0,340.3283,0.0,0.0,0.0,0.0,0.0,296.6115,0.0,0.0,1829.4,0.0
2004年,47.6157,13.7708,0.0,1097.9346,1130.2638,18.5584,6.0639,0.0,299.6678,317.1362,11.4045,0.0,27.781,0.0,245.3352,299.6128,26.4966,1642.9376,1747.0,56.4595
2005年,35.5538,12.2152,0.0,1033.7725,1067.8543,21.8666,4.9399,0.0,306.8823,326.5166,14.6944,0.0,18.3987,0.0,230.4756,277.3731,28.4988,1571.1304,1671.744,65.0598
2006年,25.9753,10.3079,0.0,1048.2458,1081.4409,22.8872,4.0347,0.0,356.9137,379.639,18.6906,0.0,11.6327,0.0,226.9735,268.2773,29.6711,1632.133,1729.4,71.2489
2007年,18.5474,8.6909,0.0,1006.339,1034.6386,19.6087,3.26,0.0,379.1153,405.7036,23.3283,0.0,6.5965,0.0,255.3091,295.725,33.8194,1640.7634,1736.0672,76.7564
2008年,13.261,7.3497,0.0,958.8053,985.7702,19.6152,1.9917,0.0,382.4966,409.6718,25.1835,0.0,3.9196,0.0,261.4679,300.273,34.8855,1602.7698,1695.715,79.6842
2009年,9.7479,5.5267,0.0,915.3627,942.0829,21.1935,1.5053,0.0,382.9875,412.7154,28.2226,0.0,2.7159,0.0,245.6777,282.9995,34.6059,1544.0279,1637.7978,84.022
2010年,8.7879,4.9852,0.0,884.9866,915.1503,25.1785,1.3482,0.0,429.303,462.5978,31.9466,0.0,2.4545,0.0,273.8997,313.9526,37.5984,1588.1893,1691.7007,94.7235
2011年,9.4541,1.3768,0.087,698.0937,715.9293,16.3718,4.9805,0.4595,518.1127,551.758,28.2053,0.7917,3.0968,0.2452,409.5206,469.1107,56.2481,1625.727,1736.798,100.8252
2012年,8.5427,1.171,0.0413,640.6129,657.2605,15.4353,5.1027,0.2621,539.7258,574.3893,29.2987,0.4737,2.269,0.1703,420.8696,483.0142,59.7053,1601.2083,1714.7,104.4393
2013年,7.5677,1.0005,0.0411,574.664,591.8061,16.1005,4.1151,0.1994,549.6043,585.094,31.1752,0.4394,2.4521,0.1989,451.7956,518.4555,64.0089,1576.0639,1695.3556,111.2846
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1658.4245,0.0
