,人感染高致病性禽流感发病率,传染性非典型肺炎发病率,伤寒和副伤寒发病率,布鲁氏菌病发病率,新生儿破伤风发病率,梅毒发病率,流行性乙型脑炎发病率,流行性出血热发病率,流行性脑脊髓膜炎发病率,淋病发病率,炭疽发病率,狂犬病发病率,猩红热发病率,甲型H1N1流感发病率,疟疾发病率,病毒性肝炎发病率,登革热发病率,白喉发病率,百日咳发病率,细菌性和阿米巴性痢疾发病率,肺结核发病率,脊髓灰质炎发病率,艾滋病发病率,血吸虫病发病率,钩端螺旋体病发病率,霍乱发病率,麻疹发病率,鼠疫发病率
1991年,0.0,0.0,10.5716,0.0707,0.0,0.0721,2.1511,4.3667,0.6944,7.3587,0.2386,0.1861,2.7833,0.0,8.9788,118.1455,0.0797,0.0204,0.9432,0.0,0.0,0.1701,0.0,0.0,2.6043,0.0186,10.9027,0.0029
1992年,0.0,0.0,7.8999,0.0378,0.0,0.0913,1.7251,3.9834,0.6134,7.7099,0.1549,0.0891,3.6132,0.0,6.227,108.8674,0.0002,0.0124,0.9589,0.0,0.0,0.1037,0.0003,0.0,1.2266,0.0365,12.0689,0.0031
1993年,0.0,0.0,7.522,0.0281,0.0,0.1099,1.5405,3.9513,0.4815,9.1881,0.1475,0.0432,3.3857,0.0,5.0595,88.925,0.0317,0.0107,0.7939,0.0,0.0,0.0465,0.0017,0.0,2.5375,0.9554,10.1807,0.0015
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,4.59,0.07,0.3,2.73,0.96,3.68,0.29,17.82,0.1,0.02,1.18,0.0,2.53,63.1,0.01,0.0,0.58,0.0,36.97,0.01,0.0,0.0,0.93,0.95,4.33,0.0
1999年,0.0,0.0,3.87,0.12,16.55,4.16,0.65,3.74,0.23,20.63,0.05,0.03,1.15,0.0,2.22,68.93,0.11,0.0,0.49,0.0,39.03,0.01,0.0,0.0,0.54,0.37,4.67,0.0
2000年,0.0,0.0,3.9,0.14,15.85,4.73,0.93,2.89,0.19,18.31,0.05,0.04,1.03,0.0,1.94,63.04,0.03,0.0,0.45,0.0,41.68,0.0,0.01,0.0,0.31,0.15,5.74,0.02
2001年,0.0,0.0,4.84,0.23,16.18,4.56,0.76,2.73,0.18,14.62,0.07,0.07,0.91,0.0,2.0,65.15,0.02,0.0,0.52,0.0,44.06,0.0,0.03,0.0,0.3,0.22,7.24,0.01
2002年,0.0,0.0,4.47,0.41,18.87,4.67,0.65,2.46,1.19,13.28,0.06,0.09,1.14,0.0,2.65,66.1,0.12,0.0,0.49,0.0,43.58,0.0,0.06,0.0,0.19,0.05,4.76,0.01
2003年,0.0,0.0,4.1742,0.4782,0.18,4.498,0.5829,1.6799,0.188,14.0944,0.0446,0.1511,0.7463,0.0,3.0038,68.5465,0.0069,0.0,0.4085,0.0,52.3624,0.0,0.0849,0.0,0.1337,0.0182,5.548,0.0
2004年,0.0,0.001,3.795,0.883,2.457,7.122,0.417,1.926,0.208,17.342,0.047,0.204,1.457,0.0,2.888,88.688,0.019,0.0001,0.362,0.0,74.644,0.0,0.235,0.0,0.107,0.19,5.427,0.002
2005年,0.0,0.0,2.6536,1.4085,0.1902,9.6707,0.3898,1.5967,0.1773,13.7908,0.0407,0.194,1.9172,0.0,3.0329,91.4222,0.0031,0.0001,0.294,0.0,96.3134,0.0,0.4299,0.0,0.1082,0.0744,9.4176,0.0008
2006年,0.0,0.0,1.9874,1.4541,0.1534,12.8002,0.5845,1.1547,0.1276,12.1444,0.0345,0.2508,2.1123,0.0,4.6035,102.0878,0.0798,0.0001,0.1948,0.0,86.2347,0.0,0.5102,0.0,0.048,0.0122,7.6174,0.0001
2007年,0.0,0.0,1.55,1.5,0.13,15.88,0.33,0.84,0.09,11.08,0.03,0.25,2.55,0.0,3.55,108.44,0.04,0.0,0.22,0.0,88.55,0.0,0.74,0.21,0.07,0.01,8.29,0.0
2008年,0.0,0.0,1.1838,2.1015,0.1041,19.4866,0.2252,0.6841,0.0698,9.9008,0.0254,0.1866,2.1026,0.0,1.9949,106.5371,0.0153,0.0,0.1807,23.6528,88.515,0.0,0.7613,0.2231,0.0652,0.0127,9.9479,0.0
2009年,0.0001,0.0,1.2754,2.6969,0.0798,23.0705,0.2946,0.6585,0.0471,9.0228,0.0264,0.1666,1.6617,9.17,1.0616,107.3041,0.023,0.0,0.1214,20.4478,81.0935,0.0,1.0001,0.2651,0.0423,0.0064,3.9503,0.0
2010年,0.0001,0.0,1.052,2.5302,5.78,26.8617,0.1904,0.7137,0.0243,7.9075,0.0217,0.1534,1.564,0.5337,0.5536,98.74,0.0167,0.0,0.1322,18.8987,74.2729,0.0,1.1974,0.3234,0.0507,0.0118,2.8589,0.0005
2011年,0.0,0.0,0.88,2.85,0.05,29.47,0.12,0.8,0.02,7.31,0.02,0.14,4.76,0.7,0.3,102.34,0.01,0.0,0.19,17.74,71.09,0.0,1.53,0.33,0.03,0.0,0.74,0.0
2012年,0.0001,0.0,0.9877,3.112,0.0459,30.4356,0.0796,0.8905,0.0176,6.8173,0.0327,0.1058,3.4482,0.3564,0.162,102.4827,0.0145,0.0,0.1308,15.3953,70.6207,0.0,2.9328,0.1819,0.0427,0.0056,0.4589,0.0001
2013年,0.0001,0.0,1.044,3.2116,0.0343,30.0414,0.1609,0.9461,0.0157,7.3601,0.0143,0.0866,2.5263,0.0,0.2877,92.4546,0.3444,0.0,0.1264,13.9338,66.7952,0.0,3.123,0.4209,0.0261,0.0039,2.0417,0.0
2014年,0.0002,0.0,1.016,4.2225,0.0284,30.9254,0.0633,0.8502,0.0125,7.0451,0.0183,0.0682,4.003,0.0,0.2155,90.2486,3.4582,0.0,0.2515,11.3333,65.6288,0.0,3.3313,0.3108,0.0367,0.0018,3.8835,0.0002
