,城市传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,"城市先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",城市其他疾病死亡人数占总死亡人数的比重,"城市内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",城市呼吸系统疾病死亡人数占总死亡人数的比重,城市呼吸道结核死亡人数占总死亡人数的比重,城市围生期疾病死亡人数占总死亡人数的比重,城市女性传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,"城市女性先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",城市女性其他疾病死亡人数占总死亡人数的比重,"城市女性内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",城市女性呼吸系统疾病死亡人数占总死亡人数的比重,城市女性呼吸道结核死亡人数占总死亡人数的比重,城市女性围生期疾病死亡人数占总死亡人数的比重,"城市女性妊娠,分娩产褥期并发症死亡人数占总死亡人数的比重",城市女性寄生虫病死亡人数占总死亡人数的比重,城市女性心脏病死亡人数占总死亡人数的比重,城市女性恶性肿瘤死亡人数占总死亡人数的比重,城市女性损伤和中毒外部原因死亡人数占总死亡人数的比重,城市女性泌尿生殖系统疾病死亡人数占总死亡人数的比重,城市女性消化系统疾病死亡人数占总死亡人数的比重,城市女性神经系统疾病死亡人数占总死亡人数的比重,城市女性精神障碍死亡人数占总死亡人数的比重,城市女性肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,城市女性脑血管病死亡人数占总死亡人数的比重,"城市女性血液,造血器官及免疫疾病死亡人数占总死亡人数的比重",城市女性诊断不明死亡人数占总死亡人数的比重,"城市妊娠,分娩产褥期并发症死亡人数占总死亡人数的比重",城市寄生虫病死亡人数占总死亡人数的比重,城市心脏病死亡人数占总死亡人数的比重,城市恶性肿瘤死亡人数占总死亡人数的比重,城市损伤和中毒外部原因死亡人数占总死亡人数的比重,城市泌尿生殖系统疾病死亡人数占总死亡人数的比重,城市消化系统疾病死亡人数占总死亡人数的比重,城市男性传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,"城市男性先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",城市男性其他疾病死亡人数占总死亡人数的比重,"城市男性内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",城市男性呼吸系统疾病死亡人数占总死亡人数的比重,城市男性呼吸道结核死亡人数占总死亡人数的比重,城市男性围生期疾病死亡人数占总死亡人数的比重,城市男性寄生虫病死亡人数占总死亡人数的比重,城市男性心脏病死亡人数占总死亡人数的比重,城市男性恶性肿瘤死亡人数占总死亡人数的比重,城市男性损伤和中毒外部原因死亡人数占总死亡人数的比重,城市男性泌尿生殖系统疾病死亡人数占总死亡人数的比重,城市男性消化系统疾病死亡人数占总死亡人数的比重,城市男性神经系统疾病死亡人数占总死亡人数的比重,城市男性精神障碍死亡人数占总死亡人数的比重,城市男性肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,城市男性脑血管病死亡人数占总死亡人数的比重,"城市男性血液,造血器官及免疫疾病死亡人数占总死亡人数的比重",城市男性诊断不明死亡人数占总死亡人数的比重,城市神经系统疾病死亡人数占总死亡人数的比重,城市精神障碍死亡人数占总死亡人数的比重,城市肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,城市脑血管病死亡人数占总死亡人数的比重,"城市血液,造血器官及免疫疾病死亡人数占总死亡人数的比重",城市诊断不明死亡人数占总死亡人数的比重
1988年,0.0,0.0,0.0,1.59,15.1,0.0,0.0,0.0,0.0,0.0,4.01,16.19,0.0,0.0,0.0,0.0,17.06,18.05,7.36,1.65,2.05,0.0,0.0,0.0,21.33,0.0,0.0,0.0,0.0,15.1,21.41,7.87,1.62,4.32,0.0,0.0,0.0,0.0,14.74,0.0,0.0,0.0,13.42,24.28,8.31,1.58,4.59,0.0,0.0,0.0,20.63,0.0,0.0,0.0,0.0,0.0,20.95,0.0,0.0
1989年,0.0,0.0,0.0,1.48,15.96,0.0,0.0,0.0,0.0,0.0,3.71,16.61,0.0,0.0,0.0,0.0,17.88,17.7,6.59,1.62,1.95,0.0,0.0,0.0,21.82,0.0,0.0,0.0,0.0,15.76,21.42,7.43,1.55,3.93,0.0,0.0,0.0,0.0,15.42,0.0,0.0,0.0,14.0,24.51,8.12,1.5,4.12,0.0,0.0,0.0,20.21,0.0,0.0,0.0,0.0,0.0,20.94,0.0,0.0
1990年,0.0,0.0,0.0,1.74,15.76,0.0,0.0,0.0,0.0,0.0,3.8,16.59,0.0,0.0,0.0,0.0,17.73,18.16,6.11,1.61,2.3,0.0,0.0,0.0,21.39,0.0,0.0,0.0,0.0,15.81,21.88,6.91,1.58,4.02,0.0,0.0,0.0,1.27,15.06,0.0,0.0,0.0,14.22,24.98,7.58,1.55,4.21,0.0,0.0,0.0,20.35,0.0,0.0,0.0,0.0,0.0,20.83,0.0,0.0
1991年,0.0,0.0,0.0,0.0,15.21,0.0,0.0,0.0,0.0,0.0,3.78,16.01,0.0,0.0,0.0,0.0,16.65,18.62,6.36,1.7,2.48,0.0,0.0,0.0,21.56,0.0,0.0,0.0,0.0,14.88,22.39,7.12,1.57,4.07,0.0,0.0,0.0,1.29,14.56,0.0,0.0,0.0,13.45,25.46,7.73,1.47,4.31,0.0,0.0,0.0,20.63,0.0,0.0,0.0,0.0,0.0,21.05,0.0,0.0
1992年,0.0,0.0,0.0,1.98,16.84,0.0,0.0,0.0,0.0,0.0,3.57,17.85,0.0,0.0,0.0,0.0,16.17,18.0,6.12,1.63,2.64,0.0,0.0,0.0,21.58,0.0,0.0,0.0,0.0,14.65,21.66,6.95,1.55,3.84,0.0,0.0,0.0,1.47,16.0,0.0,0.0,0.0,13.41,24.67,7.64,1.49,4.07,0.0,0.0,0.0,20.77,0.0,0.0,0.0,0.0,0.0,21.13,0.0,0.0
1993年,0.0,0.0,0.0,2.08,17.05,0.0,0.0,0.0,0.0,0.0,3.39,17.89,0.0,0.0,0.0,0.0,16.3,18.17,5.82,1.58,2.72,0.0,0.0,0.0,21.84,0.0,0.0,0.0,0.0,14.72,21.75,6.67,1.56,3.7,0.0,0.0,0.0,1.54,16.34,0.0,0.0,0.0,13.4,27.74,7.37,1.55,3.96,0.0,0.0,0.0,20.95,0.0,0.0,0.0,0.0,0.0,21.35,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,2.78,14.08,0.0,0.0,0.0,0.0,0.0,2.69,14.69,0.0,0.0,0.0,0.0,18.69,19.22,5.48,1.59,3.65,0.91,0.0,0.0,22.69,0.0,0.0,0.0,0.0,17.28,22.58,6.28,1.51,3.02,0.0,0.0,0.0,2.07,13.57,0.0,0.0,0.0,16.12,25.33,6.94,1.44,3.3,0.0,0.0,0.0,22.02,0.0,0.0,0.95,0.0,0.0,22.32,0.0,0.0
1999年,0.0,0.0,0.0,2.87,13.89,0.0,0.0,0.0,0.0,0.0,2.68,14.4,0.0,0.0,0.0,0.0,18.31,20.42,5.37,1.62,3.79,0.87,0.0,0.0,22.25,0.0,0.0,0.0,0.0,16.82,23.89,6.28,1.51,3.04,0.0,0.0,0.0,2.12,13.47,0.0,0.0,0.0,15.61,26.7,7.02,1.42,3.32,0.92,0.0,0.0,21.11,0.0,0.0,0.9,0.0,0.0,21.63,0.0,0.0
2000年,0.0,0.0,0.0,2.99,13.29,0.0,0.0,0.0,0.0,0.0,2.68,13.93,0.0,0.0,0.0,0.0,19.27,20.88,4.96,1.52,3.89,0.86,0.0,0.0,21.86,0.0,0.0,0.0,0.0,17.74,24.38,5.91,1.5,3.06,0.0,0.0,0.0,2.26,12.77,0.0,0.0,0.0,16.49,27.23,6.69,1.48,3.37,0.96,0.0,0.0,20.81,0.0,0.0,0.92,0.0,0.0,21.28,0.0,0.0
2001年,0.0,0.0,0.0,3.16,13.36,0.0,0.0,0.0,0.0,0.0,2.74,13.93,0.0,0.0,0.0,0.0,19.06,21.55,4.92,1.66,4.16,1.13,0.0,0.0,20.97,0.0,0.0,0.0,0.0,17.61,24.93,5.87,1.57,3.14,0.0,0.0,0.0,2.36,12.9,0.0,0.0,0.0,16.46,27.64,6.63,1.5,3.45,1.0,0.0,0.0,19.97,0.0,0.0,0.96,0.0,0.0,20.41,0.0,0.0
2002年,0.0,0.0,0.0,2.45,15.63,0.0,0.85,0.0,0.0,0.0,3.03,16.56,0.0,0.88,0.0,0.0,16.39,19.66,7.54,1.77,3.31,0.98,0.0,0.0,18.01,0.0,0.0,0.0,0.0,14.62,23.53,8.77,1.68,3.41,0.0,0.0,0.0,1.82,14.94,0.0,0.82,0.0,13.33,26.38,9.67,1.62,3.68,0.85,0.0,0.0,17.11,0.0,0.0,0.91,0.0,0.0,17.49,0.0,0.0
2003年,0.0,0.0,0.0,2.659931,14.62878,0.0,0.89,0.0,0.0,0.0,4.707216451,16.26,0.0,0.41,0.0,0.0,13.7149033375,21.6188573176,5.57385117756,1.41236933029,2.577420732,0.807360181568,0.0,0.0,20.79,0.0,0.0,0.0,0.0,14.42838,25.465,6.159987,1.340293,3.655242,0.0,0.0,0.0,2.731298,15.04292,0.0,0.680746,0.0,13.21998,28.77944,6.665074,1.278347,2.747927,0.874057,0.0,0.0,19.22509,0.0,0.0,0.91046,0.0,0.0,19.95032,0.0,0.0
2004年,0.0,0.0,0.0,2.82,13.12,0.0,0.52,0.0,0.0,0.0,3.71,13.57,0.0,0.52,0.0,0.0,20.87,20.37,5.02,1.91,2.68,0.88,0.0,0.0,19.89,0.0,0.0,0.0,0.0,18.8,23.92,5.89,1.81,3.24,0.0,0.0,0.0,2.14,12.77,0.0,0.52,0.0,17.23,27.23,6.56,1.7,3.67,0.86,0.0,0.0,18.47,0.0,0.0,0.86,0.0,0.0,19.09,0.0,0.0
2005年,0.0,0.0,0.0,2.5,12.57,0.0,0.0,0.0,0.0,0.0,2.79,12.83,0.0,0.0,0.0,0.0,20.09,18.36,6.9,1.7,3.27,0.0,0.0,0.0,21.82,0.0,0.0,0.0,0.0,17.89,22.94,8.25,1.56,3.3,0.0,0.0,0.0,1.93,12.37,0.0,0.0,0.0,16.22,26.05,9.27,1.45,3.67,0.0,0.0,0.0,19.01,0.0,0.0,0.0,0.0,0.0,21.23,0.0,0.0
2006年,0.0,0.0,0.0,3.32,13.06,0.0,0.0,0.0,0.0,0.0,2.67,13.26,0.0,0.0,0.0,0.0,19.71,23.02,5.09,1.48,4.35,0.98,0.0,0.0,18.11,0.0,0.0,0.0,0.0,17.1,27.25,6.1,1.37,2.94,0.0,0.0,0.0,2.53,12.91,0.0,0.0,0.0,16.11,30.45,6.87,1.29,3.14,0.9,0.0,0.0,16.34,0.0,0.0,0.93,0.0,0.0,17.66,0.0,0.0
2007年,0.0,0.0,0.0,3.3,13.1,0.0,0.0,0.0,0.0,0.0,2.83,11.37,0.0,0.0,0.0,0.0,19.53,25.04,4.61,1.37,4.93,1.08,0.0,0.0,20.17,0.0,0.0,0.0,0.0,16.29,28.53,6.09,1.28,2.83,0.0,0.0,0.0,2.6,13.5,0.0,0.0,0.0,14.91,32.04,6.68,1.25,2.93,0.92,0.0,0.0,16.82,0.0,0.0,0.95,0.0,0.0,18.04,0.0,0.0
2008年,0.77,0.0,0.0,3.43,11.86,0.0,0.0,0.0,0.0,0.0,4.27,11.35,0.0,0.0,0.0,0.0,21.54,23.49,4.35,1.21,2.72,1.1,0.76,0.0,20.66,0.0,0.0,0.0,0.0,19.65,27.12,5.08,1.13,2.86,0.9,0.0,0.0,2.75,12.26,0.0,0.0,0.0,18.15,30.0,5.66,1.07,2.97,0.97,0.0,0.0,18.79,0.0,0.0,1.03,0.0,0.0,19.62,0.0,0.0
2009年,0.711749673039,0.376394119464,1.72983773185,3.2776963685,10.5425588582,0.302400341574,0.247474988238,0.54051996498,0.364470328499,2.51465494271,4.1100452971,10.218967683,0.15939629249,0.224106429142,0.0,0.0,22.749419512,23.6639260021,4.66388793727,1.24329108142,2.52084047048,1.13385482091,0.703722736097,0.439172471547,21.3900308325,0.295477903392,0.534334437212,0.0,0.0,20.7671724635,27.0139468944,5.58684112893,1.18265685334,2.67248115439,0.843906648795,0.385597032739,1.12410715925,2.63528029232,10.7923100935,0.412772442665,0.265511099686,0.0,19.2372523457,29.5995299389,6.29918657388,1.13585868787,2.78951910541,1.0936266319,0.484016084905,0.185453810984,19.5585832063,0.219973926296,0.747323772975,1.11115026126,0.579721559548,0.295975111561,20.3563722737,0.252863890829,0.654544399376
2010年,0.717405018412,0.326671133128,1.5487537105,2.93050413963,11.0432448028,0.375329483048,0.327893704734,0.571739407197,0.359941205745,2.18510931333,3.69952432207,10.9411710242,0.212376885062,0.320012036619,0.0422439035682,0.0185178755367,23.1178315568,22.9928358969,5.14507598116,1.20192585906,2.44841035612,1.00343738065,0.560165734986,0.379037764892,21.153200699,0.285869703598,0.602409638554,0.0178495454479,0.0205392029811,20.8827456024,26.3271014783,6.15735963655,1.16437719757,2.7422281123,0.823989702246,0.302327156939,1.08312726534,2.36780596863,11.1179329968,0.494563192304,0.333660783849,0.0220182243149,19.2473154703,28.7668100674,6.89805562142,1.13690254395,2.95721689645,0.901476914739,0.401832593747,0.172758375394,19.5543003286,0.211290267945,0.711358016327,0.94455882281,0.468733953748,0.25991872344,20.2298923648,0.242802720955,0.665323467996
2011年,0.507485837605,0.288546764808,1.60097691626,3.00661875217,10.5589329069,0.345389032333,0.30444333115,0.382415591822,0.30526156891,2.22740309622,3.74476554682,10.4443065363,0.154308045823,0.293520739337,0.0251589205146,0.0402542728233,23.6616852004,23.9529695913,4.51966029866,1.15507399518,2.40183827846,1.34795905246,0.489760319351,0.356697584185,21.3487417744,0.263330034719,0.382974678944,0.0108385679602,0.036610273999,21.2961000424,27.7941828201,5.47323596285,1.06458823076,2.63714401326,0.602147079608,0.275895921226,1.12685711384,2.447941571,10.6456895494,0.490011467453,0.312710254273,0.0338522602731,19.5056723694,30.7014611482,6.19496362998,0.996102758536,2.81523859496,1.14251378422,0.329636384409,0.156989857017,19.3656086425,0.207768247426,0.50693759759,1.23102046322,0.398618443871,0.243024779375,20.2199506725,0.231704497283,0.453533854869
2012年,0.679164400653,0.294795099011,3.88096228286,2.8219072907,12.3183723088,0.309830768739,0.302952749608,0.506283132599,0.295521021345,4.54292622569,3.57084747558,12.1133347712,0.157031016464,0.283034217626,0.0306494273098,0.026108771412,24.2221288865,22.9462045793,4.53081780997,1.065540584,2.22529977789,1.22824742034,0.376496051521,0.342062744297,20.9736679797,0.242546702538,0.321251404765,0.0139159921942,0.0227134585239,21.4511020826,26.8085991235,5.66876739499,1.02706420551,2.48472439937,0.805952826066,0.294263523792,3.39622223269,2.2734766598,12.4685162967,0.42153061122,0.31753860477,0.020227153707,19.4219467389,29.6369364452,6.50206012175,0.998888891968,2.67469472238,1.03657235641,0.289830175034,0.147131761896,18.6098126633,0.191465249473,0.491270459212,1.11759813174,0.326465977798,0.229533894238,19.6090725871,0.213058639112,0.419399213027
2013年,1.118721828,0.319175563,1.406209457,2.763738901,12.367479,0.0,0.325604998,0.807487713,0.337865543,1.970882332,3.480343114,12.22985791,0.0,0.294675611,0.040456392,0.007653912,24.37661621,22.05638746,4.900690492,1.093962704,2.258450739,1.239933739,0.545614582,0.421511866,21.17892113,0.238364687,0.379962058,0.01699208,0.006199813,21.60497087,25.46837292,6.296713869,1.03996124,2.546745443,1.344107307,0.305640896,0.99729199,2.24479777,12.46713964,0.0,0.348003041,0.005146803,19.59783676,27.93922022,7.307667944,1.000855161,2.755518956,1.008773319,0.401846514,0.169448579,19.60892218,0.181325816,0.513492541,1.105862957,0.462230509,0.275317626,20.2683371,0.2052827,0.457408432
2014年,1.0773136895,0.2973834664,1.1494552312,2.8622156671,12.0336099427,0.0,0.3428727163,0.7733056424,0.3009958224,1.6351394678,3.5770171266,11.9742741885,0.0,0.3215726434,0.0334971503,0.0062208994,25.1506175439,22.4871155604,4.7876998464,1.1121053916,2.1237193322,1.2757628976,0.5034143167,0.3967019663,21.2749972484,0.2210811923,0.34597771,0.014027522,0.0064125815,22.0987577627,26.1667391422,6.1278227883,1.0785160485,2.3578260547,1.2963460968,0.2947808279,0.7995283507,2.3472138902,12.0763603015,0.0,0.3582190411,0.0065506851,19.899946905,28.817842687,7.0933576053,1.0543155224,2.5264957972,1.0098398185,0.3792501879,0.1779028154,19.7816898009,0.1882460024,0.429587031,1.121199794,0.4312461049,0.2695288155,20.4070386098,0.2019963168,0.3945741545
