,ABS树脂进口数量,乙二醇进口数量,农药进口数量,制冷设备用压缩机进口数量,医疗仪器及器械进口数量,医药品进口数量,原形聚丙烯进口数量,原形聚乙烯进口数量,原形聚氯乙烯进口数量,原形聚苯乙烯进口数量,原木进口数量,原油进口数量,合成橡胶进口数量,大豆进口数量,天然橡胶进口数量,对苯二甲酸进口数量,小轿车进口数量,小麦进口数量,尿素进口数量,己内酰胺进口数量,成品油进口数量,收音设备(包括收录音组合机及整套散件)进口数量,未锻造的铜及铜合金进口数量,未锻造的铝及铝合金进口数量,机电产品进口数量,棉花进口数量,氧化铝进口数量,氮、磷、钾复合肥进口数量,氯化钾进口数量,汽车进口数量,汽车零件进口数量,煤进口数量,电视显像管进口数量,电视机进口数量,电话机进口数量,磷酸氢二胺进口数量,稻谷和大米进口数量,纸及纸板进口数量,纸浆进口数量,纺织用合成纤维进口数量,羊毛及毛条进口数量,聚丙烯腈纤维进口数量,聚酯切片进口数量,聚酯纤维进口数量,肥料进口数量,自动数据处理设备及其部件进口数量,自卸车进口数量,船舶进口数量,装有引擎的汽车底盘进口数量,谷物及谷物粉进口数量,货车进口数量,金属加工机床进口数量,钢材进口数量,铁矿砂及其精矿进口数量,铜材进口数量,铜矿砂及其精矿进口数量,铝材进口数量,铬矿砂及其精矿进口数量,锅炉进口数量,锯材进口数量,锰矿砂及其精矿进口数量,阀门进口数量,飞机进口数量,食用植物油进口数量,食糖进口数量,高新技术产品进口数量
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,1058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0
1994年,0.0,0.0,32020.0,0.0,0.0,0.0,810000.0,1340000.0,490000.0,970000.0,333.0,0.0,250821.0,5.1589,34.0,0.0,34643.0,730.0,313.0,115362.0,0.0,0.0,121408.0,168853.0,0.0,50.0,0.0,0.0,0.0,281425.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,81.0,68.0,319263.0,0.0,0.0,0.0,1266.0,0.0,1479.0,2778.0,1393.0,0.0,67631.0,0.0,2245.0,3734.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,163.0,155.0,0.0
1995年,580000.0,0.0,159743.0,0.0,0.0,1991.0,1070000.0,1830000.0,580000.0,1070000.0,258.0,3400.63,311024.0,29.3938,32.0,0.0,23802.0,1159.0,696.0,123830.0,0.0,0.0,187504.0,387925.0,0.0,74.0,161.0,0.0,183.0,158115.0,0.0,163.51,0.0,116.0,0.0,0.0,0.0,1377.0,82.0,76.0,283668.0,0.0,159743.0,0.0,1991.0,0.0,404.0,1305.0,736.0,1159.0,11728.0,0.0,1377.0,4115.0,387925.0,138.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,213.0,295.0,0.0
1996年,990000.0,230000.0,32111.0,212.0,0.0,19487.0,1130000.0,2190000.0,860000.0,1440000.0,319.0,2262.0,370000.0,111.4,55.0,447803.0,57942.0,825.0,601.0,155227.0,1583.0,174.0,290940.0,366733.0,0.0,65.0,116.0,721.0,344.0,75360.0,0.0,320.0,753.0,42.0,4932.0,0.0,76.0,449.0,147.0,97.0,226213.0,0.0,270000.0,0.0,1857.0,8880000.0,470.0,1282.0,556.0,1083.0,5916.0,125176.0,1599.0,4387.0,423303.0,82.0,267785.0,76.0,14634.0,932962.0,159.0,4572.0,77.0,264.0,125.0,0.0
1997年,1030000.0,200000.0,48584.0,220.0,0.0,18642.0,1250000.0,2280000.0,1170000.0,1590000.0,446.0,3547.0,450000.0,280.1,43.0,478305.0,31944.0,186.0,342.0,138662.0,2379.0,158.0,210877.0,288891.0,0.0,75.0,109.0,749.0,463.0,48441.0,0.0,200.0,581.0,43.0,15112.0,0.0,33.0,552.0,154.0,104.0,207203.0,0.0,320000.0,0.0,1649.0,16430000.0,160.0,1013.0,688.0,417.0,6855.0,101553.0,1323.0,5511.0,484547.0,94.0,312099.0,89.0,2840.0,1327736.0,132.0,5067.0,71.0,275.0,78.0,0.0
1998年,1070000.0,310000.0,44173.0,367.0,0.0,20461.0,1550000.0,2460000.0,1570000.0,1530000.0,482.0,2732.0,510000.0,319.7,43.0,713328.0,18046.0,149.0,12.0,175827.0,2176.0,145.0,268399.0,306988.0,0.0,20.0,157.0,805.0,520.0,39711.0,0.0,158.0,596.0,31.0,6483.0,0.0,24.0,576.0,220.0,94.0,168606.0,0.0,280000.0,0.0,1387.0,23240000.0,261.0,969.0,340.0,388.0,4372.0,79146.0,1242.0,5177.0,546694.0,118.0,341297.0,71.0,4749.0,1678018.0,118.0,3595.0,81.0,206.0,48.0,0.0
1999年,1330000.0,570000.0,47714.0,737.0,0.0,23608.0,1470000.0,2600000.0,1800000.0,1740000.0,1014.0,3661.0,650000.0,431.7,43.0,1542330.0,19952.0,45.0,7.0,220817.0,2082.0,122.0,547736.0,534004.0,0.0,5.0,162.0,786.0,520.0,34906.0,0.0,167.0,949.0,26.0,22020.0,0.0,17.0,650.0,310.0,83.0,198624.0,0.0,340000.0,0.0,1335.0,48040000.0,70.0,1409.0,531.0,339.0,2682.0,89411.0,1486.0,5527.0,631944.0,125.0,426952.0,82.0,6211.0,2720149.0,106.0,3843.0,74.0,208.0,42.0,0.0
2000年,1470000.0,1050000.0,41138.0,750.0,0.0,29720.0,1640000.0,2970000.0,1920000.0,1750000.0,1361.0,7027.0,710000.0,1041.6,85.0,2505390.0,21614.0,88.0,0.0,244873.0,1805.0,102.0,812126.0,914099.0,0.0,5.0,188.0,568.0,599.0,42371.0,0.0,212.0,954.0,10.0,23712.0,0.0,24.0,595.0,335.0,100.0,300687.0,0.0,340000.0,0.0,1189.0,74720000.0,130.0,908.0,353.0,315.0,3085.0,104794.0,1596.0,6997.0,740989.0,181.0,457032.0,111.0,1625.0,3575208.0,120.0,8260.0,85.0,179.0,64.0,0.0
2001年,1430000.0,1600000.0,34360.0,1006.0,0.0,32682.0,2090000.0,4110000.0,2510000.0,1720000.0,1686.0,6026.0,750000.0,1394.0,98.0,3116649.0,46632.0,69.0,0.0,306215.0,2145.0,76.0,954167.0,529419.0,0.0,6.0,335.0,547.0,517.0,72047.0,0.0,249.0,805.0,9.0,37397.0,0.0,27.0,557.0,490.0,92.0,309141.0,374434.0,120000.0,524006.0,1092.0,68170000.0,113.0,1308.0,596.0,344.0,3138.0,100854.0,1722.0,9231.0,740625.0,226.0,404120.0,109.0,1626.0,4016052.0,171.0,12075.0,233.0,165.0,120.0,0.0
2002年,1637508.0,2145723.0,27432.0,1274.0,0.0,27155.0,2441900.0,4558882.0,2251347.0,3483033.0,2433.0,6941.0,920000.0,1131.0,96.0,4296879.0,70326.0,63.0,79.0,320551.0,2034.0,59.0,1330146.0,581737.0,0.0,18.0,457.0,282.0,665.0,127367.0,0.0,1081.0,1349.0,17.0,37674.0,493.0,24.0,633.0,526.0,104.0,237264.0,423051.0,175356.0,600248.0,1682.0,114792200.0,141.0,1135.0,209.0,285.0,6692.0,122884.0,2449.0,11149.0,917634.0,207.0,475648.0,114.0,945.0,5395988.0,208.0,14342.0,170.0,319.0,118.0,0.0
2003年,1789595.0,2518956.0,28408.0,1481.0,0.0,30240.0,2734202.0,3591739.0,2290000.0,3587714.0,2546.0,9102.01,1010000.0,2074.0,120.0,4542054.0,103017.0,45.0,13.0,376986.0,2824.0,130.0,1562152.0,880735.0,0.0,87.0,561.0,224.0,623.0,172339.0,0.0,1109.77,2415.0,101.0,33154.0,261.0,26.0,636.0,603.0,106.0,194349.0,458385.0,171984.0,577126.0,1213.0,202660000.0,93.0,1248.0,1014.0,208.0,9769.0,124418.0,3717.0,14813.0,1055765.0,267.0,531477.0,178.0,577.0,5511711.0,286.0,20655.0,167.0,541.0,78.0,0.0
2004年,1960000.0,3400000.0,27623.0,1992.0,0.0,30240.0,2910000.0,3660000.0,2110000.0,3800000.0,2631.0,12272.0,1090000.0,2023.0,128.0,5720000.0,116085.0,726.0,4.0,450000.0,3787.0,125.0,1380000.0,1030000.0,0.0,191.0,587.0,205.0,718.0,175914.0,0.0,1861.4,2636.0,78.0,27458.0,229.0,76.0,611.0,732.0,99.0,250000.0,460000.0,180000.0,510000.0,1240.0,237660000.0,90.0,2186.0,429.0,974.0,7989.0,127138.0,2930.0,20808.0,1190000.0,287.0,610000.0,217.0,557.0,6010000.0,465.0,17645.0,146.0,676.0,121.0,0.0
2005年,1990000.0,4000000.0,36752.0,1774.0,0.0,36259.0,3020000.0,3560000.0,1660000.0,3670000.0,2937.0,12681.7,1090000.0,2659.0,141.0,6500000.0,76542.0,354.0,7.0,490000.0,3143.0,303.0,1420000.0,640000.0,0.0,257.0,702.0,229.0,883.0,163020.0,0.0,2617.1,2101.0,71.0,35923.0,175.0,52.0,521.0,759.0,84.0,270000.0,470000.0,130000.0,350000.0,1397.0,321200000.0,110.0,1821.0,515.0,627.0,2928.0,116433.0,2582.0,27523.0,1120000.0,406.0,650000.0,302.0,594.0,5970000.0,458.0,18773.0,213.0,621.0,139.0,0.0
2006年,2020000.0,4064369.0,43166.0,1612.0,0.0,39482.0,2940000.0,3354561.0,1450000.0,3620000.0,3215.0,14517.0,1299425.0,2824.0,161.0,7004330.0,111780.0,61.0,3.7548,444562.0,3637.0,2297.0,970000.0,510000.0,0.0,364.0,691.0,195.0,705.0,226922.0,0.0,3810.5,2185.0,142.0,36281.0,144.0,73.0,436.0,796.0,62.0,300000.0,337104.0,190000.0,262912.0,1129.0,400500000.0,141.0,1722.0,303.0,358.0,5450.0,108449.0,1851.0,32629.0,1090000.0,361.0,690000.0,432.0,464.0,6070000.0,621.0,22137.0,295.0,669.0,135.0,0.0
