,ABS树脂进口金额,乙二醇进口金额,农药进口金额,制冷设备用压缩机进口金额,医疗仪器及器械进口金额,医药品进口金额,原形聚丙烯进口金额,原形聚乙烯进口金额,原形聚氯乙烯进口金额,原形聚苯乙烯进口金额,原木进口金额,原油进口金额,合成橡胶进口金额,大豆进口金额,天然橡胶进口金额,对苯二甲酸进口金额,小轿车进口金额,小麦进口金额,尿素进口金额,己内酰胺进口金额,成品油进口金额,收音设备(包括收录音组合机及整套散件)进口金额,未锻造的铜及铜合金进口金额,未锻造的铝及铝合金进口金额,机电产品进口金额,棉花进口金额,氧化铝进口金额,氮、磷、钾复合肥进口金额,氯化钾进口金额,汽车进口金额,汽车零件进口金额,煤进口金额,电视显像管进口金额,电视机进口金额,电话机进口金额,磷酸氢二胺进口金额,稻谷和大米进口金额,纸及纸板进口金额,纸浆进口金额,纺织用合成纤维进口金额,羊毛及毛条进口金额,聚丙烯腈纤维进口金额,聚酯切片进口金额,聚酯纤维进口金额,肥料进口金额,自动数据处理设备及其部件进口金额,自卸车进口金额,船舶进口金额,装有引擎的汽车底盘进口金额,谷物及谷物粉进口金额,货车进口金额,金属加工机床进口金额,钢材进口金额,铁矿砂及其精矿进口金额,铜材进口金额,铜矿砂及其精矿进口金额,铝材进口金额,铬矿砂及其精矿进口金额,锅炉进口金额,锯材进口金额,锰矿砂及其精矿进口金额,阀门进口金额,飞机进口金额,食用植物油进口金额,食糖进口金额,高新技术产品进口金额
1995年,,,159.74,,373.81,407.28,813.06,1444.61,576.24,909.83,368.37,,327.1,75.49,422.07,,179.86,2026.39,1426.98,183.66,,,406.44,513.9,,1377.82,,,,1535.74,854.69,,,335.4,,,,2321.68,672.11,1315.94,944.14,,,,3741.5,,42.8,674.4,42.09,,108.81,,6511.22,1226.91,,,,202.32,,,,,,1454.82,897.58,
1996年,1031.38,130.06,137.55,159.23,390.12,351.08,814.08,1581.93,625.06,1180.54,457.78,3406.55,396.89,,720.26,311.03,370.84,1890.4,1242.02,208.5,2384.67,73.61,571.4,457.78,61350.87,1196.67,236.98,1660.67,386.65,833.55,1077.58,145.93,474.18,246.68,138.66,,286.47,2327.58,775.0,1399.28,851.15,,240.75,,3563.24,964.72,56.87,393.07,25.0,2575.33,64.24,2521.22,7106.53,1320.59,1101.72,393.17,594.99,124.34,246.17,179.76,133.55,263.58,2127.29,1493.04,393.09,
1997年,1064.04,129.15,165.71,156.82,337.59,330.76,948.23,1769.38,862.33,1286.41,677.03,5456.21,469.05,,457.6,280.57,274.02,368.29,618.54,173.81,3682.07,39.72,433.71,365.36,59343.92,1330.85,238.66,1677.82,532.16,711.37,932.66,95.62,373.35,170.94,47.59,,139.77,2825.18,747.92,1411.46,789.45,,246.14,,2994.91,1135.13,10.94,253.72,21.0,916.14,116.32,1585.8,6518.26,1614.84,1273.79,421.16,789.4,110.78,202.32,267.81,123.75,326.39,2575.77,1504.58,228.77,
1998年,1083.16,133.96,185.99,220.77,401.92,533.51,993.07,1628.21,1019.91,1217.21,599.09,3274.54,465.9,,320.19,262.42,270.36,278.57,17.22,221.15,2407.43,32.43,473.25,397.43,64009.6,331.84,354.22,1761.54,606.27,827.37,935.01,68.34,465.01,131.75,474.3,,120.04,3023.1,923.68,1020.05,603.0,,198.84,,2505.65,1821.25,12.75,122.3,12.24,716.02,88.13,1391.35,6287.38,1467.76,1375.28,458.31,844.92,80.89,200.39,347.2,90.33,307.64,2602.79,1299.08,139.7,
1999年,1254.37,240.47,242.58,463.16,678.48,820.58,929.18,1631.63,1077.01,1289.51,1248.63,4641.24,602.01,,281.89,625.81,324.28,85.65,93.64,227.13,2697.69,42.17,884.2,675.75,77600.53,66.92,337.91,1583.79,608.41,810.94,1252.5,60.86,891.83,143.78,535.26,,78.15,3368.46,1414.6,770.98,637.72,,194.66,,2248.19,3253.08,15.53,128.09,20.43,524.14,71.38,1506.44,7007.75,1378.99,1594.71,474.36,1061.93,74.31,64.59,658.64,87.76,409.39,2316.83,1074.34,85.18,
2000年,1527.5,582.7,192.23,455.58,921.71,952.53,1144.16,2133.65,1352.8,1442.53,1655.64,14860.66,721.84,,583.74,1225.17,483.1,147.37,,338.4,3657.06,38.87,1501.37,1325.44,102871.5,74.11,638.46,976.01,715.72,1193.11,2112.81,68.6,847.12,60.54,138.64,,112.71,3295.53,2120.97,1097.35,1037.31,,246.1,,1730.06,4516.45,13.73,128.31,15.0,593.75,97.46,1890.27,8535.89,1857.7,1996.89,805.78,1219.33,96.83,63.53,978.52,95.4,450.72,1629.53,627.14,115.33,
2001年,1456.06,728.61,165.03,556.32,1350.35,1217.53,1361.39,2655.75,1460.04,1393.79,1693.98,11666.45,794.25,2809.52,591.95,1390.56,947.3,121.36,0.02,309.05,3769.4,22.35,1575.59,735.21,120523.51,71.04,624.89,905.41,603.63,1748.1,2527.74,87.5,576.2,40.31,102.45,,98.85,3057.31,2076.12,962.95,1049.17,495.25,86.1,430.91,1556.36,4981.5,59.54,488.34,21.94,634.26,120.47,2405.74,8963.59,2502.75,1931.31,898.0,1118.52,80.98,95.44,986.69,131.07,580.14,3656.37,477.56,313.28,
2002年,1676.747,886.202,136.088,661.552,1214.571,1434.746,1635.289,2697.858,1335.694,3208.095,2138.26,12757.314,939.475,2482.838,694.285,2099.433,1613.549,112.713,91.825,312.848,3798.258,33.78,2154.181,782.634,155562.991,186.436,752.952,452.84,768.327,3174.493,2995.705,328.46,771.658,36.988,43.573,859.46,80.31,3539.585,2167.674,1062.855,1037.772,554.187,114.747,465.846,2353.471,6733.327,24.42,363.552,9.306,493.501,259.699,3150.004,12365.554,2769.066,2282.389,809.448,1272.129,78.909,42.296,1159.097,151.438,806.74,2842.305,1309.648,238.458,
2003年,1881.73,1586.35,133.99,870.77,1653.65,1706.67,2023.34,2398.61,1500.64,3432.55,2447.15,19782.4,1152.48,5416.86,1154.95,2566.08,3082.49,85.52,15.42,430.6,5863.49,76.82,2818.86,1227.1,224936.95,1168.85,1375.76,380.7,739.43,5209.84,6235.64,363.4,1087.27,85.51,74.54,503.9,97.18,3727.46,2660.62,1240.38,913.354,666.41,137.64,517.82,1763.1,11411.21,9.18,285.68,31.04,454.89,417.03,4129.22,19916.34,4856.21,2782.75,1291.28,1490.69,150.83,50.49,1190.44,204.15,1233.19,3500.64,2578.69,174.11,
2004年,2271.08,3047.85,146.8,1088.23,1951.64,1902.59,2563.74,3330.21,1705.41,4033.29,2804.32,33911.68,1414.23,6979.17,1524.27,4172.67,3269.45,1649.61,5.49,722.15,9239.3,78.22,3812.21,1571.1,302045.64,3176.24,2043.6,411.43,1158.6,5333.62,7325.79,891.81,996.76,148.08,49.45,575.65,253.45,3848.52,3567.72,1377.6,1207.15,776.81,180.67,532.21,2287.69,14456.09,11.67,670.18,15.86,2228.88,392.62,5915.46,20784.71,12699.13,3907.2,2238.04,1943.75,381.34,75.14,1382.56,585.58,1963.75,4231.26,3665.35,275.58,161414.39
2005年,2578.62,3528.38,182.22,1011.81,2217.22,2312.51,3015.51,3717.69,1415.67,4386.9,3243.54,47722.93,1798.18,7778.32,1854.53,5214.96,2594.23,772.87,12.72,1072.67,10434.65,162.07,4950.32,1018.49,350218.48,3196.79,2594.74,528.96,1824.14,5113.69,6723.28,1383.45,657.99,124.4,117.52,497.38,199.45,3544.89,3725.46,1382.77,1317.97,878.81,143.82,423.28,3051.43,18022.98,45.01,412.72,13.98,1408.87,152.12,6479.45,24607.75,18379.48,4378.2,3720.78,2251.02,595.38,74.21,1507.85,683.18,2382.87,5716.2,2815.08,383.27,197660.42
2006年,2893.62,3428.858,212.81,928.184,2065.226,2719.727,3316.014,3998.37,1272.24,4807.56,3929.334,66411.903,2371.756,7488.868,3029.317,6152.202,3998.436,119.31,5.978,884.74,15548.76,604.372,6051.3,998.96,427653.229,4868.408,3023.535,478.105,1455.45,7517.766,9034.409,1617.785,650.056,76.113,74.96,396.93,293.681,3367.21,4392.269,1124.733,1359.678,687.387,234.865,341.047,2484.398,19924.551,52.902,465.286,8.155,838.652,282.117,7239.131,19826.602,20913.154,6360.823,6113.902,2782.15,739.268,106.589,1688.757,645.635,2926.519,9801.575,3150.919,548.672,247298.33
2007年,3617.497,4847.738,231.442,887.439,2430.803,3889.087,3862.929,3863.072,1277.539,5909.589,5350.61,79770.911,2843.06,11472.172,3257.413,6141.966,5009.727,28.711,0.27,1100.999,16436.753,382.992,11929.129,629.931,498984.205,3479.163,1973.987,385.283,2287.243,10895.36,10642.485,2421.605,325.209,137.995,1901.063,149.97,228.043,3479.885,5549.027,1046.769,1905.071,633.552,366.918,292.734,2906.272,22396.525,376.392,885.897,30.551,533.944,440.786,7072.196,20552.611,33795.57,7738.033,8816.441,3184.735,1549.656,107.886,1766.271,1302.356,3184.091,9265.439,6236.061,379.599,286985.667
2008年,3628.292,5278.062,295.383,957.931,2879.193,5516.821,4012.126,4663.084,1256.51,5899.708,5183.623,129334.996,3340.311,21812.654,4301.821,5325.74,6355.66,14.798,0.097,1084.227,30044.32,254.516,11660.119,564.138,538655.857,3492.381,1775.694,402.556,2831.054,15125.288,11086.889,3509.106,226.54,85.337,1903.951,126.104,208.407,3524.582,6705.563,746.153,1801.932,372.905,2230.884,232.058,3481.211,25401.729,172.525,1137.225,47.347,731.789,553.615,7587.415,23432.531,60531.628,7567.25,10440.152,3188.836,2714.382,92.053,2024.164,3469.752,4361.612,8765.23,8977.344,318.501,341940.91
2009年,3395.77,3515.45,334.29,841.56,3594.27,6705.52,4558.45,5827.79,1598.02,5409.7,4086.52,89255.59,3000.42,18787.28,2813.71,5008.98,6566.1,211.17,7.7,978.38,16983.96,179.22,17125.93,2742.58,491419.81,2114.64,1303.85,526.87,1177.91,15356.16,12821.87,10573.67,108.21,24.91,1820.86,168.04,215.58,3145.78,6843.7,699.56,1540.48,378.35,276.1,202.98,2008.32,23773.87,186.96,1001.54,46.48,898.07,512.06,5896.98,19479.77,50140.4,5499.31,8478.68,2602.59,1310.7,116.5,2319.27,1772.83,4392.18,9289.56,5895.19,378.4,309843.0
2010年,4216.11,5707.711,421.274,1066.829,4636.227,8040.511,5175.173,6477.225,1624.688,6674.155,6071.094,135151.09,4269.755,25081.233,5666.878,6245.561,14147.74,315.836,3.043,1560.252,22343.018,265.06,25136.46,800.708,660312.552,5655.856,1498.562,445.864,1840.566,30583.329,18637.456,16932.08,113.924,12.165,1176.89,157.676,271.359,3696.411,8817.786,944.679,2042.993,556.81,334.635,226.271,2596.498,29280.677,190.3,875.883,81.283,1527.26,1004.82,9424.386,20112.471,79427.005,7600.148,12678.559,3125.486,2398.089,70.519,3868.635,2805.053,5217.006,10870.376,6026.715,905.783,412673.1
2011年,4119.957,8523.127,488.698,1134.091,5964.85,11308.094,5874.85,7343.882,1594.864,6772.669,8273.132,196664.467,5361.74,29834.182,9379.818,8238.762,18630.241,423.687,1.457,2059.042,32698.702,232.749,28976.396,827.96,753289.174,9468.736,777.809,531.911,2691.321,43092.346,22091.464,23890.29,73.758,10.075,1322.953,58.573,407.638,4076.117,11939.627,1116.906,2924.684,678.75,350.103,238.411,3465.118,31675.215,258.272,783.228,90.87,2043.795,1492.315,13240.215,21575.915,112406.539,7828.354,15518.135,3592.775,2663.791,87.981,5711.886,2674.563,6321.947,11649.243,7714.002,1943.4,462992.356
2012年,3624.218,8130.446,592.302,1050.888,7087.361,13886.021,5802.55,7764.548,1365.412,6317.293,7252.875,220799.886,5096.966,34990.169,6813.468,5863.588,19562.911,1108.628,71.349,1813.653,33071.835,216.763,31870.502,1400.363,782627.345,11804.254,1816.065,753.927,2918.533,47488.064,22967.887,28716.134,24.686,14.138,1735.984,102.95,1153.346,3835.385,10972.829,1008.656,2710.015,592.483,324.689,211.209,4048.885,36937.878,192.973,601.385,81.032,4786.732,1559.485,13653.557,17805.22,95739.598,6744.706,16950.727,3389.468,2035.572,69.23,5517.49,2185.989,6029.727,15692.691,9692.123,2243.744,507077.819
2013年,3597.079,8679.601,692.919,1149.781,7892.845,16216.23,5595.865,9582.699,1226.13,6407.914,9320.143,219660.366,4428.359,38009.435,6392.577,2988.339,17618.306,1880.561,10.903,1075.923,32025.729,266.63,28546.912,1010.044,839699.585,8441.348,1404.513,753.342,2376.553,48716.791,25391.959,29066.367,7.571,30.875,1809.894,113.352,1083.027,3660.266,11375.263,1154.421,2839.832,667.706,351.545,241.569,3392.738,30824.291,145.072,864.473,135.823,5100.598,839.814,10065.937,17052.458,106175.378,6446.101,19508.977,3026.305,2388.387,42.907,6826.29,3192.361,6500.593,20904.037,8074.891,2068.666,557942.235
2014年,3574.744938,7892.119859,770.62667,1164.452396,8300.260822,19095.215204,5821.825846,10378.271876,1111.484958,6226.110771,11782.227411,228288.472075,3973.057194,40261.719672,4951.416848,1073.013864,21037.548172,978.55,3.049326,504.2019,23452.955913,359.421043,29552.394812,744.37,854086.100508,4991.479279,1924.499292,640.065815,2521.280878,60630.188517,,22257.214866,4.707793,18.534038,1843.770717,99.84967,1254.243076,3588.970166,12065.923939,1045.428532,2508.021345,520.182907,328.858262,240.073899,3367.210724,30546.425549,64.680278,,150.92278,6217.307421,641.115483,10818.0806,17913.739554,93439.146836,6036.456387,21463.925355,3017.158444,1830.917164,33.68568,8086.222681,2718.871323,6417.900332,25962.55702,5931.534198,1494.240779,551236.262094
