,专业技术服务业改建固定资产投资(不含农户),专用设备制造业改建固定资产投资(不含农户),中国共产党机关改建固定资产投资(不含农户),交通运输、仓储和邮政业改建固定资产投资(不含农户),交通运输设备制造业改建固定资产投资(不含农户),人民政协和民主党派改建固定资产投资(不含农户),仓储业改建固定资产投资(不含农户),仪器仪表文化办公用机械制造业改建固定资产投资(不含农户),住宿业改建固定资产投资(不含农户),住宿和餐饮业改建固定资产投资(不含农户),体育改建固定资产投资(不含农户),保险业改建固定资产投资(不含农户),信息传输、计算机服务和软件业改建固定资产投资(不含农户),公共管理和社会组织改建固定资产投资(不含农户),公共设施管理业改建固定资产投资(不含农户),其他建筑业改建固定资产投资(不含农户),其他服务业改建固定资产投资(不含农户),其他采矿业改建固定资产投资(不含农户),其他金融活动改建固定资产投资(不含农户),农、林、牧、渔业改建固定资产投资(不含农户),农、林、牧、渔服务业改建固定资产投资(不含农户),农业改建固定资产投资(不含农户),农副食品加工业改建固定资产投资(不含农户),制造业改建固定资产投资(不含农户),化学原料及化学制品制造业改建固定资产投资(不含农户),化学纤维制造业改建固定资产投资(不含农户),医药制造业改建固定资产投资(不含农户),卫生、社会保障和社会福利业改建固定资产投资(不含农户),卫生改建固定资产投资(不含农户),印刷业和记录媒介的复制改建固定资产投资(不含农户),商务服务业改建固定资产投资(不含农户),国家机构改建固定资产投资(不含农户),国际组织改建固定资产投资(不含农户),地质勘查业改建固定资产投资(不含农户),城市公共交通业改建固定资产投资(不含农户),基层群众自治组织改建固定资产投资(不含农户),塑料制品业改建固定资产投资(不含农户),娱乐业改建固定资产投资(不含农户),家具制造业改建固定资产投资(不含农户),居民服务业改建固定资产投资(不含农户),居民服务和其他服务业改建固定资产投资(不含农户),工艺品及其他制造业改建固定资产投资(不含农户),广播、电视、电影和音像业改建固定资产投资(不含农户),废弃资源和废旧材料回收加工业改建固定资产投资(不含农户),建筑业改建固定资产投资(不含农户),建筑安装工程业改建固定资产投资(不含农户),建筑装饰业改建固定资产投资(不含农户),房地产业改建固定资产投资(不含农户),房屋和土木工程建筑业改建固定资产投资(不含农户),批发业改建固定资产投资(不含农户),批发和零售业改建固定资产投资(不含农户),改建固定资产投资(不含农户),教育改建固定资产投资(不含农户),文化、体育和娱乐业改建固定资产投资(不含农户),文化艺术业改建固定资产投资(不含农户),文教体育用品制造业改建固定资产投资(不含农户),新闻出版业改建固定资产投资(不含农户),有色金属冶炼及压延加工业改建固定资产投资(不含农户),有色金属矿采选业改建固定资产投资(不含农户),木材加工及木竹藤棕草制品业改建固定资产投资(不含农户),林业改建固定资产投资(不含农户),橡胶制品业改建固定资产投资(不含农户),水上运输业改建固定资产投资(不含农户),水利、环境和公共设施管理业改建固定资产投资(不含农户),水利管理业改建固定资产投资(不含农户),水的生产和供应业改建固定资产投资(不含农户),渔业改建固定资产投资(不含农户),烟草制品业改建固定资产投资(不含农户),煤炭开采和洗选业改建固定资产投资(不含农户),燃气生产和供应业改建固定资产投资(不含农户),环境管理业改建固定资产投资(不含农户),电信和其他信息传输服务业改建固定资产投资(不含农户),电力、热力的生产和供应业改建固定资产投资(不含农户),电力燃气水的生产供应业改建固定资产投资(不含农户),电气机械及器材制造业改建固定资产投资(不含农户),畜牧业改建固定资产投资(不含农户),皮革毛皮羽毛(绒)及其制品业改建固定资产投资(不含农户),石油加工、炼焦及核燃料加工业改建固定资产投资(不含农户),石油和天然气开采业改建固定资产投资(不含农户),研究与试验发展改建固定资产投资(不含农户),社会保障业改建固定资产投资(不含农户),社会福利业改建固定资产投资(不含农户),科学研究、技术服务和地质勘查业改建固定资产投资(不含农户),科技交流和推广服务业改建固定资产投资(不含农户),租赁业改建固定资产投资(不含农户),租赁和商务服务业改建固定资产投资(不含农户),管道运输业改建固定资产投资(不含农户),纺织业改建固定资产投资(不含农户),纺织服装、鞋、帽制造业改建固定资产投资(不含农户),群众团体、社会团体和宗教组织改建固定资产投资(不含农户),航空运输业改建固定资产投资(不含农户),装卸搬运和其他运输服务业改建固定资产投资(不含农户),计算机服务业改建固定资产投资(不含农户),证券业改建固定资产投资(不含农户),软件业改建固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业改建固定资产投资(不含农户),通用设备制造业改建固定资产投资(不含农户),造纸及纸制品业改建固定资产投资(不含农户),道路运输业改建固定资产投资(不含农户),邮政业改建固定资产投资(不含农户),采矿业改建固定资产投资(不含农户),金属制品业改建固定资产投资(不含农户),金融业改建固定资产投资(不含农户),铁路运输业改建固定资产投资(不含农户),银行业改建固定资产投资(不含农户),零售业改建固定资产投资(不含农户),非金属矿物制品业改建固定资产投资(不含农户),非金属矿采选业改建固定资产投资(不含农户),食品制造业改建固定资产投资(不含农户),餐饮业改建固定资产投资(不含农户),饮料制造业改建固定资产投资(不含农户),黑色金属冶炼及压延加工业改建固定资产投资(不含农户),黑色金属矿采选业改建固定资产投资(不含农户)
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1878.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2199.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2791.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3199.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3827.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3974.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4611.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,6.2804,47.9712,2.1338,1140.0562,136.2849,0.1883,9.5234,7.3304,24.5107,45.2585,3.2608,0.4966,118.3516,140.0402,516.2301,0.7089,1.1035,0.035,0.0168,60.4227,22.849,16.1679,32.5847,1539.0958,136.829,9.7492,86.7593,24.318,22.5031,10.9376,10.5099,123.578,0.0,0.4522,29.2505,12.1835,17.3984,9.5436,4.157,4.3646,5.4681,5.0915,8.1979,0.7084,78.6338,1.1401,1.7928,27.8716,74.992,27.1559,83.372,4932.0,55.8345,30.2658,8.6051,1.8865,0.6584,58.7682,13.5398,17.9018,12.351,15.4227,32.7334,745.7954,183.9113,37.3684,1.5305,23.5273,128.6028,11.453,45.654,116.9923,480.6793,529.5007,27.3479,7.5243,6.0879,58.2618,112.0658,8.6281,1.1608,0.6541,18.8971,3.5364,0.122,10.6319,2.9994,83.0387,8.5279,1.9566,4.8524,24.6592,0.7281,0.0981,0.6312,40.6876,50.2189,24.9639,930.2069,2.8881,270.8228,21.8385,7.3636,102.9429,6.7521,56.2161,97.2278,8.07,24.5747,20.7478,26.4928,456.5193,8.5094
2004年,3.92,53.9,1.57,1453.36,118.08,0.16,7.06,15.82,29.87,57.56,3.49,0.32,177.67,162.64,557.19,0.63,1.96,0.27,0.53,77.2,26.64,25.48,50.26,1848.01,178.11,25.04,81.37,33.97,31.27,22.0,17.98,145.69,0.0,0.63,13.76,12.7,24.14,9.36,5.35,8.24,10.2,10.17,7.11,0.5,61.96,2.34,1.46,51.07,57.53,37.03,119.31,5929.62,74.53,30.69,10.03,1.44,0.71,73.18,22.21,12.5,17.07,13.54,35.61,775.3,168.82,55.0,2.88,26.16,236.8,17.59,49.29,175.49,459.61,532.2,48.36,5.13,9.77,123.48,127.8,15.49,1.41,1.29,21.29,1.25,0.09,18.07,7.96,64.33,13.95,2.51,10.28,13.27,1.07,0.12,1.11,38.66,81.7,32.37,1192.6,3.11,418.7,37.5,5.93,169.7,4.96,82.28,129.15,12.72,31.31,27.69,32.73,493.14,18.89
2005年,12.55,132.12,1.55,1384.77,392.65,1.49,12.85,25.97,53.67,92.18,3.17,1.53,332.28,154.46,562.9,1.91,4.04,0.3,0.91,78.2,34.05,22.77,159.8,3845.07,369.96,25.57,131.21,49.64,47.43,41.12,31.06,134.63,0.0,12.94,14.34,13.84,54.39,13.22,18.43,17.97,22.01,20.79,13.76,2.3,62.46,2.03,0.83,57.55,57.7,48.95,137.12,8721.0658,117.76,44.32,13.43,5.68,0.73,163.22,52.92,32.12,13.81,35.32,42.18,717.56,112.75,70.6,1.66,49.44,400.79,31.82,41.91,325.96,609.01,711.43,131.06,5.92,23.92,209.42,293.23,15.84,0.34,1.87,43.79,2.46,0.92,31.98,0.67,134.25,31.76,2.94,25.91,10.84,2.45,0.31,3.88,106.9,169.95,103.72,1008.57,1.79,830.91,83.15,7.58,267.6,4.84,88.17,239.59,27.25,79.45,38.52,71.24,800.56,56.42
2006年,8.8535,172.8965,3.1685,1590.6552,363.394,1.3281,21.4489,30.4455,76.0718,134.8466,8.6994,0.5468,379.6724,187.2448,827.7892,2.7954,8.5216,0.2756,0.8216,140.2548,66.1794,35.2909,190.8328,4556.5343,420.1511,38.8434,154.0631,58.8922,56.2904,45.922,46.8454,154.3251,0.0,8.2862,27.9668,25.9908,72.5952,26.9063,27.2733,22.6357,31.1573,35.9767,18.9952,3.9126,74.5246,3.5907,2.9031,87.136,65.2354,91.2152,217.2622,11075.5123,124.6644,74.7356,17.0205,11.0782,3.1142,206.612,72.9214,55.1198,17.7784,35.328,63.1509,1113.9157,172.4698,104.6553,5.7618,40.7692,588.6455,31.1713,113.6567,368.5229,825.2258,961.0524,149.1928,15.2443,25.339,258.705,472.8058,21.8933,0.177,2.4248,44.3994,5.3664,2.4466,49.292,2.4306,162.5229,55.3413,2.4323,18.6879,8.7478,5.5131,0.9618,5.6364,280.2562,260.4172,122.9737,1263.2718,4.5499,1236.6487,129.3545,12.6237,180.4006,10.2935,126.047,284.11,39.4395,92.6329,58.7748,94.5662,735.9092,62.5609
2007年,18.4363,246.7026,4.0708,1638.7498,484.5002,1.7258,22.8096,37.7568,127.5453,211.744,15.6583,2.9982,395.5228,245.9,1114.2598,3.9842,22.0475,0.2033,2.3999,172.5109,86.2629,35.1908,257.9992,6244.6711,652.7372,56.3583,161.2803,81.539,74.5819,56.9682,66.8078,205.7539,0.0,5.5092,37.5069,27.0446,105.53,34.4445,35.1788,22.8926,44.9401,43.4369,19.6509,9.7296,80.9958,5.104,3.3969,152.6398,68.5107,120.5078,294.3542,14136.0028,138.6303,120.8841,49.3591,14.5594,1.7713,310.491,128.3738,96.4222,30.7388,71.0683,51.6957,1475.1794,240.0078,131.7573,5.5935,41.8789,785.7901,55.5896,120.9118,382.756,913.7971,1101.144,256.5179,14.7249,26.888,312.1145,501.5512,29.1861,2.8785,4.0786,58.2231,5.0915,1.3884,68.1962,3.2816,204.9149,70.4123,7.3049,53.399,3.1976,5.4293,0.3428,7.3375,382.8211,376.067,130.7273,1279.3961,3.731,1580.6782,218.1853,29.5,183.7323,23.7591,173.8464,461.8135,56.0871,121.4641,84.1987,126.8801,873.2672,108.6727
2008年,25.0834,347.924,3.2863,1955.0038,729.9904,0.4629,44.5901,74.6807,162.4251,319.6583,13.7923,4.1311,446.8877,381.8038,1500.8632,12.0684,17.3419,1.424,4.6754,259.8822,127.2945,44.0058,345.8639,8719.1201,856.725,29.6475,253.4289,108.369,101.3421,83.5593,133.5988,294.1022,0.0,7.0404,47.1889,75.8466,139.3461,63.9219,45.9475,42.0283,59.3702,64.6319,19.2043,21.7726,139.1178,8.4342,6.9271,251.4281,111.6881,217.9216,476.6264,19138.3122,155.2204,165.2246,53.6076,22.7795,14.6985,441.8984,158.2584,129.8716,42.0671,79.4145,85.6236,2061.7536,380.9707,177.6382,14.4203,63.4507,992.8195,60.6303,179.9197,421.825,1120.715,1358.9835,341.5385,32.0945,38.7253,442.4578,639.0083,32.9004,1.0946,5.9323,84.7444,19.7202,5.7843,139.3831,1.4412,283.3611,134.4808,8.1058,35.2182,7.5462,11.8597,1.304,13.203,420.3889,612.5309,184.1783,1501.5234,4.5221,2001.3043,308.106,54.4309,227.3501,44.3204,258.7048,755.2663,70.8785,170.5888,157.2332,149.7762,1146.7887,138.9156
2009年,38.0281,576.1585,5.4062,2565.6901,1104.5119,1.2017,76.1759,102.0062,252.8035,492.8837,19.008,5.883,579.0653,543.8724,2159.5212,17.5351,52.3761,4.9623,7.3275,494.5487,195.9595,148.2723,548.191,12315.3741,1283.2545,44.6803,340.801,196.8197,179.6688,115.7574,256.175,436.3537,0.0,49.0428,67.6087,88.8492,232.9948,99.3931,99.6642,59.8534,112.2295,96.7078,34.1956,46.8027,225.1943,17.0583,19.4624,526.5471,171.1385,326.9784,756.1849,27171.8638,282.6314,264.4253,104.7422,27.674,7.0864,519.2111,238.226,211.9741,77.8769,135.6502,84.9392,2996.3948,553.5681,297.1312,18.0145,90.0119,1275.5501,78.9907,283.3055,535.0715,1429.8875,1806.0094,553.05,54.4255,56.283,476.1448,629.7944,52.0557,5.7583,11.3926,170.3781,31.2515,7.723,263.898,9.2858,387.156,185.0196,12.0616,62.7547,17.4462,17.951,2.6999,26.0428,430.9626,938.5124,280.0447,1961.5572,3.9947,2494.6299,471.0646,85.0871,281.9277,69.1767,429.2065,1311.1512,142.5391,297.321,240.0802,268.1595,1084.4531,203.558
2010年,61.9,758.7,6.0,3071.5,1396.1,1.2,142.2,140.4,247.1,472.6,30.6,8.9,581.0,771.1,2748.6,31.2,46.1,5.0,11.7,560.4,228.6,123.1,760.7,15802.5,1590.4,50.1,441.8,194.4,168.9,153.9,229.2,630.8,0.0,22.8,81.7,108.6,305.7,104.8,130.5,71.1,117.2,133.9,39.8,57.6,287.7,13.5,21.6,773.2,221.3,334.6,792.0,33375.7979,432.9,284.2,103.0,40.3,6.0,661.2,336.2,342.7,104.5,175.9,117.8,3729.7,598.1,326.9,24.0,73.4,1561.5,96.0,383.0,520.2,1527.0,1950.0,810.4,80.1,90.2,456.9,693.3,58.0,8.9,16.5,173.4,30.8,12.0,241.2,5.0,458.7,246.5,24.6,48.5,20.3,24.9,4.9,35.9,666.9,1227.9,339.7,2355.8,3.9,3064.4,654.8,76.6,296.4,51.1,457.3,1786.5,202.0,406.9,225.6,338.0,1105.9,266.4
