,专业技术服务业新增固定资产,专用设备制造业新增固定资产,中国共产党机关新增固定资产,交通运输、仓储和邮政业新增固定资产,交通运输设备制造业新增固定资产,人民政协和民主党派新增固定资产,仓储业新增固定资产,仪器仪表文化办公用机械制造业新增固定资产,住宿业新增固定资产,住宿和餐饮业新增固定资产,体育新增固定资产,保险业新增固定资产,信息传输、计算机服务和软件业新增固定资产,公共管理和社会组织新增固定资产,公共设施管理业新增固定资产,其他建筑业新增固定资产,其他服务业新增固定资产,其他采矿业新增固定资产,其他金融活动新增固定资产,农、林、牧、渔业新增固定资产,农、林、牧、渔服务业新增固定资产,农业新增固定资产,农副食品加工业新增固定资产,制造业新增固定资产,化学原料及化学制品制造业新增固定资产,化学纤维制造业新增固定资产,医药制造业新增固定资产,卫生、社会保障和社会福利业新增固定资产,卫生新增固定资产,印刷业和记录媒介的复制新增固定资产,商务服务业新增固定资产,国家机构新增固定资产,国际组织新增固定资产,地质勘查业新增固定资产,城市公共交通业新增固定资产,基层群众自治组织新增固定资产,塑料制品业新增固定资产,娱乐业新增固定资产,家具制造业新增固定资产,居民服务业新增固定资产,居民服务和其他服务业新增固定资产,工艺品及其他制造业新增固定资产,广播、电视、电影和音像业新增固定资产,废弃资源和废旧材料回收加工业新增固定资产,建筑业新增固定资产,建筑安装业新增固定资产,建筑装饰业新增固定资产,房地产业新增固定资产,房屋和土木工程建筑业新增固定资产,批发业新增固定资产,批发和零售业新增固定资产,教育新增固定资产,文化、体育和娱乐业新增固定资产,文化艺术业新增固定资产,文教体育用品制造业新增固定资产,新增固定资产,新闻出版业新增固定资产,有色金属冶炼及压延加工业新增固定资产,有色金属矿采选业新增固定资产,木材加工及木竹藤棕草制品业新增固定资产,林业新增固定资产,橡胶制品业新增固定资产,水上运输业新增固定资产,水利、环境和公共设施管理业新增固定资产,水利管理业新增固定资产,水的生产和供应业新增固定资产,渔业新增固定资产,烟草制品业新增固定资产,煤炭开采和洗选业新增固定资产,燃气生产和供应业新增固定资产,环境管理业新增固定资产,电信和其他信息传输服务业新增固定资产,电力、热力的生产和供应业新增固定资产,电力燃气水的生产供应业新增固定资产,电气机械及器材制造业新增固定资产,畜牧业新增固定资产,皮革毛皮羽毛(绒)及其制品业新增固定资产,石油加工、炼焦及核燃料加工业新增固定资产,石油和天然气开采业新增固定资产,研究与试验发展新增固定资产,社会保障业新增固定资产,社会福利业新增固定资产,科学研究、技术服务和地质勘查业新增固定资产,科技交流和推广服务业新增固定资产,租赁业新增固定资产,租赁和商务服务业新增固定资产,管道运输业新增固定资产,纺织业新增固定资产,纺织服装、鞋、帽制造业新增固定资产,群众团体、社会团体和宗教组织新增固定资产,航空运输业新增固定资产,装卸搬运和其他运输服务业新增固定资产,计算机服务业新增固定资产,证券业新增固定资产,软件业新增固定资产,通信设备、计算机及其他电子设备制造业新增固定资产,通用设备制造业新增固定资产,造纸及纸制品业新增固定资产,道路运输业新增固定资产,邮政业新增固定资产,采矿业新增固定资产,金属制品业新增固定资产,金融业新增固定资产,铁路运输业新增固定资产,银行业新增固定资产,零售业新增固定资产,非金属矿物制品业新增固定资产,非金属矿采选业新增固定资产,食品制造业新增固定资产,餐饮业新增固定资产,饮料制造业新增固定资产,黑色金属冶炼及压延加工业新增固定资产,黑色金属矿采选业新增固定资产
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,1789.0223,,,,,,89.59,,,,,,,,,,68.2582,,,,2644.852,,,,397.4603,,,,,,,,,,,,,,,,,115.5746,,,,,,274.5384,,194.5964,,,10146.17,,,,,,,,,,,,,,,,,,979.8988,,,,,,,,,,,,,,,,,,,,,,,,,,,649.1806,,2015.583,,,,,,,,,,
1996年,,,,2330.0701,,,,,,121.3208,,,,,,,,,,93.6326,,,,3409.9008,,,,502.5177,,,,,,,,,,,,,,,,,152.9054,,,,,,321.6867,,157.1691,,,13080.6,,,,,,,,,,,,,,,,,,1294.2505,,,,,,,,,,,,,,,,,,,,,,,,,,,697.4482,,2906.8997,,,,,,,,,,
1997年,,,,2884.6449,,,,,,146.3367,,,,,,,,,,117.4407,,,,3363.2026,,,,600.1703,,,,,,,,,,,,,,,,,200.5112,,,,,,331.7175,,197.3241,,,14959.91,,,,,,,,,,,,,,,,,,1466.2486,,,,,,,,,,,,,,,,,,,,,,,,,,,905.6337,,3288.7775,,,,,,,,,,
1998年,,,,3224.48,,,,,,192.1689,,,,,,,,,,147.1846,,,,3286.538,,,,789.7243,,,,,,,,,,,,,,,,,158.7299,,,,,,391.358,,167.666,,,17081.34,,,,,,,,,,,,,,,,,,2102.7529,,,,,,,,,,,,,,,,,,,,,,,,,,,796.3692,,3833.236,,,,,,,,,,
1999年,,,,3449.8484,,,,,,147.871,,,,,,,,,,257.1299,,,,3406.0331,,,,911.5184,,,,,,,,,,,,,,,,,184.5562,,,,,,384.6768,,169.6964,,,18682.71,,,,,,,,,,,,,,,,,,2096.0103,,,,,,,,,,,,,,,,,,,,,,,,,,,859.4643,,4283.8843,,,,,,,,,,
2000年,,,,4511.0741,,,,,,114.611,,,,,,,,,,259.4224,,,,3335.3962,,,,834.3815,,,,,,,,,,,,,,,,,203.9506,,,,,,427.9011,,159.5933,,,20715.17,,,,,,,,,,,,,,,,,,2507.5007,,,,,,,,,,,,,,,,,,,,,,,,,,,890.058,,4787.9206,,,,,,,,,,
2001年,,,,4338.0742,,,,,,106.9274,,,,,,,,,,237.5402,,,,3787.3805,,,,895.5787,,,,,,,,,,,,,,,,,222.553,,,,,,438.2995,,181.1031,,,21666.27,,,,,,,,,,,,,,,,,,2047.7956,,,,,,,,,,,,,,,,,,,,,,,,,,,861.2446,,5611.3033,,,,,,,,,,
