,专业技术服务业固定资产投资(不含农户)建设总规模,专用设备制造业固定资产投资(不含农户)建设总规模,中国共产党机关固定资产投资(不含农户)建设总规模,交通运输、仓储和邮政业固定资产投资(不含农户)建设总规模,交通运输设备制造业固定资产投资(不含农户)建设总规模,人民政协和民主党派固定资产投资(不含农户)建设总规模,仓储业固定资产投资(不含农户)建设总规模,仪器仪表文化办公用机械制造业固定资产投资(不含农户)建设总规模,住宿业固定资产投资(不含农户)建设总规模,住宿和餐饮业固定资产投资(不含农户)建设总规模,体育固定资产投资(不含农户)建设总规模,保险业固定资产投资(不含农户)建设总规模,信息传输、计算机服务和软件业固定资产投资(不含农户)建设总规模,公共管理和社会组织固定资产投资(不含农户)建设总规模,公共设施管理业固定资产投资(不含农户)建设总规模,其他建筑业固定资产投资(不含农户)建设总规模,其他服务业固定资产投资(不含农户)建设总规模,其他采矿业固定资产投资(不含农户)建设总规模,其他金融活动固定资产投资(不含农户)建设总规模,农、林、牧、渔业固定资产投资(不含农户)建设总规模,农、林、牧、渔服务业固定资产投资(不含农户)建设总规模,农业固定资产投资(不含农户)建设总规模,农副食品加工业固定资产投资(不含农户)建设总规模,制造业固定资产投资(不含农户)建设总规模,化学原料及化学制品制造业固定资产投资(不含农户)建设总规模,化学纤维制造业固定资产投资(不含农户)建设总规模,医药制造业固定资产投资(不含农户)建设总规模,卫生、社会保障和社会福利业固定资产投资(不含农户)建设总规模,卫生固定资产投资(不含农户)建设总规模,印刷业和记录媒介的复制固定资产投资(不含农户)建设总规模,商务服务业固定资产投资(不含农户)建设总规模,固定资产投资(不含农户)建设总规模,国家机构固定资产投资(不含农户)建设总规模,国际组织固定资产投资(不含农户)建设总规模,地质勘查业固定资产投资(不含农户)建设总规模,城市公共交通业固定资产投资(不含农户)建设总规模,基层群众自治组织固定资产投资(不含农户)建设总规模,塑料制品业固定资产投资(不含农户)建设总规模,娱乐业固定资产投资(不含农户)建设总规模,家具制造业固定资产投资(不含农户)建设总规模,居民服务业固定资产投资(不含农户)建设总规模,居民服务和其他服务业固定资产投资(不含农户)建设总规模,工艺品及其他制造业固定资产投资(不含农户)建设总规模,广播、电视、电影和音像业固定资产投资(不含农户)建设总规模,废弃资源和废旧材料回收加工业固定资产投资(不含农户)建设总规模,建筑业固定资产投资(不含农户)建设总规模,建筑安装工程业固定资产投资(不含农户)建设总规模,建筑装饰业固定资产投资(不含农户)建设总规模,房地产业固定资产投资(不含农户)建设总规模,房屋和土木工程建筑业固定资产投资(不含农户)建设总规模,批发业固定资产投资(不含农户)建设总规模,批发和零售业固定资产投资(不含农户)建设总规模,教育固定资产投资(不含农户)建设总规模,文化、体育和娱乐业固定资产投资(不含农户)建设总规模,文化艺术业固定资产投资(不含农户)建设总规模,文教体育用品制造业固定资产投资(不含农户)建设总规模,新闻出版业固定资产投资(不含农户)建设总规模,有色金属冶炼及压延加工业固定资产投资(不含农户)建设总规模,有色金属矿采选业固定资产投资(不含农户)建设总规模,木材加工及木竹藤棕草制品业固定资产投资(不含农户)建设总规模,林业固定资产投资(不含农户)建设总规模,橡胶制品业固定资产投资(不含农户)建设总规模,水上运输业固定资产投资(不含农户)建设总规模,水利、环境和公共设施管理业固定资产投资(不含农户)建设总规模,水利管理业固定资产投资(不含农户)建设总规模,水的生产和供应业固定资产投资(不含农户)建设总规模,渔业固定资产投资(不含农户)建设总规模,烟草制品业固定资产投资(不含农户)建设总规模,煤炭开采和洗选业固定资产投资(不含农户)建设总规模,燃气生产和供应业固定资产投资(不含农户)建设总规模,环境管理业固定资产投资(不含农户)建设总规模,电信和其他信息传输服务业固定资产投资(不含农户)建设总规模,电力、热力的生产和供应业固定资产投资(不含农户)建设总规模,电力燃气水的生产供应业固定资产投资(不含农户)建设总规模,电气机械及器材制造业固定资产投资(不含农户)建设总规模,畜牧业固定资产投资(不含农户)建设总规模,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)建设总规模,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)建设总规模,石油和天然气开采业固定资产投资(不含农户)建设总规模,研究与试验发展固定资产投资(不含农户)建设总规模,社会保障业固定资产投资(不含农户)建设总规模,社会福利业固定资产投资(不含农户)建设总规模,科学研究、技术服务和地质勘查业固定资产投资(不含农户)建设总规模,科技交流和推广服务业固定资产投资(不含农户)建设总规模,租赁业固定资产投资(不含农户)建设总规模,租赁和商务服务业固定资产投资(不含农户)建设总规模,管道运输业固定资产投资(不含农户)建设总规模,纺织业固定资产投资(不含农户)建设总规模,纺织服装、鞋、帽制造业固定资产投资(不含农户)建设总规模,群众团体、社会团体和宗教组织固定资产投资(不含农户)建设总规模,航空运输业固定资产投资(不含农户)建设总规模,装卸搬运和其他运输服务业固定资产投资(不含农户)建设总规模,计算机服务业固定资产投资(不含农户)建设总规模,证券业固定资产投资(不含农户)建设总规模,软件业固定资产投资(不含农户)建设总规模,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)建设总规模,通用设备制造业固定资产投资(不含农户)建设总规模,造纸及纸制品业固定资产投资(不含农户)建设总规模,道路运输业固定资产投资(不含农户)建设总规模,邮政业固定资产投资(不含农户)建设总规模,采矿业固定资产投资(不含农户)建设总规模,金属制品业固定资产投资(不含农户)建设总规模,金融业固定资产投资(不含农户)建设总规模,铁路运输业固定资产投资(不含农户)建设总规模,银行业固定资产投资(不含农户)建设总规模,零售业固定资产投资(不含农户)建设总规模,非金属矿物制品业固定资产投资(不含农户)建设总规模,非金属矿采选业固定资产投资(不含农户)建设总规模,食品制造业固定资产投资(不含农户)建设总规模,餐饮业固定资产投资(不含农户)建设总规模,饮料制造业固定资产投资(不含农户)建设总规模,黑色金属冶炼及压延加工业固定资产投资(不含农户)建设总规模,黑色金属矿采选业固定资产投资(不含农户)建设总规模
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122413.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147038.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,225.89,1086.95,66.82,27856.91,3135.85,7.21,625.53,325.19,874.79,1112.92,479.25,13.45,2901.3,4677.15,12368.03,80.14,60.87,8.99,15.33,1549.03,401.83,395.21,1173.23,37166.31,4096.77,422.21,1378.36,1022.21,969.44,317.0,1075.96,192739.3,4197.85,1.55,41.62,3203.87,324.96,729.02,545.17,223.62,242.16,303.03,545.89,321.25,41.26,1097.59,31.14,14.05,56187.6,972.26,960.36,2361.63,4533.78,1905.35,510.72,120.64,48.95,1995.78,258.09,348.25,421.08,442.51,1932.81,16962.79,3578.27,1923.98,75.42,254.81,1905.41,914.28,1016.49,2700.41,23856.88,26695.13,1182.49,255.49,279.58,2221.77,1573.86,487.28,10.83,41.94,941.05,186.26,7.8,1083.76,580.85,1699.38,553.94,80.31,856.31,137.59,41.46,1.47,159.43,2629.8,1200.08,1063.21,16391.23,51.71,4175.96,849.6,204.21,4077.01,173.97,1401.27,2405.41,122.95,787.24,238.14,542.19,5114.3,306.67
2005年,347.793,1593.4653,58.0881,36606.7616,4893.6274,16.5399,882.2558,380.4385,1359.9219,1713.1371,582.5065,10.9449,2824.8981,5461.593,15584.5862,103.2711,70.2071,6.4427,17.4561,1849.2289,440.0287,438.7445,1859.8165,51872.3646,5825.9034,591.8216,1632.1617,1370.007,1296.4678,455.2764,1482.9569,247510.3064,4746.906,,164.3999,4246.1643,500.049,1059.4572,681.6651,404.36,304.879,375.0861,698.2731,371.8706,40.9269,1316.7086,41.9286,17.8112,68209.851,1153.6977,1447.5592,3151.4157,5454.9176,2366.9982,678.873,206.8175,52.083,2355.5478,443.2649,526.6305,553.9657,581.2641,3113.0682,22783.4456,6026.1067,1866.9909,92.6489,297.6494,3145.8879,1079.1958,1172.7527,2604.4986,29522.5745,32468.7612,1768.3831,323.8411,427.8298,3065.334,2258.3592,545.4233,19.5262,54.013,1286.2303,228.6141,20.1998,1503.1567,155.6379,2346.773,823.8681,140.01,1344.5449,123.0705,45.4726,32.9219,174.9269,3545.3479,2056.8738,1490.1573,20333.184,51.3157,6683.1338,1412.0908,212.6113,6357.5203,151.2884,1703.8565,3004.1753,295.9065,1141.9367,353.2152,810.4372,6575.7203,533.2726
2006年,279.4958,2448.0063,59.9511,42053.4165,5931.1324,15.4068,1128.0697,491.8429,1740.7805,2218.541,630.2198,19.6893,2950.2677,5977.0691,19651.4818,171.4512,100.1023,17.2075,17.0841,2323.3974,585.7327,536.7086,2551.1382,66602.4112,7651.3989,893.4592,1884.4136,1757.9945,1650.6048,566.1475,1755.9464,299682.1417,5220.4038,0.135,144.8556,5408.5142,555.9508,1560.865,797.4809,535.7173,256.3517,356.454,1017.3741,442.1447,114.3841,1564.6832,52.889,21.8369,85864.0112,1318.5061,1939.0678,4062.3545,5895.2126,2813.6212,872.0793,263.2372,71.6965,2970.9534,619.39,753.7816,676.6685,782.8626,3848.9656,26316.8722,5256.2114,2347.7217,87.5749,342.3819,4638.7127,1558.4913,1409.179,2647.2143,32301.3861,36207.5991,2436.1258,436.7127,599.1035,3529.8241,2830.8053,638.2424,29.5578,77.8319,1288.6781,226.0843,29.3442,1785.2906,241.4444,2705.979,1129.9542,125.3566,1363.9105,152.8907,84.1742,86.124,218.8792,4590.9278,3268.719,1600.3548,22721.0478,40.1493,9350.9692,2140.7627,293.1634,7148.4243,170.266,2123.2867,3920.3081,415.952,1610.1771,477.7605,1127.5646,7183.5143,828.9017
2007年,352.4119,3468.2993,53.6916,51209.1324,7911.0168,20.401,1679.2353,627.4052,2611.2062,3187.7401,850.6634,20.5167,3133.6391,5476.4917,23297.6615,178.582,142.8356,29.7146,39.3043,2669.3247,692.4693,639.2879,3133.6008,85017.0795,9891.3853,966.3896,1968.295,2014.6294,1873.1245,662.5275,2620.371,366270.2559,4651.8384,,115.3335,6929.2517,621.6398,1788.3864,1012.3526,725.9638,332.6572,475.4928,1361.1714,505.3395,211.0427,1839.3408,61.6998,29.7985,111978.6645,1569.2605,2242.6303,4900.1703,6157.6398,3642.707,1132.073,342.7436,142.2785,3867.2809,957.9578,1053.0513,681.0566,916.8202,4268.0688,30583.1429,5547.4076,2634.6361,109.2354,397.8559,4873.3748,1261.3508,1738.0738,2761.2932,34941.3482,38837.3351,3500.0476,547.2755,747.2885,4775.3295,3509.0461,651.6433,30.4297,111.0752,1379.9291,260.5404,41.1386,2661.5096,192.5152,3146.3247,1524.0432,128.9209,1796.8407,212.7286,88.7629,37.5689,283.583,5573.4842,4603.9265,2281.4736,23970.5888,30.8028,10817.078,3108.7174,289.2091,12129.1005,191.8192,2657.54,5319.3094,488.2898,1775.0847,576.5339,1436.0388,7932.7757,958.6949
2008年,847.4736,4519.5746,58.6978,64437.5557,10453.4129,15.3656,2287.4097,881.3477,3132.5365,3943.8375,985.5554,14.9141,3828.1272,6105.26,28798.148,171.1486,193.6943,26.0161,50.9219,3822.0585,1035.3392,775.8914,3828.8934,106995.0003,12752.56,799.3544,2337.4104,2583.2336,2332.3967,775.7217,3537.5493,462788.0254,4760.8132,,138.7648,7931.5852,1102.5888,2114.3409,1268.4572,838.7032,359.4425,553.1368,1774.8847,545.2102,281.8296,2021.877,72.2329,47.9579,150104.9743,1730.5376,3081.331,6136.3459,6583.2279,4333.2637,1347.7346,385.2961,186.3063,5336.4813,1318.2698,1230.7528,894.0914,1121.3668,4186.6952,36944.9612,6264.237,3257.9533,155.1642,486.9523,6589.4944,1743.5196,1882.5762,3263.0693,38614.0599,43615.5328,4943.0018,961.5723,848.7018,5915.2148,4362.3942,851.3287,59.0622,191.7747,2165.8776,328.3105,57.6976,3595.2469,299.7058,3175.9451,1722.7108,167.7946,2222.0726,269.2162,106.9491,250.8237,458.1088,6950.1493,6187.7646,2487.4246,27323.2473,34.6822,14380.094,4101.5779,638.4145,19882.9415,321.7548,3055.0149,7911.3106,741.8799,2127.5956,811.301,1686.3696,9018.351,1342.0396
2009年,909.9272,6485.0894,67.7721,89283.543,14051.3566,13.7198,3586.9183,1165.1279,4128.0158,5357.2634,1280.6346,86.6901,4306.208,7409.6619,40810.8058,201.5822,379.3475,49.9145,71.3009,5704.7131,1465.9244,1361.2922,5076.1665,138975.4118,16119.9477,747.1657,3138.6921,3940.9541,3452.2045,975.8798,4980.5577,600131.6239,5896.3386,,271.4788,10862.7386,1209.9367,2614.346,1949.0617,1087.0771,634.8316,1014.1791,2146.2353,671.9852,642.6871,2917.5789,95.9889,74.5016,182649.0684,2545.5062,4197.0477,8490.0288,8271.6984,6091.7811,2020.9971,396.6719,169.1025,6635.1452,2016.6389,1608.9396,1125.1433,1589.9056,5459.7183,52886.4564,9089.2496,4514.3236,178.5237,695.9285,10089.5455,2319.592,2986.401,3618.0919,46606.8624,53440.778,7972.8183,1573.8295,1053.8856,7232.2816,5364.1697,1090.6459,197.2926,291.457,2808.1744,536.1225,147.1873,5127.745,197.7322,3762.3273,1956.7404,221.8947,2504.3279,462.3861,102.8897,252.7525,585.2264,7950.8378,8459.1498,3158.7629,35507.0289,59.6581,20535.2223,5378.6635,921.1578,30643.0346,510.4143,4292.9811,11424.3234,1042.0829,2801.1928,1229.2476,2234.4224,10413.644,1972.8708
2010年,1216.9,9022.0,91.3,108011.6,17937.1,11.8,5220.6,1566.7,5847.3,7230.3,1287.6,183.0,4485.9,9707.5,53909.0,434.0,861.2,68.9,197.8,6979.1,1739.1,1860.1,6688.6,175470.2,19170.7,1157.1,4278.8,4863.1,4297.0,1137.9,6584.2,769426.7,8157.7,,322.9,13835.8,1128.9,3301.4,3323.6,1513.9,864.4,1725.6,3010.5,782.0,687.9,4304.4,106.2,80.2,247007.5,3684.0,5595.5,11706.8,9375.1,8227.7,2614.4,517.1,220.0,8738.4,2163.5,2103.7,1295.9,2268.3,6963.7,67898.5,10296.5,4846.9,279.5,825.8,12536.3,3455.6,3693.0,3407.8,49898.5,58201.0,11535.6,1804.6,1222.5,8538.5,5155.0,1318.0,219.5,346.6,3641.0,783.3,275.1,6859.2,256.0,4727.2,2578.3,317.9,3412.9,661.5,242.8,306.5,835.3,10324.3,10759.8,3965.2,42214.8,84.1,23812.0,6888.4,1337.8,35362.0,650.5,6111.4,14512.0,1603.7,3561.1,1383.0,2883.2,10048.1,2284.7
2011年,1382.971,12785.7672,98.7303,113617.3691,22737.1397,13.1172,7081.342,2131.0408,7657.3385,9432.326,1509.2818,285.6903,4449.4044,11139.1885,57895.2778,580.7675,1213.4966,73.5968,374.2324,11919.1658,2466.2301,4213.602,9406.7491,235630.6523,23920.8793,1767.2626,6037.1599,5721.1216,4868.8587,1484.1659,8393.3071,935585.5773,9056.5697,,298.8632,13832.8848,1446.4324,4878.6405,4074.1218,2189.8352,1314.2974,2527.794,3708.3393,711.1891,1042.1411,6425.1331,166.9723,134.1765,323861.6355,5543.2168,7877.0391,16149.8573,10121.9383,9971.6084,3397.1489,776.4902,279.8668,10475.7641,2987.513,3007.5335,1578.0918,2696.9744,6698.1311,73345.4963,11239.7078,4986.4356,561.8618,966.2455,15156.4109,4630.5893,4210.5107,2980.8125,47620.1667,57237.1916,18332.5816,3099.3801,1695.6683,9295.8446,5545.7663,1881.8419,341.0943,511.1686,4726.0159,1162.3398,270.4887,8663.7958,340.054,7061.8717,3961.381,524.3389,2933.2497,910.0175,400.7536,320.7928,1067.8383,13750.511,15170.4923,5037.3811,46448.2084,135.6737,28795.6252,9855.4557,1850.2582,35237.8079,869.5427,8272.8182,20285.3429,2296.3572,4807.9155,1774.9875,3810.5328,12553.5455,2735.981
