,专业技术服务业固定资产投资(不含农户)其他资金,专用设备制造业固定资产投资(不含农户)其他资金,中国共产党机关固定资产投资(不含农户)其他资金,交通运输、仓储和邮政业固定资产投资(不含农户)其他资金,交通运输设备制造业固定资产投资(不含农户)其他资金,人民政协和民主党派固定资产投资(不含农户)其他资金,仓储业固定资产投资(不含农户)其他资金,仪器仪表文化办公用机械制造业固定资产投资(不含农户)其他资金,住宿业固定资产投资(不含农户)其他资金,住宿和餐饮业固定资产投资(不含农户)其他资金,体育固定资产投资(不含农户)其他资金,保险业固定资产投资(不含农户)其他资金,信息传输、计算机服务和软件业固定资产投资(不含农户)其他资金,公共管理和社会组织固定资产投资(不含农户)其他资金,公共设施管理业固定资产投资(不含农户)其他资金,其他建筑业固定资产投资(不含农户)其他资金,其他服务业固定资产投资(不含农户)其他资金,其他采矿业固定资产投资(不含农户)其他资金,其他金融活动固定资产投资(不含农户)其他资金,农、林、牧、渔业固定资产投资(不含农户)其他资金,农、林、牧、渔服务业固定资产投资(不含农户)其他资金,农业固定资产投资(不含农户)其他资金,农副食品加工业固定资产投资(不含农户)其他资金,制造业固定资产投资(不含农户)其他资金,化学原料及化学制品制造业固定资产投资(不含农户)其他资金,化学纤维制造业固定资产投资(不含农户)其他资金,医药制造业固定资产投资(不含农户)其他资金,卫生、社会保障和社会福利业固定资产投资(不含农户)其他资金,卫生固定资产投资(不含农户)其他资金,印刷业和记录媒介的复制固定资产投资(不含农户)其他资金,商务服务业固定资产投资(不含农户)其他资金,固定资产投资(不含农户)其他资金,国家机构固定资产投资(不含农户)其他资金,国际组织固定资产投资(不含农户)其他资金,地质勘查业固定资产投资(不含农户)其他资金,城市公共交通业固定资产投资(不含农户)其他资金,基层群众自治组织固定资产投资(不含农户)其他资金,塑料制品业固定资产投资(不含农户)其他资金,娱乐业固定资产投资(不含农户)其他资金,家具制造业固定资产投资(不含农户)其他资金,居民服务业固定资产投资(不含农户)其他资金,居民服务和其他服务业固定资产投资(不含农户)其他资金,工艺品及其他制造业固定资产投资(不含农户)其他资金,广播、电视、电影和音像业固定资产投资(不含农户)其他资金,废弃资源和废旧材料回收加工业固定资产投资(不含农户)其他资金,建筑业固定资产投资(不含农户)其他资金,建筑安装业固定资产投资(不含农户)其他资金,建筑装饰业固定资产投资(不含农户)其他资金,房地产业固定资产投资(不含农户)其他资金,房屋和土木工程建筑业固定资产投资(不含农户)其他资金,批发业固定资产投资(不含农户)其他资金,批发和零售业固定资产投资(不含农户)其他资金,教育固定资产投资(不含农户)其他资金,文化、体育和娱乐业固定资产投资(不含农户)其他资金,文化艺术业固定资产投资(不含农户)其他资金,文教体育用品制造业固定资产投资(不含农户)其他资金,新闻出版业固定资产投资(不含农户)其他资金,有色金属冶炼及压延加工业固定资产投资(不含农户)其他资金,有色金属矿采选业固定资产投资(不含农户)其他资金,木材加工及木竹藤棕草制品业固定资产投资(不含农户)其他资金,林业固定资产投资(不含农户)其他资金,橡胶制品业固定资产投资(不含农户)其他资金,水上运输业固定资产投资(不含农户)其他资金,水利、环境和公共设施管理业固定资产投资(不含农户)其他资金,水利管理业固定资产投资(不含农户)其他资金,水的生产和供应业固定资产投资(不含农户)其他资金,渔业固定资产投资(不含农户)其他资金,烟草制品业固定资产投资(不含农户)其他资金,煤炭开采和洗选业固定资产投资(不含农户)其他资金,燃气生产和供应业固定资产投资(不含农户)其他资金,环境管理业固定资产投资(不含农户)其他资金,电信和其他信息传输服务业固定资产投资(不含农户)其他资金,电力、热力的生产和供应业固定资产投资(不含农户)其他资金,电力燃气水的生产供应业固定资产投资(不含农户)其他资金,电气机械及器材制造业固定资产投资(不含农户)其他资金,畜牧业固定资产投资(不含农户)其他资金,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)其他资金,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)其他资金,石油和天然气开采业固定资产投资(不含农户)其他资金,研究与试验发展固定资产投资(不含农户)其他资金,社会保障业固定资产投资(不含农户)其他资金,社会福利业固定资产投资(不含农户)其他资金,科学研究、技术服务和地质勘查业固定资产投资(不含农户)其他资金,科技交流和推广服务业固定资产投资(不含农户)其他资金,租赁业固定资产投资(不含农户)其他资金,租赁和商务服务业固定资产投资(不含农户)其他资金,管道运输业固定资产投资(不含农户)其他资金,纺织业固定资产投资(不含农户)其他资金,纺织服装、鞋、帽制造业固定资产投资(不含农户)其他资金,群众团体、社会团体和宗教组织固定资产投资(不含农户)其他资金,航空运输业固定资产投资(不含农户)其他资金,装卸搬运和其他运输服务业固定资产投资(不含农户)其他资金,计算机服务业固定资产投资(不含农户)其他资金,证券业固定资产投资(不含农户)其他资金,软件业固定资产投资(不含农户)其他资金,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)其他资金,通用设备制造业固定资产投资(不含农户)其他资金,造纸及纸制品业固定资产投资(不含农户)其他资金,道路运输业固定资产投资(不含农户)其他资金,邮政业固定资产投资(不含农户)其他资金,采矿业固定资产投资(不含农户)其他资金,金属制品业固定资产投资(不含农户)其他资金,金融业固定资产投资(不含农户)其他资金,铁路运输业固定资产投资(不含农户)其他资金,银行业固定资产投资(不含农户)其他资金,零售业固定资产投资(不含农户)其他资金,非金属矿物制品业固定资产投资(不含农户)其他资金,非金属矿采选业固定资产投资(不含农户)其他资金,食品制造业固定资产投资(不含农户)其他资金,餐饮业固定资产投资(不含农户)其他资金,饮料制造业固定资产投资(不含农户)其他资金,黑色金属冶炼及压延加工业固定资产投资(不含农户)其他资金,黑色金属矿采选业固定资产投资(不含农户)其他资金
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3308.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3597.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4512.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4893.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5619.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6561.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7723.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,11.7044,25.948,6.345,262.3115,45.1671,2.8647,9.7998,3.2724,21.861,30.9344,13.0469,0.8743,30.2962,341.7954,239.8724,0.9185,1.7385,0.8537,0.0937,88.3716,18.2382,28.8528,32.6536,554.7942,38.9498,1.9866,21.8955,33.0475,26.937,7.8513,41.229,9448.21,287.4759,0.0349,5.2219,46.04,33.6804,12.937,7.7952,5.4875,14.8183,16.5568,8.2949,6.9769,0.7683,79.1703,4.3538,0.9464,6718.4858,72.9516,49.0544,127.2,122.5786,38.1728,7.4108,2.7116,2.943,16.0837,6.3822,11.7051,20.4489,5.2502,13.7542,307.4716,52.5442,19.0103,4.1628,2.1496,24.5126,14.1877,15.055,26.4638,320.2096,353.4076,12.8883,16.6689,6.0808,22.9276,73.4628,14.3401,3.2547,2.8558,34.4123,3.1459,0.6295,41.8585,1.0273,47.9784,10.1555,11.4294,2.4535,5.1682,0.8263,0.05,3.0061,12.8873,18.5687,22.1612,169.3278,2.78,116.3695,19.9183,13.2837,11.9607,12.2657,78.1456,49.1957,6.2756,18.8098,9.0734,11.7699,58.3405,4.8826
2004年,8.95,26.73,5.84,420.3,49.19,0.43,12.19,3.63,22.7,35.43,11.97,0.53,31.06,325.82,322.83,2.11,2.17,0.82,0.49,113.56,24.05,34.22,44.82,735.83,46.55,14.61,26.34,31.56,27.82,9.78,41.53,12514.5,261.62,0.09,3.97,19.13,48.12,18.26,10.26,5.03,17.01,19.19,15.16,6.6,0.85,78.18,1.96,1.03,144.82,73.07,54.75,149.22,142.95,45.11,13.83,2.02,2.45,44.77,13.54,17.67,24.37,7.24,21.06,402.75,62.91,25.99,4.37,0.98,34.6,19.95,17.0,28.38,336.39,382.32,25.74,26.54,7.89,33.55,99.72,18.62,0.8,2.94,36.62,5.08,0.42,8604.73,1.21,45.89,12.81,9.81,2.91,3.23,0.4,0.08,2.28,19.23,27.77,24.9,287.71,1.85,170.63,23.19,14.45,71.0,13.36,94.47,73.24,9.49,21.03,12.73,20.42,66.55,12.46
2005年,16.8668,36.8223,3.336,514.5404,100.0344,0.1575,13.5163,7.8952,36.1518,50.5319,27.1722,0.4914,37.7674,338.1707,407.3078,3.232,3.2358,0.7663,1.548,153.1336,36.872,48.1417,56.3889,940.953,88.8957,19.0477,35.9247,38.0881,32.1355,9.9581,36.8945,14369.667,257.121,0.0,4.268,28.3394,63.6179,25.1986,16.8144,7.3207,9.6773,12.9131,18.2569,6.0178,1.5276,85.961,2.0572,0.2735,10466.1738,80.3983,61.8496,160.1085,179.3616,72.7794,19.0377,3.707,3.7373,42.3201,14.9285,20.2753,34.7076,6.7063,46.5927,490.8468,56.9557,43.6517,5.7011,1.2412,61.3967,18.4337,26.5833,35.3222,381.3012,443.3866,25.8376,27.7112,11.4078,49.108,177.0504,18.7445,1.0025,4.9501,44.5714,4.6921,0.7423,37.6368,29.7103,45.3551,13.5176,13.9383,5.8054,1.6224,1.0405,0.124,1.4047,26.7877,41.7509,18.6254,298.0171,1.138,292.6149,34.5475,10.128,89.7988,7.9646,98.2589,74.3236,13.5103,26.3567,14.3801,18.6943,73.1201,24.9627
2006年,9.224,31.5608,5.8431,959.7543,105.1312,0.9526,17.0308,5.7832,49.3469,67.5783,21.1072,0.6143,45.5272,377.7681,508.8779,9.1831,6.2128,0.6968,0.7152,179.412,52.9191,45.9263,65.5713,1121.5243,110.7792,18.1463,34.9248,48.255,37.5982,12.956,78.1116,18147.0156,283.5189,0.0,6.2773,37.066,75.2149,31.0013,14.5738,9.4162,9.0474,15.2602,26.7986,8.7685,5.2129,84.32,1.544,0.7999,13270.8352,72.793,78.861,178.0716,183.6875,64.0601,18.2995,4.9433,1.3111,31.4054,27.567,33.4131,39.1878,9.3559,93.3031,614.0142,72.2137,50.5839,7.7679,2.5482,41.1063,27.687,32.9226,42.6567,462.547,540.8179,34.7708,33.6109,12.2837,26.6952,141.8213,21.0686,5.2356,5.4212,43.643,7.0731,0.6364,78.748,0.318,48.514,23.4985,12.2386,72.3589,1.8865,1.5151,0.0,1.3554,35.0844,71.5766,20.1041,445.412,1.2765,266.8625,49.8827,6.8762,291.1025,5.5467,99.2106,101.1253,20.2406,34.4975,18.2314,24.5728,99.971,35.4305
2007年,18.3412,61.553,3.4423,1017.7452,78.3215,0.5493,30.6489,6.3087,62.9524,90.925,14.9099,0.2684,53.2038,361.0954,720.0727,15.327,4.532,1.3189,1.0891,196.6801,65.2712,43.0219,77.1124,1209.0268,103.5492,11.8764,28.958,52.1866,42.4169,14.1829,68.9171,24073.3405,280.4256,0.0,6.7116,33.305,67.4891,32.3445,22.367,14.1707,12.688,17.22,28.0313,5.2349,3.7845,114.6248,2.4041,1.0182,18604.648,95.8755,82.6692,183.9787,180.5333,91.4684,47.8406,9.315,1.116,40.1548,37.5679,32.4069,52.3856,8.757,79.5784,887.8756,100.1875,57.5188,7.1357,0.6352,62.8457,18.755,67.6154,48.3419,468.0514,544.3252,44.7766,28.8657,10.0785,37.8977,167.6685,23.5452,2.633,7.1367,55.6025,7.0045,1.4258,70.3429,1.0016,55.6804,31.8714,9.1891,7.0357,2.2071,3.4506,0.26,1.4113,58.5505,64.9271,54.2246,428.0351,0.3182,333.0886,50.0691,8.7696,435.6152,7.1521,101.3095,125.58,24.3715,30.7773,27.9726,25.7922,67.3394,39.3161
2008年,9.9875,69.3799,5.6788,1385.7768,133.5894,0.5828,42.0172,8.3483,74.3742,100.5428,24.0573,0.2531,72.3451,359.0503,848.821,7.4526,4.962,1.615,0.2356,282.671,89.1001,57.8766,93.114,1487.7553,172.6696,8.0694,34.8127,63.5451,51.5527,16.0253,82.1372,23194.4192,257.6496,0.0,8.8369,48.4097,82.7607,38.2497,34.1043,16.6175,8.8986,13.8606,28.4588,6.8424,6.0416,104.0875,3.0259,1.1098,16702.925,92.4992,74.0315,180.3116,158.1905,114.2859,47.6778,9.9511,1.6041,48.8304,42.6221,39.6395,63.3723,10.7728,31.1719,1040.0492,135.2937,67.436,8.8255,2.855,114.2189,30.2979,55.9345,68.1531,497.6512,595.3851,59.1434,63.4965,16.7447,29.6355,164.3033,19.686,3.1937,8.7987,45.9377,7.4273,1.3035,83.4407,12.4524,62.5296,32.8901,12.3784,13.5405,5.841,1.013,0.137,3.179,81.3613,88.359,28.3625,564.5193,0.7464,399.8187,56.4397,4.4403,667.0784,3.8146,106.2801,190.0961,26.9456,48.7401,26.1686,26.0283,30.0,50.1138
2009年,19.4956,90.0576,3.1535,2156.9708,180.1734,0.4122,73.6234,12.3871,86.8593,118.7599,53.2641,0.2137,64.9896,450.3957,1183.8959,6.6326,11.2762,1.6939,0.8905,409.397,120.868,96.8281,125.3477,1937.4628,179.3956,10.3537,49.2072,136.8869,110.8978,16.4182,109.0973,38117.6916,334.9493,0.0,6.2771,331.0612,91.3228,50.8504,58.1261,18.4081,18.0273,29.3035,61.8402,8.3329,8.9522,126.5581,3.7216,2.4925,28945.466,113.7114,106.2203,241.8605,269.1446,182.3349,60.6148,4.3047,1.997,78.3383,51.0798,43.7752,92.6637,13.9986,83.2034,1508.9909,216.4141,136.9659,16.6748,3.4261,110.7169,38.8317,108.6809,59.5963,796.1275,971.9251,79.4113,82.3624,30.3504,51.5367,155.876,16.2818,9.9676,16.0215,55.4399,13.3854,1.4623,110.5596,3.1054,53.7399,28.084,20.5579,5.5114,7.8881,1.8076,0.17,3.5857,60.796,114.8429,28.4148,681.0162,1.5428,391.8314,74.2747,9.4144,970.0189,8.1402,135.6402,285.2731,38.8366,68.9565,31.9006,41.3846,73.1636,33.6282
2010年,12.1,121.1,12.7,2191.3,204.3,0.6,78.9,33.2,129.6,166.2,39.2,0.5,52.7,477.0,1542.6,17.6,69.8,1.0,3.5,436.9,122.4,119.5,141.3,2283.5,162.4,7.1,69.9,150.5,111.0,13.2,108.3,44823.6119,351.2,0.0,7.5,100.7,93.3,54.4,56.3,20.4,25.5,95.3,48.2,11.4,8.9,197.5,3.5,4.7,33979.1,171.8,95.1,273.7,333.3,179.4,70.8,6.7,1.8,78.1,51.8,38.2,93.8,19.6,78.0,2315.2,640.3,123.2,15.8,0.5,108.8,69.6,132.3,43.4,922.3,1115.0,123.1,85.3,24.7,77.0,152.7,12.7,16.1,23.5,58.2,26.0,13.5,121.8,1.9,70.7,37.4,19.1,22.8,7.9,2.4,0.6,6.9,156.9,138.9,26.5,927.9,0.4,385.0,96.3,12.0,972.8,7.4,178.6,277.6,38.5,78.2,36.5,40.2,108.3,32.3
