,专业技术服务业新建固定资产投资(不含农户),专用设备制造业新建固定资产投资(不含农户),中国共产党机关新建固定资产投资(不含农户),交通运输、仓储和邮政业新建固定资产投资(不含农户),交通运输设备制造业新建固定资产投资(不含农户),人民政协和民主党派新建固定资产投资(不含农户),仓储业新建固定资产投资(不含农户),仪器仪表文化办公用机械制造业新建固定资产投资(不含农户),住宿业新建固定资产投资(不含农户),住宿和餐饮业新建固定资产投资(不含农户),体育新建固定资产投资(不含农户),保险业新建固定资产投资(不含农户),信息传输、计算机服务和软件业新建固定资产投资(不含农户),公共管理和社会组织新建固定资产投资(不含农户),公共设施管理业新建固定资产投资(不含农户),其他建筑业新建固定资产投资(不含农户),其他服务业新建固定资产投资(不含农户),其他采矿业新建固定资产投资(不含农户),其他金融活动新建固定资产投资(不含农户),农、林、牧、渔业新建固定资产投资(不含农户),农、林、牧、渔服务业新建固定资产投资(不含农户),农业新建固定资产投资(不含农户),农副食品加工业新建固定资产投资(不含农户),制造业新建固定资产投资(不含农户),化学原料及化学制品制造业新建固定资产投资(不含农户),化学纤维制造业新建固定资产投资(不含农户),医药制造业新建固定资产投资(不含农户),卫生、社会保障和社会福利业新建固定资产投资(不含农户),卫生新建固定资产投资(不含农户),印刷业和记录媒介的复制新建固定资产投资(不含农户),商务服务业新建固定资产投资(不含农户),国家机构新建固定资产投资(不含农户),国际组织新建固定资产投资(不含农户),地质勘查业新建固定资产投资(不含农户),城市公共交通业新建固定资产投资(不含农户),基层群众自治组织新建固定资产投资(不含农户),塑料制品业新建固定资产投资(不含农户),娱乐业新建固定资产投资(不含农户),家具制造业新建固定资产投资(不含农户),居民服务业新建固定资产投资(不含农户),居民服务和其他服务业新建固定资产投资(不含农户),工艺品及其他制造业新建固定资产投资(不含农户),广播、电视、电影和音像业新建固定资产投资(不含农户),废弃资源和废旧材料回收加工业新建固定资产投资(不含农户),建筑业新建固定资产投资(不含农户),建筑安装工程业新建固定资产投资(不含农户),建筑装饰业新建固定资产投资(不含农户),房地产业新建固定资产投资(不含农户),房屋和土木工程建筑业新建固定资产投资(不含农户),批发业新建固定资产投资(不含农户),批发和零售业新建固定资产投资(不含农户),教育新建固定资产投资(不含农户),文化、体育和娱乐业新建固定资产投资(不含农户),文化艺术业新建固定资产投资(不含农户),文教体育用品制造业新建固定资产投资(不含农户),新建固定资产投资(不含农户),新闻出版业新建固定资产投资(不含农户),有色金属冶炼及压延加工业新建固定资产投资(不含农户),有色金属矿采选业新建固定资产投资(不含农户),木材加工及木竹藤棕草制品业新建固定资产投资(不含农户),林业新建固定资产投资(不含农户),橡胶制品业新建固定资产投资(不含农户),水上运输业新建固定资产投资(不含农户),水利、环境和公共设施管理业新建固定资产投资(不含农户),水利管理业新建固定资产投资(不含农户),水的生产和供应业新建固定资产投资(不含农户),渔业新建固定资产投资(不含农户),烟草制品业新建固定资产投资(不含农户),煤炭开采和洗选业新建固定资产投资(不含农户),燃气生产和供应业新建固定资产投资(不含农户),环境管理业新建固定资产投资(不含农户),电信和其他信息传输服务业新建固定资产投资(不含农户),电力、热力的生产和供应业新建固定资产投资(不含农户),电力燃气水的生产供应业新建固定资产投资(不含农户),电气机械及器材制造业新建固定资产投资(不含农户),畜牧业新建固定资产投资(不含农户),皮革毛皮羽毛(绒)及其制品业新建固定资产投资(不含农户),石油加工、炼焦及核燃料加工业新建固定资产投资(不含农户),石油和天然气开采业新建固定资产投资(不含农户),研究与试验发展新建固定资产投资(不含农户),社会保障业新建固定资产投资(不含农户),社会福利业新建固定资产投资(不含农户),科学研究、技术服务和地质勘查业新建固定资产投资(不含农户),科技交流和推广服务业新建固定资产投资(不含农户),租赁业新建固定资产投资(不含农户),租赁和商务服务业新建固定资产投资(不含农户),管道运输业新建固定资产投资(不含农户),纺织业新建固定资产投资(不含农户),纺织服装、鞋、帽制造业新建固定资产投资(不含农户),群众团体、社会团体和宗教组织新建固定资产投资(不含农户),航空运输业新建固定资产投资(不含农户),装卸搬运和其他运输服务业新建固定资产投资(不含农户),计算机服务业新建固定资产投资(不含农户),证券业新建固定资产投资(不含农户),软件业新建固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业新建固定资产投资(不含农户),通用设备制造业新建固定资产投资(不含农户),造纸及纸制品业新建固定资产投资(不含农户),道路运输业新建固定资产投资(不含农户),邮政业新建固定资产投资(不含农户),采矿业新建固定资产投资(不含农户),金属制品业新建固定资产投资(不含农户),金融业新建固定资产投资(不含农户),铁路运输业新建固定资产投资(不含农户),银行业新建固定资产投资(不含农户),零售业新建固定资产投资(不含农户),非金属矿物制品业新建固定资产投资(不含农户),非金属矿采选业新建固定资产投资(不含农户),食品制造业新建固定资产投资(不含农户),餐饮业新建固定资产投资(不含农户),饮料制造业新建固定资产投资(不含农户),黑色金属冶炼及压延加工业新建固定资产投资(不含农户),黑色金属矿采选业新建固定资产投资(不含农户)
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7804.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7807.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8484.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9611.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12366.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,58.3267,161.9897,13.6052,3154.2435,231.5019,4.0486,73.3397,58.1617,138.7161,187.2746,85.2811,2.6767,519.14,1065.2492,2005.8582,12.3719,10.538,1.5258,3.2679,315.8201,71.7763,90.428,199.3594,4828.0902,557.1504,43.6259,216.9049,134.6961,117.7368,54.143,207.8145,979.3786,0.288,19.5295,310.4382,55.3208,152.9288,118.9612,49.0977,36.8908,47.4288,142.2333,46.5308,3.5107,283.48,10.7393,4.9056,304.4152,255.4632,194.5468,496.8434,732.8612,357.73,94.1334,24.6832,18092.41,12.8235,203.8678,21.8736,68.2847,78.993,39.6852,165.4508,2549.5982,395.8557,208.987,12.7574,6.3745,187.9771,110.1499,147.8843,489.5866,1913.8006,2232.9375,144.9959,61.8654,58.5937,126.0381,223.6782,63.2245,3.8823,13.077,156.8719,15.7912,1.2957,209.1102,20.0168,262.6465,113.1826,12.896,63.1676,15.5386,8.2657,0.5279,21.2877,479.1773,149.5883,137.3314,2184.8194,10.8855,480.0426,167.094,36.2895,310.5869,29.817,302.2966,367.353,23.064,146.1962,48.5585,86.5451,375.8453,21.9239
2004年,46.37,252.86,16.22,3896.94,437.27,1.33,145.0,61.79,210.87,296.95,103.73,2.01,413.79,1147.03,2496.85,30.71,15.48,1.81,6.4,370.37,93.89,103.87,311.95,7558.1,944.3,79.69,301.01,197.6,179.08,70.62,255.13,1007.79,0.31,19.48,274.64,105.47,205.35,121.02,72.02,37.03,52.51,153.13,33.53,6.61,331.84,7.84,4.9,572.62,288.39,302.84,758.01,914.09,385.09,118.21,33.74,24630.09,8.61,276.92,39.57,116.55,73.65,54.73,254.21,3087.86,444.64,283.26,16.78,5.86,283.63,161.26,146.37,378.58,3038.74,3483.27,285.99,82.18,71.22,289.28,252.55,91.14,2.65,15.87,187.0,30.0,2.09,257.22,28.03,404.18,161.01,16.22,68.03,21.99,6.79,0.54,28.42,690.28,275.69,217.85,2776.25,14.01,677.59,277.15,41.9,314.78,32.95,455.17,631.76,36.75,208.28,86.08,117.05,543.95,63.28
2005年,82.77,442.52,10.67,5193.09,732.49,3.73,207.48,87.08,314.38,443.35,126.73,2.81,427.8,1582.24,3221.78,24.49,24.74,2.45,5.48,536.71,131.44,139.6,519.21,10734.99,1232.92,82.76,381.51,278.0,247.62,117.4,351.02,1338.86,,19.96,380.63,203.27,316.95,163.34,128.71,47.64,72.39,232.52,50.45,12.1,388.2,12.4,6.41,891.93,344.91,493.39,1095.17,1106.35,527.05,176.82,60.89,34126.6062,9.71,377.37,88.43,180.3,109.23,95.45,384.65,3953.13,523.0,313.34,36.74,7.39,520.99,191.69,208.35,377.07,4183.15,4688.17,441.09,119.69,128.84,344.04,703.31,107.57,9.03,21.34,264.16,53.85,4.5,355.52,34.2,567.44,261.11,25.7,84.44,18.67,12.36,10.43,38.36,762.66,558.64,253.51,3556.56,7.55,1534.92,486.81,53.44,518.91,34.72,601.78,781.51,79.16,306.13,128.98,176.14,659.51,140.58
2006年,67.8696,583.17,14.729,6885.8517,886.6274,3.9983,273.8373,126.46,444.014,617.0691,151.0277,8.2778,448.8958,1573.8928,3865.4439,45.9905,39.5832,5.4044,6.7602,624.4558,169.5552,161.9193,654.6174,13730.2284,1457.124,76.1314,402.0582,316.1732,279.714,155.3993,458.8226,1329.3745,,15.0556,622.2774,199.3746,426.2345,200.2639,168.082,60.3746,99.9578,296.3216,71.9789,28.9271,468.0462,17.2665,8.3759,1521.1153,396.4133,520.0889,1245.9592,1113.995,603.8411,165.0704,79.5745,41514.1675,15.5002,482.7839,153.2069,251.6593,131.7578,175.4912,566.8583,4636.8989,563.6126,389.1971,25.0375,13.9521,517.1167,220.0058,207.8424,367.9721,4479.6521,5088.855,630.7017,136.186,187.2747,393.1534,792.1774,119.695,9.5092,26.95,262.4907,59.8705,10.019,468.8416,50.3339,636.0171,336.5718,26.4164,123.8415,30.6945,19.0699,8.1042,61.8538,929.5307,783.3281,295.3518,4048.5687,9.4121,1750.2633,651.0278,57.3366,1160.028,34.1944,725.8703,1024.0839,103.2774,442.104,173.0551,279.3852,877.0843,179.0805
2007年,83.6692,921.4519,12.1791,8116.9705,1367.9122,2.849,463.064,158.1637,603.5685,835.4336,178.1144,5.2507,444.601,1637.8086,4602.6768,62.2008,40.7709,10.0381,11.1866,857.6304,237.1433,203.8529,884.1815,18650.3065,1886.0372,112.7694,441.9576,383.7194,332.1465,183.2954,573.38,1311.7493,,24.8961,869.3142,273.5376,486.0445,245.1177,223.8632,94.1656,134.9365,342.8349,94.4191,57.6431,566.7604,17.6902,10.8025,2330.2213,476.0669,718.5002,1594.996,1182.1417,807.787,264.2517,100.0258,51963.0502,25.8841,651.302,228.3862,380.8144,171.4117,195.9695,696.533,5570.2329,632.4433,469.4021,35.4654,19.0079,608.6932,202.5615,335.1128,375.2207,5059.327,5731.2906,911.1393,209.7571,213.2248,751.8793,997.4857,124.7881,8.4128,43.1601,303.5328,70.1794,10.5273,583.9073,42.8538,762.9665,459.4354,37.4936,204.8488,51.6396,14.7396,8.2622,54.6407,1173.7235,1155.6785,436.4101,4433.3119,4.0232,2169.9666,916.1059,60.8071,1351.382,36.1076,876.4958,1520.9024,139.3501,550.371,231.8651,346.8747,1038.3209,186.0133
2008年,134.8629,1195.4503,19.4524,10093.4383,1953.1414,2.9363,652.3896,229.7829,775.8499,1060.9487,213.3512,2.9127,526.586,1684.4374,6288.6024,60.7273,60.9644,9.9831,11.0799,1377.2923,324.7532,302.9042,1090.6818,23997.3733,2524.3385,108.8044,517.961,486.7526,403.1485,201.9833,824.3527,1196.2822,,32.1486,1013.7455,421.0524,597.2243,327.9386,309.6756,99.6872,160.6516,431.7037,56.6192,90.7791,653.1931,15.8343,12.1041,3210.3705,564.5274,865.2736,1910.5194,1269.5091,968.3096,329.7915,110.0164,65727.3468,40.6091,1014.4064,321.961,427.827,225.0549,205.4151,732.0442,7406.7915,749.6403,594.9929,41.8389,16.0305,897.5445,249.6251,368.5488,398.3425,5834.3176,6678.9356,1276.0143,482.7411,266.5019,1077.538,1100.8683,153.4514,14.5388,69.0653,396.4117,75.9488,11.6788,836.0315,108.8273,695.7156,487.5237,44.7141,203.381,80.5949,24.8583,26.7642,103.3852,1344.6128,1554.4069,502.1898,4463.3553,7.4615,2902.8294,1274.6285,106.9652,2831.639,66.2084,1045.2458,2293.7092,230.9174,624.8929,285.0988,433.4903,1140.9277,341.5551
2009年,190.5384,1569.1923,14.5355,15968.4942,2442.8564,4.139,1066.442,261.7187,984.0717,1402.5125,353.9206,7.3915,836.7596,2289.2626,9204.7469,78.475,91.7477,11.6733,21.1668,2037.0876,499.3261,447.9214,1450.8749,29562.6027,3158.9432,121.0966,707.7681,823.9749,660.0943,252.8597,1198.7258,1784.4253,,56.8163,1748.1846,415.5607,713.3738,540.2949,369.356,179.8856,271.6333,517.0859,79.9326,157.552,920.717,25.9733,18.4831,4607.5875,797.7856,1183.3346,2630.5085,1777.1873,1499.7156,492.2527,111.3648,89993.1538,33.3148,1136.1315,356.882,476.0343,331.4276,297.0577,1014.4217,11091.8162,1218.6558,1037.6665,69.4138,34.3765,1170.6888,454.2589,668.4135,666.0793,7387.4217,8879.3471,2036.9052,688.9987,329.3281,970.2499,1211.6938,201.4988,54.3846,109.496,599.9192,151.0657,21.1945,1219.9203,46.0451,750.4113,552.6475,70.6021,215.4126,151.7325,24.407,18.9334,146.2733,1433.4919,2020.0807,546.7046,6744.1524,23.2312,3427.5322,1494.3224,146.5755,4958.8721,99.0838,1447.1739,3173.874,303.2593,748.7824,418.4408,488.4344,1239.7279,373.335
2010年,249.1,2346.2,20.2,19049.1,3234.0,4.6,1283.1,397.7,1542.2,2031.9,419.1,18.9,814.7,2707.3,11851.1,126.0,270.0,19.8,47.9,2418.4,556.4,640.8,1901.7,38918.4,3675.3,167.9,993.2,1020.1,820.5,321.2,1724.8,2189.6,,68.6,1929.1,409.2,948.0,671.6,498.9,192.8,462.8,700.9,126.9,198.4,1397.1,26.5,22.5,6632.5,1222.1,1406.6,3308.7,2102.5,1849.9,594.4,155.4,113860.0408,37.8,1684.9,452.5,583.0,375.0,374.0,1116.9,14376.1,1658.4,1018.3,121.9,35.7,1450.9,721.9,866.7,536.7,8070.1,9810.3,2936.2,724.2,396.7,1217.2,1405.4,268.7,68.3,131.2,777.1,190.7,28.7,1753.6,58.4,1013.2,803.6,83.8,245.7,215.2,78.2,41.8,199.9,2224.4,2577.1,603.9,8411.0,21.0,4176.4,1998.7,253.3,5768.9,144.7,1902.1,4057.5,408.4,957.7,489.7,608.1,1307.8,439.5
2011年,315.6712,3288.5382,43.097,19316.1196,4561.5812,3.5144,1754.5494,548.4137,2186.8213,2760.5867,364.0474,43.1611,900.2999,3668.328,13155.7894,215.3131,348.0955,26.1506,104.2277,4210.8912,766.6961,1545.7869,2788.3385,54311.0905,4499.9373,368.3516,1473.9504,1287.0462,983.2195,400.3923,2417.1441,2946.6301,,71.6977,2002.3227,569.387,1425.2036,907.8892,689.3371,405.2203,753.3158,1009.5531,102.6301,278.306,2177.523,48.8029,32.0574,10120.0444,1881.3496,2279.7221,4959.7193,2394.7004,2243.1781,816.4689,233.6474,143604.939,52.1425,2122.7008,544.6507,929.5223,518.8114,525.4535,1047.2786,16083.2117,2066.8295,1055.1143,195.4763,74.9686,1669.2759,967.511,860.5928,562.7543,7557.5375,9580.1628,4796.3802,1184.1205,542.8324,1237.7252,1733.7007,360.4645,118.7597,185.067,1020.6023,272.7689,42.7672,2459.9113,99.7969,1669.3825,1345.3412,105.6995,307.9217,228.7895,90.9824,35.4869,246.5632,3159.8684,3684.9519,917.2779,9478.899,37.1297,4979.7299,2548.1112,378.4779,4359.4321,195.6022,2679.9972,5520.5142,573.1334,1205.7856,573.7654,873.4183,1591.3059,432.8186
2012年,525.9319,4606.3136,23.6195,22730.6647,,13.542,2382.7587,725.5408,2852.9013,3669.8413,691.8588,84.4824,1278.3427,3995.782,16847.7814,,289.9075,21.742,87.196,5990.0733,1026.4254,2329.3802,3640.624,65063.9163,5753.1331,393.8668,1870.7332,1540.2519,1212.3819,462.0718,3407.3209,2920.1871,,83.6418,2496.1294,578.8396,1729.6208,874.3996,855.181,567.9505,1054.5693,,147.8187,452.324,2632.1985,79.5696,44.4767,87658.1416,,2844.5271,6831.5687,2980.7199,3169.3747,1406.5065,,251045.6492,48.7911,2540.267,569.8221,1139.6461,683.3053,452.0377,1156.5684,20216.303,2758.4464,1227.1856,305.8953,70.2608,2166.5801,1188.3047,610.0752,594.6881,8222.4348,10637.9251,4867.1865,1645.0671,736.3443,1443.7952,1831.0645,564.3364,139.1538,327.87,1532.0358,441.7675,49.492,3456.8129,162.4331,1828.8165,,320.44,248.1165,530.4152,,38.5831,,3269.8092,4363.5815,1063.6417,12380.1587,43.2856,6001.4393,2984.9723,605.6882,5826.9285,,3987.0416,6287.3828,734.5421,1573.4429,816.94,1198.7295,2070.166,520.6915
2013年,637.8634,5271.573,32.5061,25988.264,,3.7645,3264.9209,,3564.1205,4587.2099,868.6948,74.78,1589.7625,4085.8385,22859.5174,,330.0809,20.0561,121.3936,8356.6261,1448.2088,3104.9469,4615.0572,75657.6273,6705.5475,487.2588,2330.8272,1856.7687,1420.7174,478.1686,4374.591,2882.2675,,,,638.4481,,1121.0178,1095.2165,831.4632,1396.1106,,223.9521,607.5275,2424.0337,70.7245,,105739.977,,4084.6161,9054.593,3722.7136,4069.5106,1788.8993,,302909.0612,66.9466,3216.7011,687.7886,1402.5388,990.5447,,1358.9582,26992.8982,3285.6685,1628.8991,395.8,92.5613,2319.1467,1698.6316,847.7123,696.1507,9500.9489,12828.4796,5176.0421,2417.1257,,1739.2411,2502.8488,764.8563,150.3328,,2008.6547,605.935,106.5084,4481.0994,309.9899,1962.4346,,378.5195,355.9954,768.0893,,,,4177.4028,5027.0082,1142.048,14881.4125,66.9408,7182.5995,3506.3962,886.2943,4981.957,,4969.9769,7074.6104,816.2061,1926.2323,1023.0894,,1949.4061,601.162
