,中国同图瓦卢进出口总额,中国同土布艾群岛进出口总额,中国同基里巴斯进出口总额,中国同大洋洲其他国家(地区)进出口总额,中国同大洋洲及太平洋群岛进出口总额,中国同密克罗尼西亚联邦进出口总额,中国同巴布亚新几内亚进出口总额,中国同帕劳共和国进出口总额,中国同库克群岛进出口总额,中国同所罗门群岛进出口总额,中国同斐济进出口总额,中国同新喀里多尼亚进出口总额,中国同新西兰进出口总额,中国同汤加进出口总额,中国同法属波利尼西亚进出口总额,中国同澳大利亚进出口总额,中国同瑙鲁进出口总额,中国同瓦利斯和浮图纳进出口总额,中国同瓦努阿图进出口总额,中国同盖比群岛进出口总额,中国同社会群岛进出口总额,中国同萨摩亚进出口总额,中国同诺福克岛进出口总额,中国同马绍尔群岛共和国进出口总额
2004年,224.4,0.0,87.3,1042.0,2350430.8,744.8,29638.0,43.3,90.7,6127.3,3871.1,6604.0,249058.4,627.8,843.6,2039074.0,9.9,0.0,749.2,24.8,391.0,686.0,35.9,10457.9
2005年,635.0,0.0,143.0,1175.0,3090073.0,244.0,37605.0,68.0,591.0,10168.0,4527.0,9356.0,267944.0,294.0,1673.0,2725513.0,3.0,0.0,828.0,1.0,572.0,598.0,26.0,28097.0
2006年,1095.8084,0.0,118.1138,1309.367,3733296.0766,294.8594,51824.5605,68.5732,201.7251,12987.4364,6922.5061,18284.4943,293421.1554,375.3958,2056.9397,3294818.1634,0.0,0.0,1937.5497,13.0,474.0011,1296.2702,53.4737,45737.8186
2007年,669.696,0.0,1668.8163,1028.77,4951455.4515,949.2322,68098.4382,74.2677,297.6035,19251.6639,6625.4708,40839.5179,369792.2268,736.0572,2816.6732,4382999.6907,4.0306,0.0,2134.6649,19.8746,359.5186,1184.5794,175.1851,51725.2048
2008年,4625.0585,0.0,246.249,738.7159,6611438.8766,425.2686,85926.9129,311.721,266.7043,22688.816,9200.9662,16420.1322,440187.7527,798.3284,2992.12,5968239.7065,0.0,0.0,3507.6245,38.1398,392.4381,2786.5198,99.7984,45696.359
2009年,607.0,0.0,394.0,558.0,6759084.0,860.0,88528.0,130.0,730.0,19424.0,9713.0,18883.0,456352.0,805.0,2739.0,6012996.8288,2.0,0.0,4881.0,17.0,323.0,4487.0,40.0,136613.0
2010年,841.7,0.0,1139.1,274.3,9903469.4,668.2,112964.7,199.7,489.5,31546.8,12858.7,46388.2,652741.1,976.0,3270.9,8834231.6,2.2,28.0,2326.4,35.4,329.4,7007.5,22.8,195127.0
2011年,1493.9193,5.5482,1316.5898,209.8277,12982165.1181,502.8129,126824.4653,119.9006,570.4239,37948.3274,17240.3165,21600.9027,871801.0223,1332.4365,4342.7907,11658308.7116,19.3546,56.3034,13625.3948,19.5909,345.1841,3784.3261,35.7568,220660.8673
2012年,14344.9,0.0,3415.6,0.0,13653367.8,1500.4,128236.2,166.8,505.2,41437.9,23618.4,24603.3,967483.1,2016.0,5185.6,12234625.0,102.3,20.1,13603.0,4.0,396.4,7176.9,32.5,184657.9
2013年,753.4,0.0,1911.3,254.9,15330873.6,1492.1,135076.0,320.0,2048.8,44132.3,30387.4,21958.8,1238489.8,3850.5,4929.7,13650822.2,111.2,72.7,38272.7,13.4,427.9,5448.4,51.7,150020.8
2014年,464.4584,0.0,2352.2599,539.7,15603921.406,1478.3545,203968.976,1051.8157,2112.2968,52327.5458,34013.5268,42494.4348,1424346.6308,2397.8655,5430.2057,13677683.7578,276.4639,123.6865,18715.1745,5.8599,401.9052,5606.1528,105.6619,128024.6862
