,专科院校教职工数,中等教育教职工数,中等职业教育教职工数,九年一贯制普通初中教职工数,九年一贯制普通小学教职工数,其他机构(教学点)教职工数,初中阶段教育教职工数,初等教育教职工数,初级中学教职工数,十二年一贯制普通初中教职工数,十二年一贯制普通小学教职工数,十二年一贯制普通高中教职工数,学前教育教职工数,小学教职工数,工读学校教职工数,成人中专教职工数,成人初中教职工数,成人小学教职工数,成人高中教职工数,成人高等学校教职工数,扫盲班教职工数,技工学校教职工数,普通中专教职工数,普通初中完全中学教职工数,普通初中教职工数,普通小学教职工数,普通高中完全中学教职工数,普通高中教职工数,普通高校研究生培养机构教职工数,普通高等学校教职工数,本科院校教职工数,民办的其他高等教育机构教职工数,特殊教育教职工数,独立学院教职工数,研究生培养机构教职工数,科研机构研究生培养机构教职工数,职业初中教职工数,职业技术学院教职工数,职业高中教职工数,高中教职工数,高中阶段教育教职工数,高等教育教职工数,高级中学教职工数
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.2939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,55.3585,0.0,0.0,643.6,0.0,0.0,0.0,103.2,0.0,0.0,4.3296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,54.6542,0.0,0.0,644.5599,0.0,0.0,0.0,102.9563,0.0,0.0,4.1573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.8302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,52.8636,0.0,0.0,647.1159,0.0,0.0,0.0,106.5093,0.0,0.0,4.5119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.4297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.96,48.8083,0.0,0.0,645.4862,0.0,491.1,0.0,111.2776,0.0,0.0,4.3678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.96,42.8955,0.0,0.0,637.9718,0.0,514.9,0.0,121.4429,0.0,0.0,3.8906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,38.15,0.0,0.0,634.02,0.0,533.5,0.0,130.36,0.0,0.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,34.7,0.0,0.0,625.6185,0.0,549.7,0.0,145.3,0.0,0.0,4.0853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,40.3616,671.6633,108.3692,0.0,0.0,4.3435,0.0,631.1639,0.0,0.0,0.0,0.0,104.7323,0.0,0.2539,12.5266,0.8791,14.0281,0.896,15.4986,10.8409,20.5,33.277,0.0,0.0,617.1358,0.0,562.3981,0.0,161.0658,113.7005,5.4941,4.1384,5.3211,0.0,0.0,2.7997,32.7536,37.7221,563.2941,671.6633,0.0,0.0
2005年,43.9967,685.7699,88.9171,0.0,0.0,4.3809,3.2929,624.8248,0.0,0.0,0.0,0.0,115.2046,0.0,0.2584,12.1312,0.892,11.6093,1.1346,14.8901,8.9361,20.4009,33.48,0.0,0.0,613.2155,0.0,572.0244,0.0,174.2073,119.7846,4.8121,4.2256,8.0986,0.0,0.0,2.4009,36.2066,38.925,573.159,682.477,0.0,0.0
2006年,50.1397,695.2445,92.2007,0.0,0.0,4.0331,2.2352,622.7522,0.0,0.0,0.0,0.0,123.8567,0.0,0.2525,11.1186,0.8242,10.753,0.8173,13.9994,8.2379,21.5,36.678,0.0,0.0,611.9992,0.0,578.4564,0.0,187.2601,124.9028,4.5866,4.3572,10.6648,0.0,0.0,1.411,42.0952,40.371,579.2737,693.0093,0.0,0.0
2007年,54.2382,703.0865,95.6076,0.0,0.0,4.4127,1.796,622.9018,0.0,0.0,0.0,0.0,131.7247,0.0,0.2524,10.6201,0.7555,9.5203,0.711,13.6264,7.231,23.9989,38.8457,0.0,0.0,613.3815,0.0,580.973,0.0,197.4526,129.2872,4.3338,4.4862,12.8531,0.0,0.0,1.0405,46.9151,41.7291,581.684,701.2905,0.0,0.0
2008年,57.0651,705.9921,122.2245,0.0,0.0,3.9558,1.5423,623.9294,0.0,0.0,0.0,0.0,143.4211,0.0,0.2687,10.3289,0.7808,10.6391,0.6541,8.9892,8.6159,24.6736,40.2758,0.0,0.0,613.2903,0.0,581.5712,0.0,205.1029,147.3856,4.0261,4.599,14.6665,0.0,0.0,0.7615,49.461,42.7826,582.2253,704.4498,0.0,0.0
2009年,59.2918,709.3557,122.9201,0.0,0.0,3.8416,1.3,621.8272,0.0,0.0,0.0,0.0,157.0756,0.0,0.2669,9.4181,0.7616,8.2736,0.6098,8.4196,6.1621,26.0,41.1303,0.0,0.0,613.5536,0.0,584.5444,0.0,211.1451,151.2099,3.8075,4.7466,16.2571,0.0,0.0,0.5198,51.6948,42.5577,585.1542,708.0743,0.0,0.0
2010年,60.3201,709.6276,122.2899,0.0,0.0,3.3006,0.9,617.5629,0.0,0.0,0.0,0.0,184.9301,0.0,0.2576,8.5346,0.7255,6.5782,0.4664,7.7108,5.0355,26.6,43.5046,0.0,0.0,610.9847,0.0,585.9271,0.0,215.6601,154.8043,3.814,4.9249,17.5288,0.0,0.0,0.2187,53.4718,40.3233,586.3935,708.6834,0.0,0.0
2011年,61.4717,759.8937,121.1197,94.8884,0.0,2.2037,395.3212,565.0416,299.3587,0.0,0.0,14.3949,220.4367,558.4868,0.2573,8.1292,0.9043,6.5548,0.7142,6.9032,4.9516,26.6116,43.503,0.0,394.2471,558.4868,110.0491,242.7386,0.0,220.4819,158.5694,3.478,5.1189,18.1039,0.0,0.0,0.1698,0.0,40.6722,243.4528,364.5725,230.8631,118.2946
2012年,62.2425,760.7943,118.9438,99.3711,0.0,1.8922,394.8587,559.5781,294.372,0.0,0.0,15.7871,248.9972,553.8481,0.2706,7.7482,0.9499,5.73,0.7343,6.5612,3.8265,26.8106,43.0636,0.0,393.9088,553.8481,108.9877,246.2575,0.0,225.4372,162.7642,3.1941,5.3615,18.9194,0.0,0.0,0.1657,0.0,39.4292,246.9918,365.9356,0.0,121.4827
2013年,63.0044,756.91,115.3402,103.2777,0.0,1.6559,393.6043,553.848,289.4926,0.0,0.0,16.8002,282.6753,549.4877,0.2687,7.2715,0.7281,4.3603,0.6061,5.6417,3.2658,26.9443,41.9315,0.0,0.0,549.4877,106.1968,247.3594,0.0,229.6262,165.7517,2.8394,5.5096,18.6262,0.0,0.0,0.1059,0.0,37.537,247.9655,363.3057,0.0,124.3624
2014年,62.5017,761.5512,113.2108,110.2498,0.0,1.454,396.4453,552.9436,285.2397,0.0,0.0,19.0797,314.2226,548.8941,0.282,7.338,0.8732,4.0495,0.9555,5.2921,2.6141,26.5203,41.812,0.0,0.0,548.8941,104.6042,250.9396,0.0,233.5723,170.3121,2.629,5.736,18.3308,0.0,0.0,0.0826,0.0,36.0865,251.8951,365.1059,0.0,127.2557
