,专科院校学校数,中等教育学校数,中等职业教育学校数,九年一贯制普通初中学校数,九年一贯制普通小学学校数,其他机构(教学点)学校数,初中阶段教育学校数,初等教育学校数,初级中学数,十二年一贯制普通初中学校数,十二年一贯制普通小学学校数,十二年一贯制普通高中学校数,学前教育学校数,小学学校数,工读学校学校数,成人中专学校数,成人初中学校数,成人小学学校数,成人高中学校数,成人高等学校学校数,扫盲班学校数,技工学校学校数,普通中专学校数,普通初中学校数,普通初中完全中学数,普通小学学校数,普通高中学校数,普通高中完全中学数,普通高校研究生培养机构学校数,普通高等学校学校数,本科院校学校数,民办的其他高等教育机构学校数,特殊教育学校数,独立学院学校数,研究生培养机构学校数,科研机构研究生培养机构学校数,职业初中学校数,职业技术学院学校数,职业高中学校数,高中学校数,高中阶段教育学校数,高等教育学校数,高级中学数
1989年,0,0,0,0,0,0,0,0,0,0,0,0,172634,0,0,0,0,0,0,0,0,4102,3984,73525,0,777244,16050,0,0,1079,0,0,662,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,172322,0,0,0,0,0,0,0,0,4184,3982,71953,0,766072,15678,0,0,1075,0,0,746,0,0,0,1509,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,164465,0,0,0,0,0,0,0,0,4269,3925,70608,0,729158,15243,0,0,1075,0,0,886,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,172506,0,0,0,0,0,0,0,0,4392,3903,69171,0,712973,14850,0,0,1053,0,0,1077,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,165197,0,0,0,0,0,0,0,0,4477,3964,68415,0,696681,14380,0,0,1065,0,0,1123,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,174657,0,0,0,0,0,0,0,0,4430,3987,68116,0,682588,14242,0,0,1080,0,0,1241,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,180438,0,0,0,0,0,0,0,0,4521,4049,67029,0,668685,13991,0,0,1054,0,0,1379,0,0,0,1535,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,187324,0,0,0,0,0,0,0,0,4467,4099,66092,0,645983,13875,0,0,1032,0,0,1428,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,182485,0,0,0,0,0,0,0,0,4395,4143,64762,0,628840,13880,0,0,1020,0,0,1440,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,181368,0,0,0,0,0,0,0,0,4362,4109,63940,0,609626,13948,0,0,1022,0,0,1535,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,181136,0,0,0,0,0,0,0,0,4098,3962,63086,0,582291,14127,0,0,1071,0,0,1520,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,175836,0,0,0,0,0,0,0,0,3792,3646,62704,0,553622,14564,0,0,1041,0,0,1539,0,0,0,1194,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,111706,0,0,0,0,0,0,0,0,3470,3260,65525,0,491273,14907,0,0,1225,0,0,1531,0,0,0,1065,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,111752,0,0,0,0,0,0,0,0,3075,2953,64661,0,456903,15406,0,0,1396,0,0,1540,0,0,0,984,0,0,0,0,0,0
2003年,0,0,14682,0,0,0,0,0,0,0,0,0,116390,0,0,0,0,0,0,0,0,2970,3065,63711,0,425846,15779,0,0,1552,0,0,1551,0,0,0,1019,0,0,0,0,0,0
2004年,1047,97144,14454,9173,0,2295,65737,463635,53887,0,0,0,117899,0,76,2742,1980,69452,955,505,47239,2884,3047,63060,0,394183,15998,9837,454,1731,684,1187,1560,0,769,315,697,872,5781,16953,31407,0,6161
2005年,1091,96082,14466,9894,0,2386,64550,427697,51991,0,0,0,124402,0,77,2582,2064,61484,974,481,43572,2855,3207,61885,0,366213,16092,9639,450,1792,701,1077,1593,0,766,316,601,921,5822,17066,31532,0,6453
2006年,1147,94116,14693,11059,0,2502,62431,396567,49491,0,0,0,130495,0,74,2350,1546,54928,839,444,40397,2880,3698,60550,0,341639,16153,9659,450,1867,720,994,1605,0,767,317,335,981,5765,16992,31685,0,6494
2007年,1168,92267,14832,11507,0,2868,61012,369063,47602,0,0,0,129086,0,76,2120,1628,49002,742,413,33024,2995,3801,59109,0,320061,15681,9130,479,1908,740,906,1618,0,795,316,275,1015,5916,16423,31255,0,6551
2008年,1184,90121,14847,11890,0,2483,59315,349126,45811,0,0,0,133722,0,74,1983,1401,48272,753,400,34213,3075,3846,57701,0,300854,15206,8655,479,2263,1079,866,1640,322,796,317,213,1036,5915,15959,30806,0,6551
2009年,1215,87639,14401,12423,0,2390,57878,322094,43744,0,0,0,138209,0,72,1883,1558,41910,753,384,27850,3077,3789,56167,0,280184,14607,8131,481,2305,1090,812,1672,322,796,315,153,1071,5652,15360,29761,0,6476
2010年,1246,85063,13872,12702,0,2012,56479,290597,42121,0,0,0,150420,0,77,1720,1589,33187,654,365,22227,3008,3938,54823,0,257410,14058,7597,481,2358,1112,836,1706,323,797,316,67,1113,5206,14712,28584,0,6461
2011年,1280,83810,13093,13304,0,642,56172,271804,40759,0,0,799,166750,241249,76,1614,2055,30555,857,353,20179,2924,3753,54063,0,241249,13688,6357,481,2409,1129,830,1767,309,755,274,54,1143,4802,14545,27638,2762,6532
2012年,1297,81662,12663,13575,0,509,54794,255400,39592,0,0,854,181251,228585,79,1564,1578,26815,696,348,18092,2901,3681,53167,0,228585,13509,6108,534,2442,1145,823,1853,303,811,277,49,0,4517,14205,26868,0,6547
2013年,1321,80797,12262,14017,0,451,54572,235369,38747,0,0,900,198553,213529,78,1536,1768,21840,611,297,15104,2882,3577,52764,0,213529,13352,5861,548,2491,1170,802,1933,292,830,282,40,0,4267,13963,26225,0,6591
2014年,1327,79670,11878,14639,0,402,53993,219632,37958,0,0,987,209881,201377,79,1457,1370,18255,546,295,12861,2818,3536,0,0,201377,13253,5647,571,2529,1202,799,2000,283,788,217,26,1186,4067,13799,25677,0,6619
